Date,NIKKEI225
1965-11-01,1313.65
1965-12-01,1367.53
1966-01-01,1432.15
1966-02-01,1481.39
1966-03-01,1547.67
1966-04-01,1540.11
1966-05-01,1562.30
1966-06-01,1516.43
1966-07-01,1481.77
1966-08-01,1477.70
1966-09-01,1452.82
1966-10-01,1436.81
1966-11-01,1421.19
1966-12-01,1398.52
1967-01-01,1434.44
1967-02-01,1475.23
1967-03-01,1467.32
1967-04-01,1433.57
1967-05-01,1474.08
1967-06-01,1484.04
1967-07-01,1484.92
1967-08-01,1382.48
1967-09-01,1341.90
1967-10-01,1367.15
1967-11-01,1323.75
1967-12-01,1274.11
1968-01-01,1305.56
1968-02-01,1336.85
1968-03-01,1345.03
1968-04-01,1419.56
1968-05-01,1470.54
1968-06-01,1512.97
1968-07-01,1564.43
1968-08-01,1634.70
1968-09-01,1772.30
1968-10-01,1764.52
1968-11-01,1694.02
1968-12-01,1710.96
1969-01-01,1795.19
1969-02-01,1811.23
1969-03-01,1796.64
1969-04-01,1879.84
1969-05-01,1937.15
1969-06-01,1956.55
1969-07-01,1926.20
1969-08-01,1887.43
1969-09-01,1991.37
1969-10-01,2081.89
1969-11-01,2161.97
1969-12-01,2248.27
1970-01-01,2326.89
1970-02-01,2325.68
1970-03-01,2465.32
1970-04-01,2460.73
1970-05-01,2059.09
1970-06-01,2103.87
1970-07-01,2124.22
1970-08-01,2150.43
1970-09-01,2117.38
1970-10-01,2098.55
1970-11-01,2092.10
1970-12-01,1988.00
1971-01-01,2075.42
1971-02-01,2165.14
1971-03-01,2322.82
1971-04-01,2426.73
1971-05-01,2418.56
1971-06-01,2550.58
1971-07-01,2661.35
1971-08-01,2463.60
1971-09-01,2361.37
1971-10-01,2308.32
1971-11-01,2335.52
1971-12-01,2524.58
1972-01-01,2801.59
1972-02-01,2918.88
1972-03-01,3050.92
1972-04-01,3258.72
1972-05-01,3444.30
1972-06-01,3648.73
1972-07-01,3764.96
1972-08-01,3980.46
1972-09-01,4196.50
1972-10-01,4432.02
1972-11-01,4631.76
1972-12-01,4943.54
1973-01-01,5256.04
1973-02-01,5071.10
1973-03-01,5057.08
1973-04-01,4772.19
1973-05-01,4662.69
1973-06-01,4604.84
1973-07-01,4922.31
1973-08-01,4903.20
1973-09-01,4610.40
1973-10-01,4572.25
1973-11-01,4486.96
1973-12-01,4182.48
1974-01-01,4346.06
1974-02-01,4524.85
1974-03-01,4485.11
1974-04-01,4520.81
1974-05-01,4712.33
1974-06-01,4696.66
1974-07-01,4540.15
1974-08-01,4186.66
1974-09-01,4046.84
1974-10-01,3625.86
1974-11-01,3740.61
1974-12-01,3904.03
1975-01-01,3771.67
1975-02-01,4110.69
1975-03-01,4297.44
1975-04-01,4433.66
1975-05-01,4508.61
1975-06-01,4486.67
1975-07-01,4389.10
1975-08-01,4182.87
1975-09-01,3964.24
1975-10-01,4207.10
1975-11-01,4311.76
1975-12-01,4258.73
1976-01-01,4574.80
1976-02-01,4559.76
1976-03-01,4605.20
1976-04-01,4520.99
1976-05-01,4607.92
1976-06-01,4728.86
1976-07-01,4749.23
1976-08-01,4708.81
1976-09-01,4741.59
1976-10-01,4702.78
1976-11-01,4544.61
1976-12-01,4760.22
1977-01-01,4993.02
1977-02-01,5042.78
1977-03-01,5009.34
1977-04-01,5019.35
1977-05-01,5052.09
1977-06-01,4968.15
1977-07-01,4975.48
1977-08-01,5147.31
1977-09-01,5220.48
1977-10-01,5155.36
1977-11-01,4894.10
1977-12-01,4864.44
1978-01-01,5017.47
1978-02-01,5132.31
1978-03-01,5275.97
1978-04-01,5504.23
1978-05-01,5466.69
1978-06-01,5493.63
1978-07-01,5603.82
1978-08-01,5523.00
1978-09-01,5661.54
1978-10-01,5819.37
1978-11-01,5944.87
1978-12-01,6008.74
1979-01-01,6123.06
1979-02-01,6102.25
1979-03-01,6051.81
1979-04-01,6084.97
1979-05-01,6283.26
1979-06-01,6184.40
1979-07-01,6228.53
1979-08-01,6403.33
1979-09-01,6455.84
1979-10-01,6433.98
1979-11-01,6397.40
1979-12-01,6502.18
1980-01-01,6670.25
1980-02-01,6787.15
1980-03-01,6601.11
1980-04-01,6757.30
1980-05-01,6799.95
1980-06-01,6818.84
1980-07-01,6808.70
1980-08-01,6833.42
1980-09-01,6983.94
1980-10-01,7138.58
1980-11-01,7148.12
1980-12-01,7079.94
1981-01-01,7247.44
1981-02-01,7197.58
1981-03-01,7170.20
1981-04-01,7504.80
1981-05-01,7491.80
1981-06-01,7617.12
1981-07-01,7848.99
1981-08-01,7907.46
1981-09-01,7521.61
1981-10-01,7374.71
1981-11-01,7606.90
1981-12-01,7678.33
1982-01-01,7741.96
1982-02-01,7736.12
1982-03-01,7184.44
1982-04-01,7280.97
1982-05-01,7492.95
1982-06-01,7206.39
1982-07-01,7144.96
1982-08-01,7042.15
1982-09-01,7082.51
1982-10-01,7249.45
1982-11-01,7701.59
1982-12-01,7933.14
1983-01-01,8025.05
1983-02-01,8040.85
1983-03-01,8183.31
1983-04-01,8531.88
1983-05-01,8628.88
1983-06-01,8667.57
1983-07-01,8969.80
1983-08-01,9054.14
1983-09-01,9299.01
1983-10-01,9397.85
1983-11-01,9347.91
1983-12-01,9580.56
1984-01-01,10074.13
1984-02-01,10008.41
1984-03-01,10326.53
1984-04-01,10921.92
1984-05-01,10550.69
1984-06-01,10225.08
1984-07-01,10156.46
1984-08-01,10414.70
1984-09-01,10562.01
1984-10-01,10853.78
1984-11-01,11257.60
1984-12-01,11469.44
1985-01-01,11800.22
1985-02-01,12075.50
1985-03-01,12468.41
1985-04-01,12432.44
1985-05-01,12557.12
1985-06-01,12730.43
1985-07-01,12779.78
1985-08-01,12555.52
1985-09-01,12600.77
1985-10-01,12900.45
1985-11-01,12751.75
1985-12-01,12990.02
1986-01-01,12987.46
1986-02-01,13364.16
1986-03-01,14535.18
1986-04-01,15484.72
1986-05-01,16062.32
1986-06-01,17163.89
1986-07-01,17731.33
1986-08-01,18103.87
1986-09-01,18129.19
1986-10-01,16913.13
1986-11-01,17313.25
1986-12-01,18725.39
1987-01-01,19210.91
1987-02-01,19942.20
1987-03-01,21413.36
1987-04-01,23245.20
1987-05-01,24310.55
1987-06-01,25253.11
1987-07-01,23929.76
1987-08-01,25314.35
1987-09-01,25275.79
1987-10-01,24819.07
1987-11-01,22598.00
1987-12-01,22741.79
1988-01-01,22788.45
1988-02-01,24312.64
1988-03-01,25724.28
1988-04-01,26828.72
1988-05-01,27431.67
1988-06-01,27889.25
1988-07-01,27676.98
1988-08-01,27963.51
1988-09-01,27581.33
1988-10-01,27430.41
1988-11-01,28729.77
1988-12-01,29739.71
1989-01-01,31144.01
1989-02-01,32005.12
1989-03-01,31955.54
1989-04-01,33226.20
1989-05-01,33989.33
1989-06-01,33373.59
1989-07-01,33843.26
1989-08-01,34808.44
1989-09-01,34649.14
1989-10-01,35323.43
1989-11-01,36038.65
1989-12-01,38115.32
1990-01-01,37404.76
1990-02-01,36517.81
1990-03-01,32305.78
1990-04-01,29237.07
1990-05-01,31826.80
1990-06-01,32364.77
1990-07-01,32170.53
1990-08-01,26908.76
1990-09-01,23935.65
1990-10-01,23816.81
1990-11-01,23468.09
1990-12-01,23740.50
1991-01-01,23321.20
1991-02-01,25219.21
1991-03-01,26458.25
1991-04-01,26469.56
1991-05-01,25848.77
1991-06-01,24533.99
1991-07-01,23226.72
1991-08-01,22730.04
1991-09-01,23038.96
1991-10-01,24631.84
1991-11-01,23795.76
1991-12-01,22304.11
1992-01-01,21857.02
1992-02-01,21412.57
1992-03-01,20350.69
1992-04-01,17593.12
1992-05-01,18323.53
1992-06-01,16948.07
1992-07-01,16278.14
1992-08-01,15790.15
1992-09-01,18202.84
1992-10-01,17174.52
1992-11-01,16819.56
1992-12-01,17382.11
1993-01-01,16658.83
1993-02-01,17036.34
1993-03-01,18038.57
1993-04-01,19991.61
1993-05-01,20631.49
1993-06-01,20111.37
1993-07-01,19980.68
1993-08-01,20623.35
1993-09-01,20614.56
1993-10-01,20128.04
1993-11-01,17965.39
1993-12-01,17263.23
1994-01-01,18661.10
1994-02-01,19697.99
1994-03-01,20021.66
1994-04-01,19807.60
1994-05-01,20303.20
1994-06-01,21014.76
1994-07-01,20548.78
1994-08-01,20603.47
1994-09-01,19934.19
1994-10-01,19851.60
1994-11-01,19277.26
1994-12-01,19299.47
1995-01-01,18948.41
1995-02-01,18065.03
1995-03-01,16447.56
1995-04-01,16322.09
1995-05-01,16265.90
1995-06-01,15039.44
1995-07-01,16188.70
1995-08-01,17410.72
1995-09-01,18097.16
1995-10-01,17951.67
1995-11-01,18109.40
1995-12-01,19417.95
1996-01-01,20497.19
1996-02-01,20628.68
1996-03-01,20424.27
1996-04-01,21828.73
1996-05-01,21770.73
1996-06-01,22185.52
1996-07-01,21558.51
1996-08-01,20870.31
1996-09-01,20823.62
1996-10-01,21118.92
1996-11-01,21040.79
1996-12-01,20178.73
1997-01-01,18050.44
1997-02-01,18575.59
1997-03-01,18244.07
1997-04-01,18177.96
1997-05-01,20045.93
1997-06-01,20505.54
1997-07-01,20148.13
1997-08-01,19090.73
1997-09-01,18248.45
1997-10-01,17274.75
1997-11-01,16103.43
1997-12-01,15917.07
1998-01-01,15929.69
1998-02-01,16797.69
1998-03-01,16840.31
1998-04-01,15941.29
1998-05-01,15514.28
1998-06-01,15231.29
1998-07-01,16370.17
1998-08-01,15243.98
1998-09-01,14140.69
1998-10-01,13486.91
1998-11-01,14525.88
1998-12-01,14295.80
1999-01-01,13831.75
1999-02-01,14180.22
1999-03-01,15418.03
1999-04-01,16677.62
1999-05-01,16505.22
1999-06-01,17135.96
1999-07-01,17983.68
1999-08-01,17670.31
1999-09-01,17530.91
1999-10-01,17679.64
1999-11-01,18443.68
1999-12-01,18405.09
2000-01-01,18941.61
2000-02-01,19685.53
2000-03-01,19834.72
2000-04-01,19517.67
2000-05-01,17039.97
2000-06-01,16969.28
2000-07-01,16959.93
2000-08-01,16329.89
2000-09-01,16168.29
2000-10-01,15311.70
2000-11-01,14760.88
2000-12-01,14409.74
2001-01-01,13720.95
2001-02-01,13266.27
2001-03-01,12708.47
2001-04-01,13411.84
2001-05-01,13975.55
2001-06-01,12974.89
2001-07-01,12151.11
2001-08-01,11576.21
2001-09-01,9996.83
2001-10-01,10438.90
2001-11-01,10511.22
2001-12-01,10496.20
2002-01-01,10300.79
2002-02-01,9981.65
2002-03-01,11448.80
2002-04-01,11384.49
2002-05-01,11709.62
2002-06-01,10965.88
2002-07-01,10352.27
2002-08-01,9751.20
2002-09-01,9354.01
2002-10-01,8792.50
2002-11-01,8700.33
2002-12-01,8692.94
2003-01-01,8570.73
2003-02-01,8538.47
2003-03-01,8169.75
2003-04-01,7909.39
2003-05-01,8132.36
2003-06-01,8895.71
2003-07-01,9676.30
2003-08-01,9884.59
2003-09-01,10649.92
2003-10-01,10717.13
2003-11-01,10205.30
2003-12-01,10295.98
2004-01-01,10892.76
2004-02-01,10631.92
2004-03-01,11441.08
2004-04-01,11960.82
2004-05-01,11037.51
2004-06-01,11527.72
2004-07-01,11388.59
2004-08-01,10989.34
2004-09-01,11079.42
2004-10-01,11012.91
2004-11-01,10973.00
2004-12-01,11061.32
2005-01-01,11394.84
2005-02-01,11545.30
2005-03-01,11809.38
2005-04-01,11395.64
2005-05-01,11082.38
2005-06-01,11402.75
2005-07-01,11716.87
2005-08-01,12204.98
2005-09-01,12979.38
2005-10-01,13392.79
2005-11-01,14368.05
2005-12-01,15650.83
2006-01-01,16085.51
2006-02-01,16187.64
2006-03-01,16311.54
2006-04-01,17232.97
2006-05-01,16322.24
2006-06-01,14990.31
2006-07-01,15147.55
2006-08-01,15786.78
2006-09-01,15934.09
2006-10-01,16519.44
2006-11-01,16101.07
2006-12-01,16790.21
2007-01-01,17286.32
2007-02-01,17741.23
2007-03-01,17128.37
2007-04-01,17469.81
2007-05-01,17595.14
2007-06-01,18001.37
2007-07-01,17974.77
2007-08-01,16460.95
2007-09-01,16235.39
2007-10-01,16903.36
2007-11-01,15543.76
2007-12-01,15544.65
2008-01-01,13731.31
2008-02-01,13547.84
2008-03-01,12602.92
2008-04-01,13357.70
2008-05-01,13995.33
2008-06-01,14084.60
2008-07-01,13168.91
2008-08-01,12989.35
2008-09-01,12123.53
2008-10-01,9117.03
2008-11-01,8531.45
2008-12-01,8456.82
2009-01-01,8331.49
2009-02-01,7694.78
2009-03-01,7764.58
2009-04-01,8767.96
2009-05-01,9304.43
2009-06-01,9810.31
2009-07-01,9691.12
2009-08-01,10430.35
2009-09-01,10302.87
2009-10-01,10066.24
2009-11-01,9640.99
2009-12-01,10169.01
2010-01-01,10661.62
2010-02-01,10175.13
2010-03-01,10671.49
2010-04-01,11139.77
2010-05-01,10103.98
2010-06-01,9786.05
2010-07-01,9456.84
2010-08-01,9268.24
2010-09-01,9346.72
2010-10-01,9455.09
2010-11-01,9797.18
2010-12-01,10254.46
2011-01-01,10449.53
2011-02-01,10622.27
2011-03-01,9852.45
2011-04-01,9644.63
2011-05-01,9650.78
2011-06-01,9541.53
2011-07-01,9996.68
2011-08-01,9072.94
2011-09-01,8695.42
2011-10-01,8733.56
2011-11-01,8506.11
2011-12-01,8505.99
2012-01-01,8616.71
2012-02-01,9242.33
2012-03-01,9962.35
2012-04-01,9627.42
2012-05-01,8842.54
2012-06-01,8638.08
2012-07-01,8760.68
2012-08-01,8949.88
2012-09-01,8948.59
2012-10-01,8827.39
2012-11-01,9059.86
2012-12-01,9814.38
2013-01-01,10750.85
2013-02-01,11336.44
2013-03-01,12244.03
2013-04-01,13224.06
2013-05-01,14532.41
2013-06-01,13106.62
2013-07-01,14317.54
2013-08-01,13726.66
2013-09-01,14372.12
2013-10-01,14329.02
2013-11-01,14931.74
2013-12-01,15655.23
2014-01-01,15578.28
2014-02-01,14617.57
2014-03-01,14694.83
2014-04-01,14475.33
2014-05-01,14343.14
2014-06-01,15131.80
2014-07-01,15379.29
2014-08-01,15358.70
2014-09-01,15948.47
2014-10-01,15394.11
2014-11-01,17179.03
2014-12-01,17541.69
2015-01-01,17274.40
2015-02-01,18053.20
2015-03-01,19197.57
2015-04-01,19767.92
2015-05-01,19974.19
2015-06-01,20403.84
2015-07-01,20372.58
2015-08-01,19919.09
2015-09-01,#N/A
