Date,Cotton、 Cotton Outlook 'A Index'、 Middling 1-3／32 inch staple、 CIF Liverpool、 US cents per pound
1989-05-01,77.34
1989-06-01,78.86
1989-07-01,83.01
1989-08-01,82.97
1989-09-01,81.45
1989-10-01,82.1
1989-11-01,82.13
1989-12-01,77.62
1990-01-01,75.2
1990-02-01,75.96
1990-03-01,78.9
1990-04-01,82.87
1990-05-01,85.6
1990-06-01,90.18
1990-07-01,91.79
1990-08-01,81.28
1990-09-01,81.28
1990-10-01,81.36
1990-11-01,82.43
1990-12-01,83.86
1991-01-01,83.71
1991-02-01,84.88
1991-03-01,84.23
1991-04-01,83.43
1991-05-01,84.17
1991-06-01,83.84
1991-07-01,81.02
1991-08-01,73.47
1991-09-01,70.33
1991-10-01,67.94
1991-11-01,64.1
1991-12-01,61.76
1992-01-01,59.62
1992-02-01,56.3
1992-03-01,55.33
1992-04-01,57.99
1992-05-01,60.59
1992-06-01,63.89
1992-07-01,65.29
1992-08-01,59.75
1992-09-01,56.65
1992-10-01,53.12
1992-11-01,52.69
1992-12-01,54
1993-01-01,57.29
1993-02-01,60.55
1993-03-01,61.45
1993-04-01,61.07
1993-05-01,60.17
1993-06-01,58.48
1993-07-01,57.99
1993-08-01,55.5
1993-09-01,55.16
1993-10-01,54.91
1993-11-01,54.91
1993-12-01,58.74
1994-01-01,67.94
1994-02-01,79.97
1994-03-01,81.77
1994-04-01,83.25
1994-05-01,86.04
1994-06-01,86.2
1994-07-01,82.02
1994-08-01,76.94
1994-09-01,75.29
1994-10-01,73.88
1994-11-01,76.91
1994-12-01,86.38
1995-01-01,94.78
1995-02-01,99.96
1995-03-01,110.47
1995-04-01,113.22
1995-05-01,115.85
1995-06-01,104.36
1995-07-01,95.98
1995-08-01,84.65
1995-09-01,91.1
1995-10-01,91.53
1995-11-01,89.29
1995-12-01,88.43
1996-01-01,85.91
1996-02-01,86.79
1996-03-01,83.23
1996-04-01,83
1996-05-01,82.89
1996-06-01,83.13
1996-07-01,79.84
1996-08-01,76.71
1996-09-01,75.36
1996-10-01,75.43
1996-11-01,75.91
1996-12-01,78.29
1997-01-01,79.77
1997-02-01,80.4
1997-03-01,80.63
1997-04-01,78.82
1997-05-01,79.26
1997-06-01,80.51
1997-07-01,81.18
1997-08-01,81.21
1997-09-01,79.64
1997-10-01,77.75
1997-11-01,77.22
1997-12-01,74.35
1998-01-01,72.14
1998-02-01,68.84
1998-03-01,68.43
1998-04-01,65.7
1998-05-01,64.36
1998-06-01,68.94
1998-07-01,69.86
1998-08-01,68.18
1998-09-01,66.39
1998-10-01,61.46
1998-11-01,56.08
1998-12-01,56
1999-01-01,55.78
1999-02-01,56.19
1999-03-01,56.71
1999-04-01,57.74
1999-05-01,59.9
1999-06-01,58.5
1999-07-01,54.41
1999-08-01,50.98
1999-09-01,49.48
1999-10-01,47.43
1999-11-01,46.21
1999-12-01,44.2
2000-01-01,47.43
2000-02-01,53.44
2000-03-01,57.3
2000-04-01,58.77
2000-05-01,60.5
2000-06-01,59.47
2000-07-01,58.39
2000-08-01,60.89
2000-09-01,61.64
2000-10-01,60.89
2000-11-01,63.98
2000-12-01,65.86
2001-01-01,64.18
2001-02-01,60.44
2001-03-01,54.56
2001-04-01,51.16
2001-05-01,49.97
2001-06-01,47.46
2001-07-01,45.55
2001-08-01,43.33
2001-09-01,41.26
2001-10-01,37.22
2001-11-01,37.96
2001-12-01,42.87
2002-01-01,43.42
2002-02-01,42.8
2002-03-01,42.04
2002-04-01,41.38
2002-05-01,39.89
2002-06-01,43.48
2002-07-01,46.7
2002-08-01,49.32
2002-09-01,48.98
2002-10-01,49.56
2002-11-01,52.33
2002-12-01,55.22
2003-01-01,56.71
2003-02-01,58.55
2003-03-01,61.01
2003-04-01,60.78
2003-05-01,57.8
2003-06-01,58.5
2003-07-01,60.19
2003-08-01,60.5
2003-09-01,64.18
2003-10-01,72.56
2003-11-01,76.94
2003-12-01,73.59
2004-01-01,76.24
2004-02-01,73.92
2004-03-01,72.28
2004-04-01,69.44
2004-05-01,70.04
2004-06-01,64.63
2004-07-01,57.02
2004-08-01,53.47
2004-09-01,56.68
2004-10-01,52.52
2004-11-01,49.24
2004-12-01,48.6
2005-01-01,51.26
2005-02-01,52.16
2005-03-01,56.24
2005-04-01,56.95
2005-05-01,55.84
2005-06-01,53.99
2005-07-01,54.97
2005-08-01,54.07
2005-09-01,54.95
2005-10-01,58.24
2005-11-01,56.83
2005-12-01,56.53
2006-01-01,59.01
2006-02-01,60.75
2006-03-01,58.62
2006-04-01,57.18
2006-05-01,55.41
2006-06-01,56.42
2006-07-01,56.73
2006-08-01,59.85
2006-09-01,58.82
2006-10-01,57.03
2006-11-01,57.4
2006-12-01,59.43
2007-01-01,59.05
2007-02-01,57.89
2007-03-01,58.41
2007-04-01,57.18
2007-05-01,55.57
2007-06-01,60.44
2007-07-01,67.81
2007-08-01,66.62
2007-09-01,68.21
2007-10-01,68.93
2007-11-01,69.71
2007-12-01,69.59
2008-01-01,73.25
2008-02-01,75.05
2008-03-01,80.18
2008-04-01,75.41
2008-05-01,74.12
2008-06-01,77.04
2008-07-01,77.29
2008-08-01,78.04
2008-09-01,73.59
2008-10-01,62.3
2008-11-01,55.06
2008-12-01,55.47
2009-01-01,57.7
2009-02-01,55.21
2009-03-01,51.5
2009-04-01,56.77
2009-05-01,61.95
2009-06-01,61.39
2009-07-01,64.8
2009-08-01,64.25
2009-09-01,64.07
2009-10-01,66.82
2009-11-01,71.78
2009-12-01,76.78
2010-01-01,77.4
2010-02-01,80.04
2010-03-01,85.79
2010-04-01,88.08
2010-05-01,90.07
2010-06-01,91.68
2010-07-01,84.15
2010-08-01,90.35
2010-09-01,104.73
2010-10-01,126.55
2010-11-01,155.47
2010-12-01,168.22
2011-01-01,178.93
2011-02-01,213.18
2011-03-01,229.67
2011-04-01,216.62
2011-05-01,165.52
2011-06-01,160.65
2011-07-01,149.25
2011-08-01,114.1
2011-09-01,116.65
2011-10-01,110.61
2011-11-01,104.68
2011-12-01,95.45
2012-01-01,101.11
2012-02-01,100.75
2012-03-01,99.5
2012-04-01,100.1
2012-05-01,88.53
2012-06-01,82.18
2012-07-01,83.97
2012-08-01,84.4
2012-09-01,84.15
2012-10-01,81.95
2012-11-01,80.87
2012-12-01,83.37
2013-01-01,85.51
2013-02-01,89.71
2013-03-01,94.45
2013-04-01,92.53
2013-05-01,92.62
2013-06-01,93.08
2013-07-01,92.62
2013-08-01,92.71
2013-09-01,90.09
2013-10-01,89.35
2013-11-01,84.65
2013-12-01,87.49
2014-01-01,90.96
2014-02-01,94.05
2014-03-01,96.95
2014-04-01,94.2
2014-05-01,92.71
2014-06-01,90.9
2014-07-01,83.84
2014-08-01,74
2014-09-01,73.38
2014-10-01,70.34
2014-11-01,67.52
2014-12-01,68.3
2015-01-01,67.35
2015-02-01,69.84
2015-03-01,69.35
2015-04-01,71.7
2015-05-01,72.86
2015-06-01,72.35
2015-07-01,72.35
2015-08-01,71.82
2015-09-01,68.74
