Date,Fuel (Energy) Index、 2005 = 100、 includes Crude oil (petroleum)、 Natural Gas、 and Coal Price Indices
2006-09-01,115.67
2006-10-01,108.96
2006-11-01,109.79
2006-12-01,114.28
2007-01-01,102.36
2007-02-01,109.21
2007-03-01,114.09
2007-04-01,121.1
2007-05-01,121.49
2007-06-01,126.74
2007-07-01,135.17
2007-08-01,130.01
2007-09-01,140.45
2007-10-01,150.53
2007-11-01,166.68
2007-12-01,164.7
2008-01-01,168.58
2008-02-01,176.27
2008-03-01,188.85
2008-04-01,202.3
2008-05-01,226.24
2008-06-01,243.39
2008-07-01,249.4
2008-08-01,217.46
2008-09-01,192.02
2008-10-01,146.68
2008-11-01,113.7
2008-12-01,91.55
2009-01-01,94.95
2009-02-01,89.7
2009-03-01,93.64
2009-04-01,97.05
2009-05-01,109.78
2009-06-01,127.94
2009-07-01,119.83
2009-08-01,130.44
2009-09-01,124.74
2009-10-01,134.81
2009-11-01,140.82
2009-12-01,137.84
2010-01-01,143.74
2010-02-01,139.3
2010-03-01,146.29
2010-04-01,155.22
2010-05-01,141.62
2010-06-01,140.14
2010-07-01,139.75
2010-08-01,141.35
2010-09-01,141.95
2010-10-01,151.33
2010-11-01,157.12
2010-12-01,167.13
2011-01-01,173.3
2011-02-01,181.53
2011-03-01,198.75
2011-04-01,212.57
2011-05-01,199.95
2011-06-01,196.65
2011-07-01,200.92
2011-08-01,189.65
2011-09-01,190.45
2011-10-01,189.22
2011-11-01,197.22
2011-12-01,195.28
2012-01-01,199.69
2012-02-01,208.65
2012-03-01,216.98
2012-04-01,210.62
2012-05-01,194.23
2012-06-01,172.47
2012-07-01,181.19
2012-08-01,194.79
2012-09-01,196.48
2012-10-01,191.02
2012-11-01,187.8
2012-12-01,188.46
2013-01-01,194.33
2013-02-01,198.68
2013-03-01,190.63
2013-04-01,184.44
2013-05-01,184.52
2013-06-01,184.85
2013-07-01,192.26
2013-08-01,196.77
2013-09-01,198.1
2013-10-01,192.95
2013-11-01,188.91
2013-12-01,194.31
2014-01-01,188.98
2014-02-01,192.9
2014-03-01,190.84
2014-04-01,192.16
2014-05-01,193.36
2014-06-01,197.2
2014-07-01,190.8
2014-08-01,182.94
2014-09-01,175.77
2014-10-01,159.7
2014-11-01,145.33
2014-12-01,119.24
2015-01-01,96.74
2015-02-01,108.3
2015-03-01,104.16
2015-04-01,108.68
2015-05-01,116.25
2015-06-01,113.96
2015-07-01,102.76
2015-08-01,88.47
2015-09-01,88.59
