Date,Aluminum、 99.5% minimum purity、 LME spot price、 CIF UK ports、 US＄ per metric ton
2009-12-01,2181.26
2010-01-01,2230.15
2010-02-01,2053.29
2010-03-01,2210.55
2010-04-01,2314.31
2010-05-01,2044.73
2010-06-01,1929.41
2010-07-01,1989.05
2010-08-01,2110.44
2010-09-01,2171.24
2010-10-01,2342.18
2010-11-01,2324.05
2010-12-01,2356.67
2011-01-01,2439.7
2011-02-01,2515.26
2011-03-01,2555.5
2011-04-01,2667.42
2011-05-01,2587.21
2011-06-01,2557.76
2011-07-01,2525.43
2011-08-01,2380.97
2011-09-01,2293.46
2011-10-01,2180.65
2011-11-01,2079.98
2011-12-01,2024.38
2012-01-01,2151.33
2012-02-01,2207.92
2012-03-01,2184.16
2012-04-01,2048.51
2012-05-01,2002.52
2012-06-01,1885.51
2012-07-01,1876.25
2012-08-01,1843.33
2012-09-01,2064.12
2012-10-01,1974.3
2012-11-01,1948.83
2012-12-01,2086.76
2013-01-01,2037.61
2013-02-01,2053.6
2013-03-01,1911.28
2013-04-01,1861.02
2013-05-01,1832.57
2013-06-01,1814.54
2013-07-01,1769.61
2013-08-01,1816.24
2013-09-01,1761.3
2013-10-01,1814.58
2013-11-01,1747.96
2013-12-01,1739.81
2014-01-01,1727.41
2014-02-01,1695.17
2014-03-01,1705.37
2014-04-01,1810.67
2014-05-01,1751.05
2014-06-01,1838.95
2014-07-01,1948.3
2014-08-01,2030.49
2014-09-01,1990.43
2014-10-01,1946.19
2014-11-01,2055.55
2014-12-01,1909.46
2015-01-01,1814.72
2015-02-01,1817.82
2015-03-01,1773.86
2015-04-01,1819.19
2015-05-01,1804.04
2015-06-01,1687.73
2015-07-01,1639.5
2015-08-01,1548.13
2015-09-01,1589.6
