Date,Oranges、 miscellaneous oranges CIF French import price、 US＄ per metric ton
2003-01-01,547.13
2003-02-01,505.06
2003-03-01,633.15
2003-04-01,700
2003-05-01,685
2003-06-01,719.44
2003-07-01,749.65
2003-08-01,793.2
2003-09-01,782.99
2003-10-01,836.15
2003-11-01,660.98
2003-12-01,582.95
2004-01-01,718.27
2004-02-01,831.05
2004-03-01,934.72
2004-04-01,858.92
2004-05-01,872.75
2004-06-01,920.82
2004-07-01,994.18
2004-08-01,935.59
2004-09-01,901.3
2004-10-01,921.2
2004-11-01,715.34
2004-12-01,686.13
2005-01-01,640.12
2005-02-01,742.36
2005-03-01,1109.06
2005-04-01,1174.97
2005-05-01,1095.68
2005-06-01,934.69
2005-07-01,748.69
2005-08-01,757.4
2005-09-01,749.03
2005-10-01,815.14
2005-11-01,879.53
2005-12-01,849.42
2006-01-01,849.75
2006-02-01,821.46
2006-03-01,808.86
2006-04-01,800.33
2006-05-01,800.19
2006-06-01,665.84
2006-07-01,734.4
2006-08-01,830.84
2006-09-01,878.63
2006-10-01,1036
2006-11-01,931.12
2006-12-01,792.8
2007-01-01,797.09
2007-02-01,841.82
2007-03-01,811.34
2007-04-01,855.84
2007-05-01,886.84
2007-06-01,935.34
2007-07-01,1142.48
2007-08-01,1231.13
2007-09-01,1032.22
2007-10-01,974.51
2007-11-01,1045.7
2007-12-01,925.87
2008-01-01,1029.65
2008-02-01,1049.03
2008-03-01,1230.77
2008-04-01,1233.72
2008-05-01,1317.69
2008-06-01,1414.43
2008-07-01,1431.69
2008-08-01,1131.85
2008-09-01,923.97
2008-10-01,909.83
2008-11-01,853.34
2008-12-01,761.72
2009-01-01,782.89
2009-02-01,766.46
2009-03-01,847.05
2009-04-01,904.52
2009-05-01,888.24
2009-06-01,816.12
2009-07-01,715.36
2009-08-01,836.29
2009-09-01,1030.95
2009-10-01,1152.61
2009-11-01,1154.41
2009-12-01,1013.58
2010-01-01,1089.26
2010-02-01,981.59
2010-03-01,954.72
2010-04-01,994.73
2010-05-01,1054.71
2010-06-01,1201.27
2010-07-01,1302.41
2010-08-01,1139.33
2010-09-01,1046.85
2010-10-01,1086.32
2010-11-01,823.35
2010-12-01,723.89
2011-01-01,734.61
2011-02-01,884.96
2011-03-01,852.44
2011-04-01,880.97
2011-05-01,836.41
2011-06-01,916.4
2011-07-01,971.56
2011-08-01,948.83
2011-09-01,1194.94
2011-10-01,1032.7
2011-11-01,681.65
2011-12-01,757.73
2012-01-01,730.58
2012-02-01,778.64
2012-03-01,802.57
2012-04-01,822.89
2012-05-01,755.83
2012-06-01,952.76
2012-07-01,1015.16
2012-08-01,970.39
2012-09-01,1000.89
2012-10-01,980.85
2012-11-01,846.84
2012-12-01,758.08
2013-01-01,750.03
2013-02-01,819.58
2013-03-01,908.1
2013-04-01,980.49
2013-05-01,1057.01
2013-06-01,1157.65
2013-07-01,1121.23
2013-08-01,1190.81
2013-09-01,1119.72
2013-10-01,997.26
2013-11-01,766
2013-12-01,739.98
2014-01-01,753.15
2014-02-01,770.93
2014-03-01,808.11
2014-04-01,846.89
2014-05-01,834.98
2014-06-01,834.56
2014-07-01,783.04
2014-08-01,768.17
2014-09-01,771.03
2014-10-01,732.15
2014-11-01,717.87
2014-12-01,769.23
2015-01-01,758.02
2015-02-01,704.17
2015-03-01,633.29
2015-04-01,612.13
2015-05-01,608.64
2015-06-01,629.9
2015-07-01,640.11
2015-08-01,684.28
2015-09-01,631.91
