Date,新設住宅着工.総計.戸数前年同月比(%)
1980-03-01,-5.715
1980-04-01,-10.466
1980-05-01,-9.356
1980-06-01,-18.007
1980-07-01,-26.416
1980-08-01,-23.117
1980-09-01,-20.268
1980-10-01,-20.209
1980-11-01,-22.635
1980-12-01,-15.23
1981-01-01,-24.339
1981-02-01,-7.29
1981-03-01,-21.169
1981-04-01,-14.513
1981-05-01,12.387
1981-06-01,-6.58
1981-07-01,-16.636
1981-08-01,-9.549
1981-09-01,-5.521
1981-10-01,-6.526
1981-11-01,-2.03
1981-12-01,-4.828
1982-01-01,-2.243
1982-02-01,-9.342
1982-03-01,0.758
1982-04-01,-11.302
1982-05-01,-22.031
1982-06-01,-1.882
1982-07-01,7.762
1982-08-01,4.929
1982-09-01,6.859
1982-10-01,14.839
1982-11-01,13.593
1982-12-01,2.098
1983-01-01,20.692
1983-02-01,5.156
1983-03-01,-6.988
1983-04-01,-3.801
1983-05-01,-11.173
1983-06-01,-0.144
1983-07-01,-3.353
1983-08-01,-1.681
1983-09-01,-3.691
1983-10-01,-2.015
1983-11-01,-1.582
1983-12-01,6.89
1984-01-01,-11.706
1984-02-01,2.751
1984-03-01,5.627
1984-04-01,10.92
1984-05-01,16.759
1984-06-01,-0.667
1984-07-01,6.324
1984-08-01,4.26
1984-09-01,3.847
1984-10-01,5.807
1984-11-01,3.18
1984-12-01,5.02
1985-01-01,9.9
1985-02-01,5.97
1985-03-01,8.065
1985-04-01,3.2
1985-05-01,3.329
1985-06-01,5.994
1985-07-01,-0.479
1985-08-01,-4.744
1985-09-01,3.173
1985-10-01,5.402
1985-11-01,6.478
1985-12-01,5.311
1986-01-01,9.453
1986-02-01,5.919
1986-03-01,2.126
1986-04-01,-0.847
1986-05-01,5.043
1986-06-01,4.723
1986-07-01,13.474
1986-08-01,19.426
1986-09-01,20.894
1986-10-01,14.865
1986-11-01,17.844
1986-12-01,12.898
1987-01-01,10.25
1987-02-01,13.422
1987-03-01,12.807
1987-04-01,19.345
1987-05-01,24.652
1987-06-01,28.073
1987-07-01,27.181
1987-08-01,30.913
1987-09-01,26.776
1987-10-01,26.579
1987-11-01,25.211
1987-12-01,20.819
1988-01-01,19.05
1988-02-01,17.108
1988-03-01,14.797
1988-04-01,1.969
1988-05-01,4.156
1988-06-01,1.872
1988-07-01,-1.916
1988-08-01,2.151
1988-09-01,-7.027
1988-10-01,-8.509
1988-11-01,-11.367
1988-12-01,-8.143
1989-01-01,-8.254
1989-02-01,-9.531
1989-03-01,-0.466
1989-04-01,4.372
1989-05-01,-0.449
1989-06-01,-2.139
1989-07-01,-1.743
1989-08-01,-6.023
1989-09-01,0.03
1989-10-01,2.781
1989-11-01,3.248
1989-12-01,0.628
1990-01-01,6.323
1990-02-01,5.608
1990-03-01,-2.032
1990-04-01,0.513
1990-05-01,8.367
1990-06-01,7.831
1990-07-01,6.304
1990-08-01,-0.067
1990-09-01,5.175
1990-10-01,0.665
1990-11-01,-3.716
1990-12-01,-1.361
1991-01-01,-4.185
1991-02-01,-12.503
1991-03-01,-16.344
1991-04-01,-18.943
1991-05-01,-22.089
1991-06-01,-21.56
1991-07-01,-20.968
1991-08-01,-22.78
1991-09-01,-26.594
1991-10-01,-25.527
1991-11-01,-19.426
1991-12-01,-19.745
1992-01-01,-16.361
1992-02-01,-7.032
1992-03-01,-2.316
1992-04-01,0.419
1992-05-01,-0.098
1992-06-01,1.037
1992-07-01,4.86
1992-08-01,12.043
1992-09-01,10.371
1992-10-01,10.307
1992-11-01,8.184
1992-12-01,5.404
1993-01-01,0.921
1993-02-01,6.292
1993-03-01,9.222
1993-04-01,1.089
1993-05-01,0.447
1993-06-01,4.14
1993-07-01,4.646
1993-08-01,10.905
1993-09-01,10.643
1993-10-01,7.78
1993-11-01,8.731
1993-12-01,4.872
1994-01-01,20.746
1994-02-01,6.319
1994-03-01,-0.673
1994-04-01,11.639
1994-05-01,13.485
1994-06-01,10.618
1994-07-01,5.849
1994-08-01,1.801
1994-09-01,-2.708
1994-10-01,0.242
1994-11-01,4.464
1994-12-01,2.906
1995-01-01,-5.573
1995-02-01,1.761
1995-03-01,-4.794
1995-04-01,-8.629
1995-05-01,-11.106
1995-06-01,-15.668
1995-07-01,-11.177
1995-08-01,-15.046
1995-09-01,-5.283
1995-10-01,-2.27
1995-11-01,0.144
1995-12-01,4.786
1996-01-01,7.204
1996-02-01,-1.867
1996-03-01,8.166
1996-04-01,12.266
1996-05-01,18.092
1996-06-01,9.572
1996-07-01,21.676
1996-08-01,14.337
1996-09-01,17.404
1996-10-01,21.394
1996-11-01,9.891
1996-12-01,1.392
1997-01-01,-1.886
1997-02-01,-1.502
1997-03-01,-7.497
1997-04-01,-9.327
1997-05-01,-9.587
1997-06-01,-11.584
1997-07-01,-27.763
1997-08-01,-17.491
1997-09-01,-22.226
1997-10-01,-25.172
1997-11-01,-23.538
1997-12-01,-18.563
1998-01-01,-16.292
1998-02-01,-13.566
1998-03-01,-11.928
1998-04-01,-16.084
1998-05-01,-16.987
1998-06-01,-11.69
1998-07-01,-11.294
1998-08-01,-11.407
1998-09-01,-14.013
1998-10-01,-12.884
1998-11-01,-15.997
1998-12-01,-10.799
1999-01-01,-11.165
1999-02-01,-9.373
1999-03-01,0.044
1999-04-01,1.135
1999-05-01,-0.933
1999-06-01,7.3
1999-07-01,1.863
1999-08-01,8.449
1999-09-01,10.509
1999-10-01,-0.607
1999-11-01,8.099
1999-12-01,-0.808
2000-01-01,16.794
2000-02-01,2.372
2000-03-01,-3.617
2000-04-01,0.05
2000-05-01,-1.087
2000-06-01,-1.229
2000-07-01,-0.836
2000-08-01,-3.771
2000-09-01,-3.118
2000-10-01,1.537
2000-11-01,2.246
2000-12-01,10.553
2001-01-01,-11.114
2001-02-01,-5.861
2001-03-01,-1.373
2001-04-01,-7.181
2001-05-01,-0.192
2001-06-01,-10.548
2001-07-01,1.415
2001-08-01,1.111
2001-09-01,-2.941
2001-10-01,-3.33
2001-11-01,-1.193
2001-12-01,-12.933
2002-01-01,3.501
2002-02-01,2.798
2002-03-01,-6.191
2002-04-01,-0.635
2002-05-01,5.845
2002-06-01,0.33
2002-07-01,-6.681
2002-08-01,-6.735
2002-09-01,-5.14
2002-10-01,1.79
2002-11-01,-6.695
2002-12-01,-3.402
2003-01-01,-1.694
2003-02-01,-2.77
2003-03-01,-1.867
2003-04-01,1.367
2003-05-01,-7.671
2003-06-01,13.378
2003-07-01,2.569
2003-08-01,-5.373
2003-09-01,1.163
2003-10-01,0.97
2003-11-01,-0.269
2003-12-01,9.375
2004-01-01,7.282
2004-02-01,1.86
2004-03-01,6.859
2004-04-01,-4.087
2004-05-01,0.938
2004-06-01,-7.385
2004-07-01,7.845
2004-08-01,10.458
2004-09-01,10.076
2004-10-01,1.504
2004-11-01,0.165
2004-12-01,-1.961
2005-01-01,6.923
2005-02-01,0.398
2005-03-01,-2.676
2005-04-01,0.584
2005-05-01,3.006
2005-06-01,2.441
2005-07-01,8.342
2005-08-01,6.984
2005-09-01,-0.18
2005-10-01,9.117
2005-11-01,12.606
2005-12-01,-0.928
2006-01-01,-2.154
2006-02-01,13.726
2006-03-01,3.887
2006-04-01,15.009
2006-05-01,6.666
2006-06-01,4.714
2006-07-01,-7.538
2006-08-01,1.821
2006-09-01,4.03
2006-10-01,2.191
2006-11-01,3.97
2006-12-01,10.185
2007-01-01,-0.732
2007-02-01,-9.934
2007-03-01,5.481
2007-04-01,-3.6
2007-05-01,-10.654
2007-06-01,5.963
2007-07-01,-23.38
2007-08-01,-43.27
2007-09-01,-43.955
2007-10-01,-35.012
2007-11-01,-26.986
2007-12-01,-19.176
2008-01-01,-5.691
2008-02-01,-5.034
2008-03-01,-15.577
2008-04-01,-8.663
2008-05-01,-6.461
2008-06-01,-16.69
2008-07-01,18.966
2008-08-01,53.632
2008-09-01,54.216
2008-10-01,19.765
2008-11-01,0.03
2008-12-01,-5.753
2009-01-01,-18.722
2009-02-01,-24.902
2009-03-01,-20.672
2009-04-01,-32.426
2009-05-01,-30.835
2009-06-01,-32.36
2009-07-01,-32.134
2009-08-01,-38.343
2009-09-01,-37.046
2009-10-01,-27.141
2009-11-01,-19.079
2009-12-01,-15.693
2010-01-01,-8.116
2010-02-01,-9.271
2010-03-01,-2.431
2010-04-01,0.559
2010-05-01,-4.608
2010-06-01,0.615
2010-07-01,4.297
2010-08-01,20.372
2010-09-01,17.68
2010-10-01,6.362
2010-11-01,6.804
2010-12-01,7.531
2011-01-01,2.707
2011-02-01,10.128
2011-03-01,-2.444
2011-04-01,0.284
2011-05-01,6.368
2011-06-01,5.822
2011-07-01,21.202
2011-08-01,13.995
2011-09-01,-10.823
2011-10-01,-5.767
2011-11-01,-0.279
2011-12-01,-7.311
2012-01-01,-1.087
2012-02-01,7.511
2012-03-01,5.011
2012-04-01,10.321
2012-05-01,9.277
2012-06-01,-0.166
2012-07-01,-9.565
2012-08-01,-5.472
2012-09-01,15.528
2012-10-01,25.237
2012-11-01,10.339
2012-12-01,9.954
2013-01-01,5.009
2013-02-01,3.05
2013-03-01,7.296
2013-04-01,5.767
2013-05-01,14.522
2013-06-01,15.349
2013-07-01,12.437
2013-08-01,8.83
2013-09-01,19.363
2013-10-01,7.092
2013-11-01,14.137
2013-12-01,17.953
2014-01-01,12.345
2014-02-01,1.044
2014-03-01,-2.862
2014-04-01,-3.348
2014-05-01,-14.997
2014-06-01,-9.494
2014-07-01,-14.058
2014-08-01,-12.535
2014-09-01,-14.295
2014-10-01,-12.253
2014-11-01,-14.333
2014-12-01,-14.693
2015-01-01,-13.013
2015-02-01,-3.066
2015-03-01,0.686
2015-04-01,0.44
2015-05-01,5.796
2015-06-01,16.317
2015-07-01,7.386
2015-08-01,8.789
