week,対外.株式投資ファンド持分.ネット
2010年12月第5週,127
2011年1月第2週,-307
2011年1月第3週,-247
2011年1月第4週,-266
2011年1月第5週,-513
2011年1月第6週,-80
2011年2月第2週,-87
2011年2月第3週,-1511
2011年2月第4週,-336
2011年2月第5週,64
2011年3月第2週,0
2011年3月第3週,-1017
2011年3月第4週,-338
2011年3月第5週,-238
2011年4月第2週,-1610
2011年4月第3週,-3774
2011年4月第4週,-56
2011年4月第5週,641
2011年5月第1週,-215
2011年5月第2週,805
2011年5月第3週,-32
2011年5月第4週,263
2011年5月第5週,987
2011年6月第2週,861
2011年6月第3週,1299
2011年6月第4週,493
2011年6月第5週,1123
2011年7月第2週,455
2011年7月第3週,1053
2011年7月第4週,970
2011年7月第5週,-153
2011年7月第6週,1453
2011年8月第2週,1390
2011年8月第3週,773
2011年8月第4週,1463
2011年8月第5週,1761
2011年9月第2週,648
2011年9月第3週,236
2011年9月第4週,327
2011年9月第5週,1329
2011年10月第2週,856
2011年10月第3週,209
2011年10月第4週,-210
2011年10月第5週,-933
2011年10月第6週,-1904
2011年11月第2週,-770
2011年11月第3週,132
2011年11月第4週,137
2011年11月第5週,899
2011年12月第2週,-329
2011年12月第3週,-601
2011年12月第4週,57
2011年12月第5週,-379
2012年1月第1週,-564
2012年1月第2週,-336
2012年1月第3週,-761
2012年1月第4週,-1026
2012年1月第5週,-1133
2012年2月第2週,-638
2012年2月第3週,-1057
2012年2月第4週,-192
2012年2月第5週,-577
2012年3月第2週,-494
2012年3月第3週,-592
2012年3月第4週,-1507
2012年3月第5週,-1583
2012年4月第1週,-951
2012年4月第2週,-104
2012年4月第3週,423
2012年4月第4週,281
2012年4月第5週,221
2012年5月第2週,-321
2012年5月第3週,-361
2012年5月第4週,484
2012年5月第5週,1966
2012年6月第2週,453
2012年6月第3週,413
2012年6月第4週,182
2012年6月第5週,206
2012年7月第1週,103
2012年7月第2週,-561
2012年7月第3週,-224
2012年7月第4週,-126
2012年7月第5週,-464
2012年8月第2週,-232
2012年8月第3週,-438
2012年8月第4週,-579
2012年8月第5週,-346
2012年9月第2週,-769
2012年9月第3週,-2894
2012年9月第4週,-668
2012年9月第5週,-9
2012年9月第6週,535
2012年10月第2週,-63
2012年10月第3週,-9
2012年10月第4週,-365
2012年10月第5週,-237
2012年11月第2週,-389
2012年11月第3週,-418
2012年11月第4週,-198
2012年11月第5週,-157
2012年12月第2週,-628
2012年12月第3週,-1043
2012年12月第4週,-2317
2012年12月第5週,-447
2012年12月第6週,76
2013年1月第2週,-1553
2013年1月第3週,-2352
2013年1月第4週,-2541
2013年1月第5週,-3529
2013年2月第2週,-2286
2013年2月第3週,-4147
2013年2月第4週,-1064
2013年2月第5週,-4419
2013年3月第2週,-2695
2013年3月第3週,-5371
2013年3月第4週,-6454
2013年3月第5週,-718
2013年3月第6週,65
2013年4月第2週,-1577
2013年4月第3週,-278
2013年4月第4週,-184
2013年4月第5週,281
2013年5月第2週,191
2013年5月第3週,-1369
2013年5月第4週,-1050
2013年5月第5週,-1373
2013年6月第2週,-2218
2013年6月第3週,-1300
2013年6月第4週,139
2013年6月第5週,-398
2013年6月第6週,-141
2013年7月第2週,-883
2013年7月第3週,-567
2013年7月第4週,-1549
2013年7月第5週,-195
2013年8月第2週,-1012
2013年8月第3週,-30
2013年8月第4週,96
2013年8月第5週,656
2013年9月第1週,381
2013年9月第2週,-502
2013年9月第3週,-1683
2013年9月第4週,-490
2013年9月第5週,262
2013年10月第2週,1169
2013年10月第3週,-470
2013年10月第4週,-2523
2013年10月第5週,-357
2013年11月第2週,-984
2013年11月第3週,-899
2013年11月第4週,-916
2013年11月第5週,-664
2013年12月第1週,-1274
2013年12月第2週,-2126
2013年12月第3週,-1416
2013年12月第4週,-595
2013年12月第5週,-94
2014年1月第2週,1492
2014年1月第3週,-506
2014年1月第4週,-1526
2014年1月第5週,-1071
2014年2月第2週,-2437
2014年2月第3週,313
2014年2月第4週,-1926
2014年2月第5週,-54
2014年3月第2週,-922
2014年3月第3週,-1361
2014年3月第4週,-541
2014年3月第5週,313
2014年3月第6週,947
2014年4月第2週,-283
2014年4月第3週,1004
2014年4月第4週,738
2014年4月第5週,-194
2014年5月第2週,-1504
2014年5月第3週,1407
2014年5月第4週,-755
2014年5月第5週,2771
2014年6月第1週,985
2014年6月第2週,-1086
2014年6月第3週,47
2014年6月第4週,964
2014年6月第5週,1638
2014年7月第2週,719
2014年7月第3週,1630
2014年7月第4週,243
2014年7月第5週,2462
2014年8月第2週,1760
2014年8月第3週,2577
2014年8月第4週,2236
2014年8月第5週,-47
2014年8月第6週,1100
2014年9月第2週,2483
2014年9月第3週,609
2014年9月第4週,3933
2014年9月第5週,4390
2014年10月第2週,17
2014年10月第3週,3188
2014年10月第4週,1971
2014年10月第5週,3261
2014年11月第2週,-2673
2014年11月第3週,-830
2014年11月第4週,1942
2014年11月第5週,1522
2014年11月第6週,1152
2014年12月第2週,1267
2014年12月第3週,4086
2014年12月第4週,2375
2014年12月第5週,1637
2015年1月第2週,1180
2015年1月第3週,6574
2015年1月第4週,3821
2015年1月第5週,4579
2015年2月第1週,3063
2015年2月第2週,1559
2015年2月第3週,2974
2015年2月第4週,6245
2015年3月第1週,3562
2015年3月第2週,5106
2015年3月第3週,2202
2015年3月第4週,3961
2015年3月第5週,4244
2015年4月第2週,2765
2015年4月第3週,2715
2015年4月第4週,1680
2015年4月第5週,2448
2015年5月第2週,963
2015年5月第3週,394
2015年5月第4週,2651
2015年5月第5週,1687
2015年5月第6週,548
2015年6月第2週,1562
2015年6月第3週,3495
2015年6月第4週,2340
2015年6月第5週,4837
2015年7月第2週,1880
2015年7月第3週,3994
2015年7月第4週,2104
2015年7月第5週,1681
2015年8月第2週,-144
2015年8月第3週,1892
2015年8月第4週,2581
2015年8月第5週,5827
2015年8月第6週,8686
2015年9月第2週,3806
2015年9月第3週,4111
2015年9月第4週,136
2015年9月第5週,6123
2015年10月第2週,1050
2015年10月第3週,2728
2015年10月第4週,1589
2015年10月第5週,1730
2015年11月第1週,-338
2015年11月第2週,146
2015年11月第3週,3417
2015年11月第4週,535
2015年11月第5週,2346
2015年12月第2週,218
