Date,Maize (corn)、 U.S. No.2 Yellow、 FOB Gulf of Mexico、 U.S. price、 US＄ per metric ton
2005-09-01,96.99
2005-10-01,101.5
2005-11-01,95.97
2005-12-01,102.66
2006-01-01,102.7
2006-02-01,106.92
2006-03-01,104.89
2006-04-01,107.82
2006-05-01,110.57
2006-06-01,109.55
2006-07-01,114.24
2006-08-01,115.21
2006-09-01,120.26
2006-10-01,142.17
2006-11-01,164.08
2006-12-01,160.66
2007-01-01,165.1
2007-02-01,177.35
2007-03-01,169.52
2007-04-01,152.58
2007-05-01,156.44
2007-06-01,164.5
2007-07-01,147.13
2007-08-01,151.01
2007-09-01,160.05
2007-10-01,164.09
2007-11-01,171.06
2007-12-01,180.25
2008-01-01,206.53
2008-02-01,219.95
2008-03-01,233.85
2008-04-01,246.67
2008-05-01,243.46
2008-06-01,287.11
2008-07-01,266.94
2008-08-01,235.16
2008-09-01,233.91
2008-10-01,182.96
2008-11-01,164.27
2008-12-01,158.16
2009-01-01,173.24
2009-02-01,163.13
2009-03-01,164.52
2009-04-01,168.72
2009-05-01,180.31
2009-06-01,178.83
2009-07-01,151.76
2009-08-01,152.01
2009-09-01,150.57
2009-10-01,167.22
2009-11-01,171.61
2009-12-01,164.58
2010-01-01,167.21
2010-02-01,161.63
2010-03-01,159.01
2010-04-01,157.66
2010-05-01,163.77
2010-06-01,152.87
2010-07-01,163.92
2010-08-01,175.6
2010-09-01,205.84
2010-10-01,235.7
2010-11-01,238.24
2010-12-01,250.63
2011-01-01,265.29
2011-02-01,293.4
2011-03-01,290.36
2011-04-01,318.7
2011-05-01,308.47
2011-06-01,310.46
2011-07-01,300.8
2011-08-01,310.24
2011-09-01,296.21
2011-10-01,274.78
2011-11-01,274.23
2011-12-01,258.44
2012-01-01,272.85
2012-02-01,279.46
2012-03-01,280.66
2012-04-01,274.21
2012-05-01,268.79
2012-06-01,267.23
2012-07-01,332.95
2012-08-01,332.17
2012-09-01,320.72
2012-10-01,321.63
2012-11-01,321.54
2012-12-01,308.72
2013-01-01,303.29
2013-02-01,302.5
2013-03-01,309.49
2013-04-01,280.27
2013-05-01,295.29
2013-06-01,297.06
2013-07-01,278.93
2013-08-01,234.89
2013-09-01,207.41
2013-10-01,201.73
2013-11-01,199.14
2013-12-01,197.5
2014-01-01,198.72
2014-02-01,209.32
2014-03-01,222.33
2014-04-01,222.36
2014-05-01,216.92
2014-06-01,202.56
2014-07-01,182.23
2014-08-01,176.43
2014-09-01,163.06
2014-10-01,163.31
2014-11-01,178.67
2014-12-01,178.67
2015-01-01,174.71
2015-02-01,173.7
2015-03-01,174.23
2015-04-01,172.05
2015-05-01,166.3
2015-06-01,166.72
2015-07-01,179.6
2015-08-01,162.74
2015-09-01,166.01
