Date,Lamb、 frozen carcass Smithfield London、 US cents per pound
2012-10-01,88.52
2012-11-01,88.52
2012-12-01,91.39
2013-01-01,94.63
2013-02-01,98.35
2013-03-01,98.35
2013-04-01,99.25
2013-05-01,105.74
2013-06-01,106.78
2013-07-01,107.76
2013-08-01,109.59
2013-09-01,110.33
2013-10-01,111.85
2013-11-01,116.42
2013-12-01,120.83
2014-01-01,121.44
2014-02-01,122.59
2014-03-01,128.26
2014-04-01,132.27
2014-05-01,136.16
2014-06-01,137.63
2014-07-01,134.88
2014-08-01,132.14
2014-09-01,131.31
2014-10-01,130.67
2014-11-01,130.67
2014-12-01,129.26
2015-01-01,128.62
2015-02-01,122.94
2015-03-01,115.85
2015-04-01,115.21
2015-05-01,112.54
2015-06-01,109.59
2015-07-01,108.37
2015-08-01,99.29
2015-09-01,96.12
