Date,Swine (pork)、 51-52% lean Hogs、 U.S. price、 US cents per pound.
1991-07-01,92.26
1991-08-01,77.79
1991-09-01,73.21
1991-10-01,59.99
1991-11-01,55.73
1991-12-01,52.89
1992-01-01,51.77
1992-02-01,54.73
1992-03-01,52.38
1992-04-01,50.26
1992-05-01,64.16
1992-06-01,60.98
1992-07-01,61.04
1992-08-01,65.62
1992-09-01,53.85
1992-10-01,53.76
1992-11-01,56.06
1992-12-01,53.17
1993-01-01,59.14
1993-02-01,62.98
1993-03-01,65.6
1993-04-01,63.73
1993-05-01,66.6
1993-06-01,68.31
1993-07-01,65.46
1993-08-01,68.43
1993-09-01,68.98
1993-10-01,66.79
1993-11-01,60.68
1993-12-01,57.53
1994-01-01,62.4
1994-02-01,67.84
1994-03-01,62.63
1994-04-01,59.98
1994-05-01,60.57
1994-06-01,61.27
1994-07-01,60.59
1994-08-01,60.12
1994-09-01,50.41
1994-10-01,45.41
1994-11-01,40.26
1994-12-01,45.43
1995-01-01,53.42
1995-02-01,55.68
1995-03-01,54.05
1995-04-01,51.05
1995-05-01,48.05
1995-06-01,55.55
1995-07-01,66.06
1995-08-01,78.08
1995-09-01,75.7
1995-10-01,78.51
1995-11-01,65.89
1995-12-01,71.5
1996-01-01,72.9
1996-02-01,78.51
1996-03-01,89.72
1996-04-01,99.53
1996-05-01,112.15
1996-06-01,102.34
1996-07-01,124.77
1996-08-01,124.77
1996-09-01,76.29
1996-10-01,76.59
1996-11-01,75.74
1996-12-01,76.51
1997-01-01,74.6
1997-02-01,72.48
1997-03-01,68.96
1997-04-01,76.86
1997-05-01,81.52
1997-06-01,83.17
1997-07-01,83.14
1997-08-01,77.41
1997-09-01,70.66
1997-10-01,65.95
1997-11-01,63.03
1997-12-01,56.52
1998-01-01,50.55
1998-02-01,50.38
1998-03-01,50.24
1998-04-01,50.75
1998-05-01,61.33
1998-06-01,60.45
1998-07-01,52.34
1998-08-01,49.06
1998-09-01,40.93
1998-10-01,38.59
1998-11-01,23.68
1998-12-01,19.1
1999-01-01,34.86
1999-02-01,37.34
1999-03-01,35.08
1999-04-01,39.45
1999-05-01,48.75
1999-06-01,45.92
1999-07-01,44.33
1999-08-01,53.25
1999-09-01,48.7
1999-10-01,46.59
1999-11-01,47.66
1999-12-01,50.94
2000-01-01,51.61
2000-02-01,54.91
2000-03-01,57.76
2000-04-01,66.95
2000-05-01,69.16
2000-06-01,69.5
2000-07-01,66.59
2000-08-01,59.49
2000-09-01,57.16
2000-10-01,54.89
2000-11-01,48.68
2000-12-01,54.76
2001-01-01,50.38
2001-02-01,53.8
2001-03-01,63.11
2001-04-01,64.63
2001-05-01,70.61
2001-06-01,72.92
2001-07-01,72.97
2001-08-01,71.54
2001-09-01,63.93
2001-10-01,57.29
2001-11-01,48.6
2001-12-01,47.41
2002-01-01,54.26
2002-02-01,55.14
2002-03-01,50.8
2002-04-01,44.78
2002-05-01,46.98
2002-06-01,50.41
2002-07-01,54.87
2002-08-01,46.11
2002-09-01,36.66
2002-10-01,42.81
2002-11-01,40.6
2002-12-01,43.67
2003-01-01,46.58
2003-02-01,48.16
2003-03-01,48.84
2003-04-01,49.26
2003-05-01,58.99
2003-06-01,64.81
2003-07-01,60.9
2003-08-01,56.69
2003-09-01,56.65
2003-10-01,52.54
2003-11-01,48.69
2003-12-01,48.68
2004-01-01,52.94
2004-02-01,61.03
2004-03-01,65.35
2004-04-01,65.28
2004-05-01,78.87
2004-06-01,78.36
2004-07-01,78.66
2004-08-01,76.03
2004-09-01,74.88
2004-10-01,72.7
2004-11-01,75.81
2004-12-01,72.18
2005-01-01,72.08
2005-02-01,69.23
2005-03-01,69.45
2005-04-01,69
2005-05-01,74.92
2005-06-01,67.46
2005-07-01,67.52
2005-08-01,69.66
2005-09-01,67.45
2005-10-01,64.88
2005-11-01,59.88
2005-12-01,60.7
2006-01-01,55.84
2006-02-01,58.43
2006-03-01,58.68
2006-04-01,55.96
2006-05-01,66.22
2006-06-01,74.38
2006-07-01,70.1
2006-08-01,71.93
2006-09-01,67.9
2006-10-01,64.32
2006-11-01,62.12
2006-12-01,60.59
2007-01-01,59.54
2007-02-01,65.68
2007-03-01,61.53
2007-04-01,65.42
2007-05-01,73.51
2007-06-01,74.06
2007-07-01,70.81
2007-08-01,70.36
2007-09-01,63.15
2007-10-01,56.69
2007-11-01,49.94
2007-12-01,53.28
2008-01-01,49.76
2008-02-01,57.86
2008-03-01,53.24
2008-04-01,61.15
2008-05-01,78.11
2008-06-01,73.9
2008-07-01,76.08
2008-08-01,84.56
2008-09-01,71.16
2008-10-01,63.67
2008-11-01,52.6
2008-12-01,53.7
2009-01-01,55.99
2009-02-01,57.37
2009-03-01,57.35
2009-04-01,57.89
2009-05-01,58.72
2009-06-01,56.96
2009-07-01,57.88
2009-08-01,49.56
2009-09-01,50.62
2009-10-01,50.95
2009-11-01,54.18
2009-12-01,61.85
2010-01-01,67.33
2010-02-01,66.19
2010-03-01,70.93
2010-04-01,77.58
2010-05-01,85.28
2010-06-01,78.72
2010-07-01,78.8
2010-08-01,83.15
2010-09-01,81.93
2010-10-01,71.15
2010-11-01,63.48
2010-12-01,68.81
2011-01-01,75.04
2011-02-01,83.22
2011-03-01,80.83
2011-04-01,92.06
2011-05-01,92.45
2011-06-01,94.54
2011-07-01,96.91
2011-08-01,103.02
2011-09-01,88.55
2011-10-01,92.48
2011-11-01,85.7
2011-12-01,83.93
2012-01-01,84.13
2012-02-01,86.41
2012-03-01,84.69
2012-04-01,79.85
2012-05-01,79.15
2012-06-01,91.87
2012-07-01,94.47
2012-08-01,86.38
2012-09-01,68.77
2012-10-01,79.72
2012-11-01,77.9
2012-12-01,80.22
2013-01-01,82.79
2013-02-01,83.08
2013-03-01,73.36
2013-04-01,77.95
2013-05-01,89.17
2013-06-01,98.1
2013-07-01,98.45
2013-08-01,96.12
2013-09-01,91.73
2013-10-01,87.76
2013-11-01,81.5
2013-12-01,78.57
2014-01-01,78.85
2014-02-01,86.35
2014-03-01,113.21
2014-04-01,120.33
2014-05-01,110.47
2014-06-01,115.27
2014-07-01,128.67
2014-08-01,109.2
2014-09-01,100.53
2014-10-01,101.9
2014-11-01,86.16
2014-12-01,82.81
2015-01-01,73
2015-02-01,61.84
2015-03-01,61.71
2015-04-01,60.98
2015-05-01,77.32
2015-06-01,77.35
2015-07-01,75.94
2015-08-01,75.58
2015-09-01,69.84
