Date,Food and Beverage Price Index、 2005 = 100、 includes Food and Beverage Price Indices
1998-12-01,86.73
1999-01-01,87.88
1999-02-01,83.7
1999-03-01,81.7
1999-04-01,81.31
1999-05-01,81.39
1999-06-01,79.85
1999-07-01,76.62
1999-08-01,79.71
1999-09-01,80.2
1999-10-01,79.57
1999-11-01,79.57
1999-12-01,80.28
2000-01-01,81.4
2000-02-01,81.79
2000-03-01,81.82
2000-04-01,83.76
2000-05-01,84.24
2000-06-01,82.9
2000-07-01,80.73
2000-08-01,78.86
2000-09-01,77.73
2000-10-01,76.91
2000-11-01,76.65
2000-12-01,78.77
2001-01-01,78.88
2001-02-01,78.99
2001-03-01,80.22
2001-04-01,78.89
2001-05-01,80.85
2001-06-01,80.73
2001-07-01,83.46
2001-08-01,83.41
2001-09-01,79.94
2001-10-01,76.23
2001-11-01,76.34
2001-12-01,75.83
2002-01-01,76.6
2002-02-01,76.46
2002-03-01,78.72
2002-04-01,77.32
2002-05-01,78.86
2002-06-01,81.11
2002-07-01,85.06
2002-08-01,85.37
2002-09-01,87.63
2002-10-01,87.81
2002-11-01,86.18
2002-12-01,87.36
2003-01-01,88.37
2003-02-01,88.53
2003-03-01,86.66
2003-04-01,86.42
2003-05-01,87.87
2003-06-01,85.55
2003-07-01,82.86
2003-08-01,83.81
2003-09-01,87.35
2003-10-01,91.13
2003-11-01,93.07
2003-12-01,93.97
2004-01-01,97.25
2004-02-01,99.87
2004-03-01,104.79
2004-04-01,105.98
2004-05-01,106.22
2004-06-01,102.83
2004-07-01,100.34
2004-08-01,96.39
2004-09-01,94.93
2004-10-01,91.86
2004-11-01,93.06
2004-12-01,95.03
2005-01-01,95.5
2005-02-01,98.83
2005-03-01,103.33
2005-04-01,100.42
2005-05-01,101.14
2005-06-01,101.5
2005-07-01,101.17
2005-08-01,100.02
2005-09-01,99.48
2005-10-01,99.75
2005-11-01,98.09
2005-12-01,100.76
2006-01-01,102.26
2006-02-01,104.97
2006-03-01,105.38
2006-04-01,107.58
2006-05-01,113.94
2006-06-01,114.63
2006-07-01,113.97
2006-08-01,112.38
2006-09-01,108.14
2006-10-01,109.44
2006-11-01,113.07
2006-12-01,114.24
2007-01-01,114.54
2007-02-01,117.96
2007-03-01,117.6
2007-04-01,117.83
2007-05-01,119.37
2007-06-01,123.92
2007-07-01,125.75
2007-08-01,127.14
2007-09-01,133.15
2007-10-01,134.62
2007-11-01,137.18
2007-12-01,144.71
2008-01-01,151.88
2008-02-01,165.25
2008-03-01,171.52
2008-04-01,170.58
2008-05-01,172.05
2008-06-01,178.6
2008-07-01,177.82
2008-08-01,165.66
2008-09-01,154.89
2008-10-01,130.56
2008-11-01,123.07
2008-12-01,120.56
2009-01-01,128.82
2009-02-01,125.94
2009-03-01,126.73
2009-04-01,132.67
2009-05-01,142.37
2009-06-01,144.06
2009-07-01,139.17
2009-08-01,138.27
2009-09-01,135.23
2009-10-01,136.56
2009-11-01,140.55
2009-12-01,143.12
2010-01-01,142.23
2010-02-01,141.14
2010-03-01,142.02
2010-04-01,145.98
2010-05-01,144.04
2010-06-01,140.92
2010-07-01,147.99
2010-08-01,154.88
2010-09-01,159.04
2010-10-01,165.92
2010-11-01,168.23
2010-12-01,179.35
2011-01-01,186.69
2011-02-01,193.74
2011-03-01,189.31
2011-04-01,194.72
2011-05-01,191.01
2011-06-01,185.47
2011-07-01,184.14
2011-08-01,185.5
2011-09-01,178.87
2011-10-01,168.52
2011-11-01,167.06
2011-12-01,163.77
2012-01-01,165.64
2012-02-01,170.39
2012-03-01,173.84
2012-04-01,173.55
2012-05-01,169.21
2012-06-01,167.93
2012-07-01,182.75
2012-08-01,183.92
2012-09-01,180.77
2012-10-01,177.2
2012-11-01,175.63
2012-12-01,176.89
2013-01-01,178.36
2013-02-01,178.79
2013-03-01,177.56
2013-04-01,177.08
2013-05-01,181.33
2013-06-01,181.08
2013-07-01,179.66
2013-08-01,172.15
2013-09-01,165.99
2013-10-01,167.2
2013-11-01,165.69
2013-12-01,170.49
2014-01-01,169.11
2014-02-01,174.85
2014-03-01,182.96
2014-04-01,185.02
2014-05-01,182.05
2014-06-01,176.16
2014-07-01,173.36
2014-08-01,168.54
2014-09-01,160.54
2014-10-01,159.21
2014-11-01,160.27
2014-12-01,159.55
2015-01-01,155.24
2015-02-01,150.21
2015-03-01,146.01
2015-04-01,145.01
2015-05-01,144.46
2015-06-01,144.99
2015-07-01,147.35
2015-08-01,142.81
2015-09-01,137.2
