Date,Coffee、 Robusta、 International Coffee Organization New York cash price、 ex-dock New York、 US cents per pound
1990-07-01,51.47
1990-08-01,55.1
1990-09-01,57.09
1990-10-01,58.05
1990-11-01,56.79
1990-12-01,57.04
1991-01-01,53.92
1991-02-01,52.46
1991-03-01,52.13
1991-04-01,52.38
1991-05-01,48.25
1991-06-01,47.1
1991-07-01,46.44
1991-08-01,46.61
1991-09-01,48.11
1991-10-01,47.48
1991-11-01,51.69
1991-12-01,51.43
1992-01-01,49.44
1992-02-01,43.22
1992-03-01,43.06
1992-04-01,42.35
1992-05-01,38.79
1992-06-01,38.07
1992-07-01,39.6
1992-08-01,39.92
1992-09-01,42.39
1992-10-01,45.5
1992-11-01,49.07
1992-12-01,52.09
1993-01-01,48.13
1993-02-01,48.25
1993-03-01,46.86
1993-04-01,45.51
1993-05-01,46.91
1993-06-01,47.65
1993-07-01,50.39
1993-08-01,59.29
1993-09-01,63.42
1993-10-01,60.05
1993-11-01,62.53
1993-12-01,62.95
1994-01-01,60.91
1994-02-01,62.25
1994-03-01,66.46
1994-04-01,72.64
1994-05-01,96.05
1994-06-01,113.31
1994-07-01,164.65
1994-08-01,162.68
1994-09-01,182.95
1994-10-01,170.09
1994-11-01,155.31
1994-12-01,130.48
1995-01-01,132.72
1995-02-01,135.22
1995-03-01,146.83
1995-04-01,145.47
1995-05-01,141.89
1995-06-01,129.53
1995-07-01,120.89
1995-08-01,131.28
1995-09-01,116.41
1995-10-01,114.15
1995-11-01,112.79
1995-12-01,94.72
1996-01-01,91.99
1996-02-01,100.18
1996-03-01,91.99
1996-04-01,91.45
1996-05-01,92.1
1996-06-01,86.46
1996-07-01,78.14
1996-08-01,80.16
1996-09-01,75.07
1996-10-01,72.97
1996-11-01,70.53
1996-12-01,63.08
1997-01-01,67.66
1997-02-01,76.65
1997-03-01,81.31
1997-04-01,78.48
1997-05-01,95.74
1997-06-01,91.94
1997-07-01,82.52
1997-08-01,76.92
1997-09-01,77.43
1997-10-01,76.9
1997-11-01,78.2
1997-12-01,84.65
1998-01-01,86.03
1998-02-01,85.79
1998-03-01,84.67
1998-04-01,90.6
1998-05-01,92.64
1998-06-01,84.55
1998-07-01,78.4
1998-08-01,79.98
1998-09-01,80.88
1998-10-01,80.36
1998-11-01,80.4
1998-12-01,82.82
1999-01-01,81.65
1999-02-01,77.73
1999-03-01,72.7
1999-04-01,68.89
1999-05-01,68.17
1999-06-01,66.2
1999-07-01,62.28
1999-08-01,63.76
1999-09-01,60.44
1999-10-01,59.25
1999-11-01,64.37
1999-12-01,66.4
2000-01-01,53.62
2000-02-01,49.62
2000-03-01,47.17
2000-04-01,45.23
2000-05-01,45.19
2000-06-01,43.72
2000-07-01,41.96
2000-08-01,38.94
2000-09-01,39.47
2000-10-01,36.55
2000-11-01,33.34
2000-12-01,31.07
2001-01-01,32.97
2001-02-01,31.97
2001-03-01,30.96
2001-04-01,28.62
2001-05-01,29.71
2001-06-01,29.32
2001-07-01,27.59
2001-08-01,25.86
2001-09-01,23.79
2001-10-01,21.26
2001-11-01,22.03
2001-12-01,23.76
2002-01-01,22.88
2002-02-01,24.46
2002-03-01,29.77
2002-04-01,30.35
2002-05-01,29.43
2002-06-01,29.26
2002-07-01,29.31
2002-08-01,28.74
2002-09-01,33.31
2002-10-01,34.44
2002-11-01,39.35
2002-12-01,38.52
2003-01-01,42.75
2003-02-01,42.35
2003-03-01,38.36
2003-04-01,38.66
2003-05-01,38.82
2003-06-01,35.33
2003-07-01,36.67
2003-08-01,37.91
2003-09-01,38.75
2003-10-01,37.32
2003-11-01,36.05
2003-12-01,37.6
2004-01-01,41.14
2004-02-01,39.1
2004-03-01,38.67
2004-04-01,38.06
2004-05-01,37.93
2004-06-01,41.04
2004-07-01,36.71
2004-08-01,34.93
2004-09-01,35.03
2004-10-01,31.75
2004-11-01,34.02
2004-12-01,38.96
2005-01-01,39.63
2005-02-01,44.61
2005-03-01,50.66
2005-04-01,53.28
2005-05-01,58.51
2005-06-01,62.92
2005-07-01,60.57
2005-08-01,55.6
2005-09-01,50.07
2005-10-01,50.84
2005-11-01,54.72
2005-12-01,59.01
2006-01-01,66.44
2006-02-01,65.46
2006-03-01,62.92
2006-04-01,64.46
2006-05-01,63.97
2006-06-01,64.14
2006-07-01,68.66
2006-08-01,75.73
2006-09-01,77.88
2006-10-01,76.26
2006-11-01,79.67
2006-12-01,77.75
2007-01-01,80.55
2007-02-01,80.97
2007-03-01,78.88
2007-04-01,81.64
2007-05-01,86.28
2007-06-01,94.76
2007-07-01,93.47
2007-08-01,88.4
2007-09-01,93.61
2007-10-01,97.45
2007-11-01,92.2
2007-12-01,91.37
2008-01-01,100.74
2008-02-01,117.22
2008-03-01,122.44
2008-04-01,111.86
2008-05-01,109.79
2008-06-01,112.04
2008-07-01,115.03
2008-08-01,113.43
2008-09-01,106.67
2008-10-01,88.91
2008-11-01,92.92
2008-12-01,83.82
2009-01-01,85.77
2009-02-01,81.47
2009-03-01,77.48
2009-04-01,76.5
2009-05-01,77.05
2009-06-01,75.65
2009-07-01,74.82
2009-08-01,75.04
2009-09-01,77.31
2009-10-01,76.68
2009-11-01,73.08
2009-12-01,74.68
2010-01-01,75.11
2010-02-01,73.52
2010-03-01,72.55
2010-04-01,76.37
2010-05-01,76.23
2010-06-01,82.51
2010-07-01,89.95
2010-08-01,89.06
2010-09-01,87.11
2010-10-01,90.57
2010-11-01,97.94
2010-12-01,98.32
2011-01-01,106.03
2011-02-01,114.62
2011-03-01,122.46
2011-04-01,121.29
2011-05-01,126.3
2011-06-01,122.15
2011-07-01,116.58
2011-08-01,119
2011-09-01,113.94
2011-10-01,107.34
2011-11-01,108.18
2011-12-01,114.07
2012-01-01,109.4
2012-02-01,111.25
2012-03-01,113.6
2012-04-01,111.71
2012-05-01,116.01
2012-06-01,113.34
2012-07-01,113.37
2012-08-01,113.01
2012-09-01,110.87
2012-10-01,109.89
2012-11-01,102.94
2012-12-01,102.3
2013-01-01,105.79
2013-02-01,109.7
2013-03-01,112.67
2013-04-01,107.58
2013-05-01,105.76
2013-06-01,97.05
2013-07-01,102.41
2013-08-01,100.73
2013-09-01,93.48
2013-10-01,90.01
2013-11-01,85.67
2013-12-01,95.5
2014-01-01,92.93
2014-02-01,101.14
2014-03-01,111.9
2014-04-01,110.68
2014-05-01,108.35
2014-06-01,104.63
2014-07-01,107.23
2014-08-01,105.07
2014-09-01,105.57
2014-10-01,109.39
2014-11-01,106.81
2014-12-01,103.51
2015-01-01,102.32
2015-02-01,103.74
2015-03-01,98.07
2015-04-01,98.73
2015-05-01,94.35
2015-06-01,96.89
2015-07-01,92.71
2015-08-01,91.94
2015-09-01,87.98
