Date,Sugar、 European import price、 CIF Europe、 US cents per pound
2000-11-01,23.71
2000-12-01,24.3
2001-01-01,24.58
2001-02-01,24.17
2001-03-01,24.03
2001-04-01,23.86
2001-05-01,23.7
2001-06-01,23.3
2001-07-01,23.51
2001-08-01,23.9
2001-09-01,24.32
2001-10-01,24.14
2001-11-01,23.89
2001-12-01,23.93
2002-01-01,23.82
2002-02-01,23.65
2002-03-01,23.65
2002-04-01,23.99
2002-05-01,24.27
2002-06-01,24.72
2002-07-01,25.83
2002-08-01,25.54
2002-09-01,25.86
2002-10-01,25.89
2002-11-01,26.14
2002-12-01,26.38
2003-01-01,26.88
2003-02-01,26.77
2003-03-01,26.32
2003-04-01,26.18
2003-05-01,26.99
2003-06-01,27.61
2003-07-01,27.02
2003-08-01,26.51
2003-09-01,26.79
2003-10-01,27.87
2003-11-01,28.08
2003-12-01,29.11
2004-01-01,30.29
2004-02-01,31.05
2004-03-01,30.39
2004-04-01,29.98
2004-05-01,29.7
2004-06-01,30.39
2004-07-01,30.62
2004-08-01,30.26
2004-09-01,29.81
2004-10-01,30.03
2004-11-01,30.93
2004-12-01,32.07
2005-01-01,31.23
2005-02-01,31.39
2005-03-01,31.69
2005-04-01,31.51
2005-05-01,30.89
2005-06-01,30.24
2005-07-01,29.11
2005-08-01,29.82
2005-09-01,30.07
2005-10-01,29.33
2005-11-01,28.86
2005-12-01,29.02
2006-01-01,29.37
2006-02-01,29.07
2006-03-01,28.99
2006-04-01,29.37
2006-05-01,31.09
2006-06-01,30.65
2006-07-01,30.67
2006-08-01,31.47
2006-09-01,31.37
2006-10-01,31.18
2006-11-01,31.79
2006-12-01,32.66
2007-01-01,32.58
2007-02-01,32.54
2007-03-01,32.38
2007-04-01,33.09
2007-05-01,32.98
2007-06-01,33.02
2007-07-01,33.81
2007-08-01,33.41
2007-09-01,33.53
2007-10-01,33.98
2007-11-01,34.43
2007-12-01,33.65
2008-01-01,32.75
2008-02-01,32.65
2008-03-01,33.32
2008-04-01,32.94
2008-05-01,32.68
2008-06-01,32.66
2008-07-01,33.07
2008-08-01,31.43
2008-09-01,29.88
2008-10-01,28.14
2008-11-01,25.54
2008-12-01,24.73
2009-01-01,23.98
2009-02-01,23.95
2009-03-01,23.59
2009-04-01,24.44
2009-05-01,25.63
2009-06-01,27.2
2009-07-01,27.19
2009-08-01,27.52
2009-09-01,27.17
2009-10-01,26.91
2009-11-01,27.58
2009-12-01,27.01
2010-01-01,26.89
2010-02-01,25.97
2010-03-01,25.02
2010-04-01,25.48
2010-05-01,24.34
2010-06-01,24.54
2010-07-01,25.43
2010-08-01,26.04
2010-09-01,25.9
2010-10-01,26.37
2010-11-01,26.6
2010-12-01,25.97
2011-01-01,26.23
2011-02-01,26.81
2011-03-01,26.88
2011-04-01,27.18
2011-05-01,27.14
2011-06-01,26.96
2011-07-01,26.81
2011-08-01,27.23
2011-09-01,26.25
2011-10-01,26.21
2011-11-01,26.34
2011-12-01,25.95
2012-01-01,25.81
2012-02-01,26.27
2012-03-01,26.3
2012-04-01,26.61
2012-05-01,26.47
2012-06-01,25.88
2012-07-01,25.92
2012-08-01,26.13
2012-09-01,26.8
2012-10-01,26.74
2012-11-01,26.55
2012-12-01,26.84
2013-01-01,26.55
2013-02-01,25.74
2013-03-01,25.06
2013-04-01,25.45
2013-05-01,25.45
2013-06-01,25.74
2013-07-01,25.26
2013-08-01,25.76
2013-09-01,26.39
2013-10-01,26.77
2013-11-01,26.74
2013-12-01,27.23
2014-01-01,27.39
2014-02-01,27.5
2014-03-01,27.64
2014-04-01,27.83
2014-05-01,28.01
2014-06-01,28.11
2014-07-01,28.39
2014-08-01,27.77
2014-09-01,27.1
2014-10-01,26.71
2014-11-01,26.25
2014-12-01,26.02
2015-01-01,25.17
2015-02-01,25.49
2015-03-01,24.91
2015-04-01,24.85
2015-05-01,25.73
2015-06-01,25.87
2015-07-01,25.87
2015-08-01,25.95
2015-09-01,25.54
