Date,Metals Price Index、 2005 = 100、 includes Copper、 Aluminum、 Iron Ore、 Tin、 Nickel、 Zinc、 Lead、 and Uranium Price Indices
2012-08-01,172.49
2012-09-01,179.92
2012-10-01,183.4
2012-11-01,182.12
2012-12-01,192.74
2013-01-01,202.34
2013-02-01,205.19
2013-03-01,190.64
2013-04-01,183.55
2013-05-01,176.4
2013-06-01,169.66
2013-07-01,172.66
2013-08-01,180.79
2013-09-01,177.66
2013-10-01,178.87
2013-11-01,177.93
2013-12-01,179.13
2014-01-01,176.4
2014-02-01,171.96
2014-03-01,164.99
2014-04-01,169.48
2014-05-01,164.52
2014-06-01,161.85
2014-07-01,168.76
2014-08-01,168.21
2014-09-01,161.47
2014-10-01,156.86
2014-11-01,156.42
2014-12-01,148.7
2015-01-01,140.32
2015-02-01,137.29
2015-03-01,134.6
2015-04-01,133.79
2015-05-01,139.57
2015-06-01,133.17
2015-07-01,123.25
2015-08-01,119.2
2015-09-01,120.58
