Date,Sugar、 Free Market、 Coffee Sugar and Cocoa Exchange (CSCE) contract no.11 nearest future position、 US cents per pound
2000-11-01,9.51
2000-12-01,9.72
2001-01-01,10.06
2001-02-01,9.36
2001-03-01,8.72
2001-04-01,8.05
2001-05-01,8.96
2001-06-01,8.74
2001-07-01,8.54
2001-08-01,7.9
2001-09-01,7.16
2001-10-01,6.6
2001-11-01,7.27
2001-12-01,7.41
2002-01-01,7.31
2002-02-01,5.68
2002-03-01,5.92
2002-04-01,5.18
2002-05-01,5.61
2002-06-01,5.25
2002-07-01,5.79
2002-08-01,5.86
2002-09-01,6.41
2002-10-01,7.02
2002-11-01,7.3
2002-12-01,7.51
2003-01-01,7.89
2003-02-01,8.35
2003-03-01,7.84
2003-04-01,7.26
2003-05-01,7.01
2003-06-01,6.4
2003-07-01,6.73
2003-08-01,6.71
2003-09-01,6.27
2003-10-01,6.1
2003-11-01,6.19
2003-12-01,6.34
2004-01-01,6.03
2004-02-01,5.87
2004-03-01,6.5
2004-04-01,6.86
2004-05-01,6.62
2004-06-01,7.51
2004-07-01,8.17
2004-08-01,7.88
2004-09-01,8.67
2004-10-01,8.96
2004-11-01,8.67
2004-12-01,8.8
2005-01-01,8.92
2005-02-01,9.32
2005-03-01,8.89
2005-04-01,8.53
2005-05-01,8.51
2005-06-01,9.03
2005-07-01,9.6
2005-08-01,9.88
2005-09-01,10.81
2005-10-01,11.61
2005-11-01,11.8
2005-12-01,13.93
2006-01-01,16.19
2006-02-01,18.05
2006-03-01,17.08
2006-04-01,17.46
2006-05-01,16.9
2006-06-01,15.69
2006-07-01,15.85
2006-08-01,12.98
2006-09-01,12.31
2006-10-01,11.51
2006-11-01,11.73
2006-12-01,11.7
2007-01-01,10.9
2007-02-01,10.57
2007-03-01,10.37
2007-04-01,9.59
2007-05-01,9.09
2007-06-01,9.26
2007-07-01,9.9
2007-08-01,9.61
2007-09-01,9.85
2007-10-01,9.99
2007-11-01,9.9
2007-12-01,10.45
2008-01-01,11.66
2008-02-01,13.61
2008-03-01,12.88
2008-04-01,12.52
2008-05-01,10.93
2008-06-01,12.07
2008-07-01,13.21
2008-08-01,13.68
2008-09-01,14.02
2008-10-01,11.7
2008-11-01,11.83
2008-12-01,11.32
2009-01-01,12.24
2009-02-01,13.31
2009-03-01,12.93
2009-04-01,13.47
2009-05-01,15.46
2009-06-01,16.58
2009-07-01,17.8
2009-08-01,21.72
2009-09-01,23.45
2009-10-01,23.16
2009-11-01,22.76
2009-12-01,24.9
2010-01-01,21.91
2010-02-01,21.98
2010-03-01,18.15
2010-04-01,16.89
2010-05-01,15.11
2010-06-01,16.3
2010-07-01,17.69
2010-08-01,18.6
2010-09-01,22.67
2010-10-01,26.94
2010-11-01,26.42
2010-12-01,28.04
2011-01-01,29.74
2011-02-01,29.31
2011-03-01,25.9
2011-04-01,23.9
2011-05-01,21.84
2011-06-01,24.92
2011-07-01,29.47
2011-08-01,28.87
2011-09-01,26.64
2011-10-01,26.3
2011-11-01,24.52
2011-12-01,23.42
2012-01-01,24.02
2012-02-01,23.42
2012-03-01,23.79
2012-04-01,22.48
2012-05-01,20.27
2012-06-01,20.1
2012-07-01,22.76
2012-08-01,20.56
2012-09-01,20.21
2012-10-01,20.39
2012-11-01,19.31
2012-12-01,19.2
2013-01-01,18.85
2013-02-01,18.21
2013-03-01,18.34
2013-04-01,17.66
2013-05-01,17.43
2013-06-01,16.96
2013-07-01,17.1
2013-08-01,17.24
2013-09-01,17.61
2013-10-01,18.81
2013-11-01,17.75
2013-12-01,16.54
2014-01-01,15.71
2014-02-01,16.89
2014-03-01,17.89
2014-04-01,18.21
2014-05-01,18.24
2014-06-01,18.24
2014-07-01,18.73
2014-08-01,17.72
2014-09-01,16.54
2014-10-01,16.48
2014-11-01,15.88
2014-12-01,14.99
2015-01-01,15.06
2015-02-01,14.51
2015-03-01,12.84
2015-04-01,12.91
2015-05-01,12.7
2015-06-01,12.11
2015-07-01,11.88
2015-08-01,10.67
2015-09-01,12.14
