Date,Poultry (chicken)、 Whole bird spot price、 Ready-to-cook、 whole、 iced、 Georgia docks、 US cents per pound
1987-07-01,39.97
1987-08-01,41.43
1987-09-01,41.68
1987-10-01,41.1
1987-11-01,39.72
1987-12-01,39.17
1988-01-01,39.25
1988-02-01,39.83
1988-03-01,40.12
1988-04-01,40.59
1988-05-01,42.7
1988-06-01,45.79
1988-07-01,49.98
1988-08-01,50.96
1988-09-01,51.65
1988-10-01,49.47
1988-11-01,47.9
1988-12-01,47.65
1989-01-01,48.63
1989-02-01,48.45
1989-03-01,49.32
1989-04-01,50.2
1989-05-01,51.98
1989-06-01,52.63
1989-07-01,51.54
1989-08-01,51.21
1989-09-01,50.6
1989-10-01,49.07
1989-11-01,47.43
1989-12-01,47.43
1990-01-01,47.83
1990-02-01,48.6
1990-03-01,50.34
1990-04-01,49.07
1990-05-01,49.03
1990-06-01,50.27
1990-07-01,50.05
1990-08-01,49.72
1990-09-01,49.58
1990-10-01,48.67
1990-11-01,48.34
1990-12-01,47.5
1991-01-01,47.69
1991-02-01,48.78
1991-03-01,48.52
1991-04-01,47.9
1991-05-01,48.3
1991-06-01,47.5
1991-07-01,48.6
1991-08-01,47.5
1991-09-01,47.5
1991-10-01,48.16
1991-11-01,47.14
1991-12-01,47.25
1992-01-01,47.8
1992-02-01,46.52
1992-03-01,47.14
1992-04-01,47.03
1992-05-01,47.07
1992-06-01,47.54
1992-07-01,48.3
1992-08-01,48.85
1992-09-01,48.89
1992-10-01,47.9
1992-11-01,49.29
1992-12-01,49.25
1993-01-01,50.48
1993-02-01,51.05
1993-03-01,52.18
1993-04-01,53.51
1993-05-01,56.33
1993-06-01,55.93
1993-07-01,56.7
1993-08-01,57.93
1993-09-01,57.58
1993-10-01,55.67
1993-11-01,55.08
1993-12-01,53.67
1994-01-01,52.8
1994-02-01,53.63
1994-03-01,55.45
1994-04-01,56
1994-05-01,58.94
1994-06-01,59.35
1994-07-01,57.98
1994-08-01,55.89
1994-09-01,56.13
1994-10-01,54.33
1994-11-01,51.67
1994-12-01,51.25
1995-01-01,51.25
1995-02-01,51.44
1995-03-01,51.85
1995-04-01,51.38
1995-05-01,52.33
1995-06-01,54.11
1995-07-01,56.4
1995-08-01,59.47
1995-09-01,60.63
1995-10-01,58.72
1995-11-01,59.65
1995-12-01,58.57
1996-01-01,58.45
1996-02-01,56.83
1996-03-01,55.12
1996-04-01,56.02
1996-05-01,60.32
1996-06-01,64.64
1996-07-01,66.26
1996-08-01,66.7
1996-09-01,66.7
1996-10-01,65.68
1996-11-01,65.83
1996-12-01,65.19
1997-01-01,64.2
1997-02-01,62.54
1997-03-01,61.82
1997-04-01,61.3
1997-05-01,60.89
1997-06-01,60.89
1997-07-01,61.3
1997-08-01,62.71
1997-09-01,63.05
1997-10-01,59.63
1997-11-01,57.56
1997-12-01,55.98
1998-01-01,55.5
1998-02-01,55.81
1998-03-01,56.92
1998-04-01,57.62
1998-05-01,59.08
1998-06-01,62.54
1998-07-01,67.34
1998-08-01,70.85
1998-09-01,71.06
1998-10-01,69.15
1998-11-01,67.1
1998-12-01,64.9
1999-01-01,62.93
1999-02-01,61.25
1999-03-01,59
1999-04-01,57.71
1999-05-01,59.6
1999-06-01,60.96
1999-07-01,61.13
1999-08-01,60.41
1999-09-01,60.92
1999-10-01,58.67
1999-11-01,58.5
1999-12-01,58.5
2000-01-01,58.23
2000-02-01,57.63
2000-03-01,57.25
2000-04-01,57.25
2000-05-01,57.76
2000-06-01,59.12
2000-07-01,59.76
2000-08-01,60.17
2000-09-01,61.7
2000-10-01,61.53
2000-11-01,61.5
2000-12-01,61.5
2001-01-01,61.54
2001-02-01,61.77
2001-03-01,62
2001-04-01,62.06
2001-05-01,63.04
2001-06-01,63.54
2001-07-01,64.27
2001-08-01,65.58
2001-09-01,66.48
2001-10-01,65.7
2001-11-01,64.33
2001-12-01,63.23
2002-01-01,62.94
2002-02-01,62.92
2002-03-01,62.73
2002-04-01,62.5
2002-05-01,63.35
2002-06-01,63.8
2002-07-01,64.21
2002-08-01,64.11
2002-09-01,64.04
2002-10-01,63
2002-11-01,61.9
2002-12-01,61.49
2003-01-01,62.27
2003-02-01,63.13
2003-03-01,63.86
2003-04-01,63.53
2003-05-01,64.6
2003-06-01,65.99
2003-07-01,67.5
2003-08-01,68.5
2003-09-01,69.23
2003-10-01,68.57
2003-11-01,68.36
2003-12-01,68.98
2004-01-01,69.58
2004-02-01,71.59
2004-03-01,73.09
2004-04-01,74.75
2004-05-01,76.59
2004-06-01,79.63
2004-07-01,80.94
2004-08-01,80.1
2004-09-01,78.16
2004-10-01,76
2004-11-01,74.71
2004-12-01,73.6
2005-01-01,73.44
2005-02-01,73.75
2005-03-01,73.88
2005-04-01,74
2005-05-01,74.29
2005-06-01,74.48
2005-07-01,74.75
2005-08-01,74.77
2005-09-01,75.19
2005-10-01,74.38
2005-11-01,72.69
2005-12-01,71.21
2006-01-01,69.86
2006-02-01,69.18
2006-03-01,68.29
2006-04-01,67.52
2006-05-01,67.87
2006-06-01,68.98
2006-07-01,69.9
2006-08-01,70.42
2006-09-01,70.69
2006-10-01,69.65
2006-11-01,69
2006-12-01,69.35
2007-01-01,71.33
2007-02-01,73.77
2007-03-01,76.37
2007-04-01,78.1
2007-05-01,79.52
2007-06-01,80.75
2007-07-01,81.17
2007-08-01,81.27
2007-09-01,81.55
2007-10-01,79.75
2007-11-01,77.77
2007-12-01,76.85
2008-01-01,77.25
2008-02-01,79.15
2008-03-01,81.23
2008-04-01,82.04
2008-05-01,83.46
2008-06-01,85.71
2008-07-01,88.25
2008-08-01,88.42
2008-09-01,88.4
2008-10-01,87.54
2008-11-01,86.92
2008-12-01,87.02
2009-01-01,87.25
2009-02-01,86.7
2009-03-01,85.73
2009-04-01,85.38
2009-05-01,86.96
2009-06-01,88.17
2009-07-01,88.56
2009-08-01,86.77
2009-09-01,84.88
2009-10-01,82.85
2009-11-01,82.13
2009-12-01,82.15
2010-01-01,83.04
2010-02-01,83.3
2010-03-01,84
2010-04-01,85.28
2010-05-01,86.45
2010-06-01,87.17
2010-07-01,87.84
2010-08-01,87.79
2010-09-01,87.75
2010-10-01,86.73
2010-11-01,85.46
2010-12-01,85.35
2011-01-01,85
2011-02-01,85.07
2011-03-01,86.08
2011-04-01,86.4
2011-05-01,86.54
2011-06-01,86.94
2011-07-01,87.34
2011-08-01,88.13
2011-09-01,88.98
2011-10-01,89
2011-11-01,89.23
2011-12-01,89.82
2012-01-01,90.35
2012-02-01,91.17
2012-03-01,92.79
2012-04-01,93.25
2012-05-01,94.06
2012-06-01,94.5
2012-07-01,94.73
2012-08-01,95.02
2012-09-01,95.65
2012-10-01,95.84
2012-11-01,96.64
2012-12-01,97.65
2013-01-01,99.12
2013-02-01,100.17
2013-03-01,101.46
2013-04-01,102.56
2013-05-01,104.1
2013-06-01,105.54
2013-07-01,106.41
2013-08-01,106.5
2013-09-01,106.19
2013-10-01,105.07
2013-11-01,104.69
2013-12-01,104.25
2014-01-01,104.4
2014-02-01,104.5
2014-03-01,105.25
2014-04-01,107.27
2014-05-01,108.79
2014-06-01,110.88
2014-07-01,112.6
2014-08-01,112.79
2014-09-01,113.52
2014-10-01,113.89
2014-11-01,113.92
2014-12-01,113.77
2015-01-01,114.1
2015-02-01,113.77
2015-03-01,114.27
2015-04-01,114.88
2015-05-01,115.96
2015-06-01,116
2015-07-01,115.9
2015-08-01,115.46
2015-09-01,115
