Date,Wheat、 No.1 Hard Red Winter、 ordinary protein、 FOB Gulf of Mexico、 US＄ per metric ton
1993-11-01,146.5
1993-12-01,158.65
1994-01-01,153.21
1994-02-01,147.04
1994-03-01,141.04
1994-04-01,140.45
1994-05-01,140.15
1994-06-01,139.3
1994-07-01,137.6
1994-08-01,146.02
1994-09-01,158.79
1994-10-01,167.19
1994-11-01,161.99
1994-12-01,164.62
1995-01-01,156.21
1995-02-01,154.42
1995-03-01,150.39
1995-04-01,148.98
1995-05-01,158.61
1995-06-01,169.98
1995-07-01,190.09
1995-08-01,184.39
1995-09-01,193.67
1995-10-01,203.79
1995-11-01,204.07
1995-12-01,208.92
1996-01-01,206.88
1996-02-01,218.89
1996-03-01,215.52
1996-04-01,251.66
1996-05-01,262.11
1996-06-01,227.27
1996-07-01,202.6
1996-08-01,191.63
1996-09-01,178.71
1996-10-01,178.32
1996-11-01,176.41
1996-12-01,175.7
1997-01-01,175.73
1997-02-01,172.35
1997-03-01,176.61
1997-04-01,183.49
1997-05-01,172.59
1997-06-01,148.39
1997-07-01,138.31
1997-08-01,150.61
1997-09-01,151.74
1997-10-01,151.66
1997-11-01,149.88
1997-12-01,144.62
1998-01-01,137.1
1998-02-01,140.05
1998-03-01,138.92
1998-04-01,130.15
1998-05-01,128.92
1998-06-01,120.64
1998-07-01,118.54
1998-08-01,107.95
1998-09-01,107.93
1998-10-01,126.54
1998-11-01,130.21
1998-12-01,126.21
1999-01-01,125.29
1999-02-01,117.03
1999-03-01,117.34
1999-04-01,113.87
1999-05-01,113
1999-06-01,111.41
1999-07-01,103.02
1999-08-01,111.41
1999-09-01,113.19
1999-10-01,108.1
1999-11-01,108.8
1999-12-01,102.16
2000-01-01,105.83
2000-02-01,108.41
2000-03-01,105.7
2000-04-01,105.11
2000-05-01,110.78
2000-06-01,113.51
2000-07-01,108.98
2000-08-01,108.28
2000-09-01,117.49
2000-10-01,128.22
2000-11-01,127.73
2000-12-01,128.01
2001-01-01,132.84
2001-02-01,128.12
2001-03-01,130.28
2001-04-01,129.3
2001-05-01,135
2001-06-01,127.23
2001-07-01,123.79
2001-08-01,121.92
2001-09-01,122.03
2001-10-01,123.34
2001-11-01,125.27
2001-12-01,122.53
2002-01-01,125.31
2002-02-01,123.28
2002-03-01,122.56
2002-04-01,123.72
2002-05-01,121.46
2002-06-01,132.03
2002-07-01,149.3
2002-08-01,161.26
2002-09-01,187.84
2002-10-01,190.32
2002-11-01,176.26
2002-12-01,168.98
2003-01-01,149.6
2003-02-01,150.84
2003-03-01,141.81
2003-04-01,138.62
2003-05-01,141.96
2003-06-01,131.35
2003-07-01,131.62
2003-08-01,148.72
2003-09-01,145.62
2003-10-01,147.46
2003-11-01,160.55
2003-12-01,165.57
2004-01-01,166.33
2004-02-01,161.39
2004-03-01,166.28
2004-04-01,166.58
2004-05-01,163.73
2004-06-01,154.74
2004-07-01,150.6
2004-08-01,141.29
2004-09-01,151.03
2004-10-01,150.15
2004-11-01,156.57
2004-12-01,153.87
2005-01-01,153.59
2005-02-01,151.3
2005-03-01,150.99
2005-04-01,140.88
2005-05-01,144.25
2005-06-01,141.93
2005-07-01,143.87
2005-08-01,149.36
2005-09-01,159.71
2005-10-01,167.83
2005-11-01,161.12
2005-12-01,164.44
2006-01-01,167.16
2006-02-01,179.84
2006-03-01,174.44
2006-04-01,180.35
2006-05-01,193.17
2006-06-01,195.16
2006-07-01,202.43
2006-08-01,189.91
2006-09-01,195.98
2006-10-01,212.09
2006-11-01,205.81
2006-12-01,204.31
2007-01-01,196.07
2007-02-01,199.98
2007-03-01,199.1
2007-04-01,198.31
2007-05-01,195.72
2007-06-01,223.04
2007-07-01,238.41
2007-08-01,259.73
2007-09-01,326.54
2007-10-01,335.15
2007-11-01,321.81
2007-12-01,368.62
2008-01-01,369.59
2008-02-01,425
2008-03-01,439.72
2008-04-01,362.23
2008-05-01,328.76
2008-06-01,348.55
2008-07-01,328.18
2008-08-01,329.34
2008-09-01,295.55
2008-10-01,237.38
2008-11-01,226.85
2008-12-01,220.14
2009-01-01,239.36
2009-02-01,224.69
2009-03-01,230.98
2009-04-01,233.47
2009-05-01,256.7
2009-06-01,253.41
2009-07-01,224.95
2009-08-01,210.37
2009-09-01,191.09
2009-10-01,198.85
2009-11-01,211.04
2009-12-01,206.25
2010-01-01,201.51
2010-02-01,194.54
2010-03-01,191.07
2010-04-01,192.82
2010-05-01,181.88
2010-06-01,157.67
2010-07-01,195.82
2010-08-01,246.25
2010-09-01,271.69
2010-10-01,270.23
2010-11-01,274.08
2010-12-01,306.53
2011-01-01,326.55
2011-02-01,348.15
2011-03-01,316.75
2011-04-01,336.12
2011-05-01,354.47
2011-06-01,326.43
2011-07-01,303.88
2011-08-01,327.07
2011-09-01,315.92
2011-10-01,289.01
2011-11-01,281.01
2011-12-01,269.03
2012-01-01,274.89
2012-02-01,277.77
2012-03-01,283.88
2012-04-01,266.32
2012-05-01,264.36
2012-06-01,276.19
2012-07-01,345.69
2012-08-01,349.4
2012-09-01,353.42
2012-10-01,358.2
2012-11-01,361
2012-12-01,347.89
2013-01-01,335.5
2013-02-01,318.92
2013-03-01,309.93
2013-04-01,308.74
2013-05-01,319.11
2013-06-01,313.52
2013-07-01,304.68
2013-08-01,305.49
2013-09-01,307.51
2013-10-01,325.07
2013-11-01,306.75
2013-12-01,291.56
2014-01-01,275.53
2014-02-01,292.27
2014-03-01,323.55
2014-04-01,324.93
2014-05-01,334.75
2014-06-01,306.53
2014-07-01,280.36
2014-08-01,263.41
2014-09-01,243.72
2014-10-01,245.39
2014-11-01,258.66
2014-12-01,269.64
2015-01-01,248.46
2015-02-01,237.15
2015-03-01,230.83
2015-04-01,223.34
2015-05-01,215.15
2015-06-01,209.87
2015-07-01,197.42
2015-08-01,179.83
2015-09-01,173.09
