Date,Coffee、 Other Mild Arabicas、 International Coffee Organization New York cash price、 ex-dock New York、 US cents per pound
1995-10-01,125.38
1995-11-01,123.23
1995-12-01,103.99
1996-01-01,109.38
1996-02-01,123.79
1996-03-01,119.05
1996-04-01,122.01
1996-05-01,128.56
1996-06-01,127.91
1996-07-01,120.47
1996-08-01,122.49
1996-09-01,114.05
1996-10-01,120.62
1996-11-01,119.61
1996-12-01,115.01
1997-01-01,131.83
1997-02-01,167.2
1997-03-01,193.82
1997-04-01,204.43
1997-05-01,264.5
1997-06-01,212.55
1997-07-01,186.52
1997-08-01,185.17
1997-09-01,184.38
1997-10-01,161.45
1997-11-01,154.15
1997-12-01,174.25
1998-01-01,175.04
1998-02-01,175.87
1998-03-01,154.82
1998-04-01,147.08
1998-05-01,134.35
1998-06-01,121.56
1998-07-01,113.86
1998-08-01,119.89
1998-09-01,108.07
1998-10-01,107.07
1998-11-01,115.14
1998-12-01,116.03
1999-01-01,111.48
1999-02-01,103.24
1999-03-01,103.23
1999-04-01,99.69
1999-05-01,108.91
1999-06-01,104.2
1999-07-01,90.85
1999-08-01,87.64
1999-09-01,81.06
1999-10-01,92.2
1999-11-01,114.02
1999-12-01,123.56
2000-01-01,109.16
2000-02-01,101.65
2000-03-01,97.94
2000-04-01,92.56
2000-05-01,91.76
2000-06-01,84.1
2000-07-01,84.67
2000-08-01,74.52
2000-09-01,73.83
2000-10-01,75.37
2000-11-01,70.47
2000-12-01,64.5
2001-01-01,64.98
2001-02-01,66.94
2001-03-01,65.93
2001-04-01,65.51
2001-05-01,68.94
2001-06-01,63.67
2001-07-01,58.47
2001-08-01,59.68
2001-09-01,57.71
2001-10-01,56.53
2001-11-01,58.96
2001-12-01,55.6
2002-01-01,57.34
2002-02-01,60.51
2002-03-01,66.38
2002-04-01,65.78
2002-05-01,58.43
2002-06-01,55.16
2002-07-01,53.09
2002-08-01,52.02
2002-09-01,57.58
2002-10-01,64.05
2002-11-01,70.18
2002-12-01,63.86
2003-01-01,65.22
2003-02-01,67.59
2003-03-01,61.66
2003-04-01,65.32
2003-05-01,66.18
2003-06-01,61.34
2003-07-01,62.29
2003-08-01,63.59
2003-09-01,65.51
2003-10-01,62.58
2003-11-01,62.36
2003-12-01,64.88
2004-01-01,73.73
2004-02-01,77.51
2004-03-01,77.47
2004-04-01,74.34
2004-05-01,75.81
2004-06-01,82.15
2004-07-01,73.96
2004-08-01,73.17
2004-09-01,80.99
2004-10-01,79.81
2004-11-01,89.51
2004-12-01,102.57
2005-01-01,107.11
2005-02-01,122.23
2005-03-01,134.69
2005-04-01,128.79
2005-05-01,126.16
2005-06-01,119.98
2005-07-01,108.45
2005-08-01,108.43
2005-09-01,98.17
2005-10-01,106.09
2005-11-01,108.81
2005-12-01,103.03
2006-01-01,124.36
2006-02-01,118.52
2006-03-01,112.2
2006-04-01,114.71
2006-05-01,107.96
2006-06-01,101.21
2006-07-01,102.77
2006-08-01,112.13
2006-09-01,109.36
2006-10-01,110.91
2006-11-01,123.57
2006-12-01,129.95
2007-01-01,124.46
2007-02-01,122.34
2007-03-01,116.61
2007-04-01,114.59
2007-05-01,112.52
2007-06-01,118.67
2007-07-01,116.8
2007-08-01,123.63
2007-09-01,128.04
2007-10-01,134.57
2007-11-01,130.33
2007-12-01,136.47
2008-01-01,139.05
2008-02-01,158.21
2008-03-01,148.06
2008-04-01,137.74
2008-05-01,139.74
2008-06-01,144.08
2008-07-01,145.35
2008-08-01,145.77
2008-09-01,140.56
2008-10-01,121.41
2008-11-01,120.44
2008-12-01,116.97
2009-01-01,128.03
2009-02-01,128.51
2009-03-01,127.76
2009-04-01,134.58
2009-05-01,147.64
2009-06-01,144.46
2009-07-01,137.6
2009-08-01,146.87
2009-09-01,145.67
2009-10-01,151.95
2009-11-01,150.23
2009-12-01,155.86
2010-01-01,154.41
2010-02-01,155.92
2010-03-01,162.15
2010-04-01,171.07
2010-05-01,174.03
2010-06-01,193.52
2010-07-01,205.25
2010-08-01,212.8
2010-09-01,222.1
2010-10-01,215.84
2010-11-01,227.96
2010-12-01,237.33
2011-01-01,262.94
2011-02-01,288.08
2011-03-01,294.48
2011-04-01,302.71
2011-05-01,293.06
2011-06-01,277.78
2011-07-01,269.18
2011-08-01,273.54
2011-09-01,275.58
2011-10-01,248.49
2011-11-01,249.5
2011-12-01,243.14
2012-01-01,240.89
2012-02-01,225.49
2012-03-01,201.85
2012-04-01,193.35
2012-05-01,186.35
2012-06-01,169.79
2012-07-01,190.77
2012-08-01,175.97
2012-09-01,179.6
2012-10-01,172.37
2012-11-01,160.64
2012-12-01,154.22
2013-01-01,158.27
2013-02-01,153
2013-03-01,153.01
2013-04-01,152.96
2013-05-01,151.43
2013-06-01,138.86
2013-07-01,138.44
2013-08-01,135.63
2013-09-01,132.78
2013-10-01,128.83
2013-11-01,122.75
2013-12-01,126.74
2014-01-01,135.03
2014-02-01,176.28
2014-03-01,216.06
2014-04-01,226.99
2014-05-01,215.24
2014-06-01,198.91
2014-07-01,198.59
2014-08-01,214.5
2014-09-01,212.01
2014-10-01,227.06
2014-11-01,212.93
2014-12-01,200.59
2015-01-01,190.9
2015-02-01,179.94
2015-03-01,160.02
2015-04-01,164.95
2015-05-01,158.17
2015-06-01,159.77
2015-07-01,153.29
2015-08-01,158.78
2015-09-01,147.65
