Date,Soybeans、 U.S. soybeans、 Chicago Soybean futures contract (first contract forward) No. 2 yellow and par、 US＄ per metric ton
1994-12-01,206.38
1995-01-01,202.5
1995-02-01,203.65
1995-03-01,209.35
1995-04-01,211.27
1995-05-01,211.64
1995-06-01,216.65
1995-07-01,226.92
1995-08-01,218.92
1995-09-01,232.59
1995-10-01,240.99
1995-11-01,249.74
1995-12-01,263.96
1996-01-01,270.12
1996-02-01,268.26
1996-03-01,265.78
1996-04-01,290.42
1996-05-01,295.52
1996-06-01,284.61
1996-07-01,288.77
1996-08-01,296.3
1996-09-01,297.49
1996-10-01,259.8
1996-11-01,255.28
1996-12-01,257.16
1997-01-01,268.1
1997-02-01,280.54
1997-03-01,305.88
1997-04-01,313.36
1997-05-01,319.84
1997-06-01,304.77
1997-07-01,281.16
1997-08-01,267.59
1997-09-01,255.21
1997-10-01,250.75
1997-11-01,265.43
1997-12-01,254.59
1998-01-01,246
1998-02-01,247.42
1998-03-01,240.12
1998-04-01,235.09
1998-05-01,236.15
1998-06-01,231.12
1998-07-01,232.43
1998-08-01,202.25
1998-09-01,193.34
1998-10-01,200.76
1998-11-01,209.9
1998-12-01,204.91
1999-01-01,195.04
1999-02-01,179.67
1999-03-01,175.06
1999-04-01,177.54
1999-05-01,171.45
1999-06-01,170
1999-07-01,158.31
1999-08-01,172
1999-09-01,180.64
1999-10-01,178.18
1999-11-01,171.2
1999-12-01,169.96
2000-01-01,180.38
2000-02-01,185.76
2000-03-01,190.97
2000-04-01,197.1
2000-05-01,200.87
2000-06-01,186.95
2000-07-01,169.5
2000-08-01,167.87
2000-09-01,180.45
2000-10-01,173.61
2000-11-01,177.19
2000-12-01,185.96
2001-01-01,175.42
2001-02-01,167.45
2001-03-01,164.38
2001-04-01,158.61
2001-05-01,163.87
2001-06-01,170.23
2001-07-01,186.65
2001-08-01,182.75
2001-09-01,172.35
2001-10-01,160.63
2001-11-01,162.56
2001-12-01,160.15
2002-01-01,160.06
2002-02-01,160.2
2002-03-01,168.69
2002-04-01,171.36
2002-05-01,176.64
2002-06-01,185.37
2002-07-01,209.09
2002-08-01,208.22
2002-09-01,208.22
2002-10-01,200.09
2002-11-01,210.22
2002-12-01,208.24
2003-01-01,208.68
2003-02-01,209.64
2003-03-01,210.24
2003-04-01,221.72
2003-05-01,232.43
2003-06-01,229.81
2003-07-01,214.05
2003-08-01,208.24
2003-09-01,231.72
2003-10-01,269.01
2003-11-01,279.74
2003-12-01,283.21
2004-01-01,300.94
2004-02-01,316.58
2004-03-01,360.72
2004-04-01,363.55
2004-05-01,347.91
2004-06-01,320.69
2004-07-01,289.82
2004-08-01,225.81
2004-09-01,206.47
2004-10-01,193.45
2004-11-01,195.84
2004-12-01,198.62
2005-01-01,195.66
2005-02-01,197.59
2005-03-01,233.18
2005-04-01,228.76
2005-05-01,233.46
2005-06-01,254.74
2005-07-01,253.35
2005-08-01,230.43
2005-09-01,212.02
2005-10-01,211.17
2005-11-01,210.7
2005-12-01,216.54
2006-01-01,214.01
2006-02-01,214.37
2006-03-01,212.71
2006-04-01,208.9
2006-05-01,217.36
2006-06-01,216.5
2006-07-01,217.25
2006-08-01,203.84
2006-09-01,199.31
2006-10-01,217.89
2006-11-01,244
2006-12-01,243.31
2007-01-01,255.87
2007-02-01,278.04
2007-03-01,276.96
2007-04-01,270.39
2007-05-01,283.21
2007-06-01,302.83
2007-07-01,313.48
2007-08-01,309.01
2007-09-01,347.56
2007-10-01,358.4
2007-11-01,389.02
2007-12-01,423.08
2008-01-01,461.72
2008-02-01,508.22
2008-03-01,495.69
2008-04-01,482.79
2008-05-01,489.09
2008-06-01,552.47
2008-07-01,554.15
2008-08-01,471.07
2008-09-01,437.84
2008-10-01,338.78
2008-11-01,329.14
2008-12-01,318.81
2009-01-01,364.72
2009-02-01,341.27
2009-03-01,333.66
2009-04-01,374.47
2009-05-01,422.28
2009-06-01,445.15
2009-07-01,398.16
2009-08-01,408.96
2009-09-01,349.05
2009-10-01,354.86
2009-11-01,370.71
2009-12-01,379.3
2010-01-01,358.97
2010-02-01,344.66
2010-03-01,348.95
2010-04-01,357.65
2010-05-01,349.06
2010-06-01,348.51
2010-07-01,370.98
2010-08-01,379.46
2010-09-01,390.23
2010-10-01,427.18
2010-11-01,459.96
2010-12-01,483.76
2011-01-01,511.1
2011-02-01,512.05
2011-03-01,498.74
2011-04-01,501.47
2011-05-01,498.77
2011-06-01,499.77
2011-07-01,501.83
2011-08-01,501.42
2011-09-01,490.91
2011-10-01,446.02
2011-11-01,428.83
2011-12-01,420.05
2012-01-01,441.73
2012-02-01,461.56
2012-03-01,496.29
2012-04-01,529.42
2012-05-01,520.93
2012-06-01,522.33
2012-07-01,609.45
2012-08-01,622.91
2012-09-01,615.18
2012-10-01,565.53
2012-11-01,533.03
2012-12-01,534.79
2013-01-01,526.05
2013-02-01,536.38
2013-03-01,536.08
2013-04-01,517.79
2013-05-01,542.2
2013-06-01,560.16
2013-07-01,548.35
2013-08-01,498.05
2013-09-01,503.24
2013-10-01,472.83
2013-11-01,476.66
2013-12-01,488.67
2014-01-01,476.1
2014-02-01,496.8
2014-03-01,522
2014-04-01,547.19
2014-05-01,546.03
2014-06-01,528
2014-07-01,463.23
2014-08-01,432.99
2014-09-01,368.85
2014-10-01,354.44
2014-11-01,379.34
2014-12-01,378.78
2015-01-01,367.49
2015-02-01,364.74
2015-03-01,359.6
2015-04-01,356.93
2015-05-01,351.95
2015-06-01,354.82
2015-07-01,372.35
2015-08-01,347.02
2015-09-01,323.55
