Date,Groundnuts (peanuts)、 40／50 (40 to 50 count per ounce)、 cif Argentina、 US＄ per metric ton
1989-03-01,767.83
1989-04-01,775.75
1989-05-01,795.65
1989-06-01,864.55
1989-07-01,839.52
1989-08-01,739.78
1989-09-01,747.14
1989-10-01,777.27
1989-11-01,798.18
1989-12-01,829.52
1990-01-01,864.35
1990-02-01,823.75
1990-03-01,795.91
1990-04-01,761.43
1990-05-01,768.48
1990-06-01,767.38
1990-07-01,778.18
1990-08-01,963.04
1990-09-01,1252.5
1990-10-01,1780.43
1990-11-01,1743.18
1990-12-01,1488.1
1991-01-01,1319.57
1991-02-01,1668.75
1991-03-01,1700
1991-04-01,1543.18
1991-05-01,982.61
1991-06-01,1000
1991-07-01,938.04
1991-08-01,826.14
1991-09-01,750
1991-10-01,740.43
1991-11-01,714.76
1991-12-01,650
1992-01-01,661.96
1992-02-01,675
1992-03-01,660.23
1992-04-01,645.45
1992-05-01,630
1992-06-01,632.73
1992-07-01,660
1992-08-01,660
1992-09-01,640
1992-10-01,640
1992-11-01,640
1992-12-01,646.52
1993-01-01,670
1993-02-01,693.5
1993-03-01,772.61
1993-04-01,780
1993-05-01,812.38
1993-06-01,931.82
1993-07-01,930
1993-08-01,945.45
1993-09-01,1145.91
1993-10-01,1150
1993-11-01,1150
1993-12-01,1150
1994-01-01,1150
1994-02-01,1150
1994-03-01,958.26
1994-04-01,940
1994-05-01,905
1994-06-01,870
1994-07-01,870
1994-08-01,870
1994-09-01,870
1994-10-01,870
1994-11-01,829.09
1994-12-01,770
1995-01-01,770
1995-02-01,770
1995-03-01,774.78
1995-04-01,779.75
1995-05-01,777.83
1995-06-01,812.73
1995-07-01,818.1
1995-08-01,791.3
1995-09-01,800
1995-10-01,898.18
1995-11-01,924.55
1995-12-01,882.86
1996-01-01,852.17
1996-02-01,835.24
1996-03-01,829.05
1996-04-01,811.36
1996-05-01,813.91
1996-06-01,800
1996-07-01,803.48
1996-08-01,793.18
1996-09-01,797.14
1996-10-01,806.96
1996-11-01,794.76
1996-12-01,784.09
1997-01-01,756.52
1997-02-01,750.75
1997-03-01,800.48
1997-04-01,883.18
1997-05-01,955.45
1997-06-01,930.95
1997-07-01,909.57
1997-08-01,906.67
1997-09-01,914.55
1997-10-01,943.91
1997-11-01,895
1997-12-01,843.48
1998-01-01,807.27
1998-02-01,770
1998-03-01,744.09
1998-04-01,740
1998-05-01,739.52
1998-06-01,803.18
1998-07-01,892.61
1998-08-01,946.19
1998-09-01,841.36
1998-10-01,752.27
1998-11-01,754.76
1998-12-01,750
1999-01-01,734.29
1999-02-01,704
1999-03-01,712.61
1999-04-01,717.27
1999-05-01,757.14
1999-06-01,804.09
1999-07-01,798.64
1999-08-01,749.55
1999-09-01,766.82
1999-10-01,769.05
1999-11-01,819.09
1999-12-01,819.13
2000-01-01,780.95
2000-02-01,823.81
2000-03-01,794.78
2000-04-01,808
2000-05-01,805.22
2000-06-01,785.45
2000-07-01,765.24
2000-08-01,763.91
2000-09-01,772.38
2000-10-01,744.55
2000-11-01,781.82
2000-12-01,800
2001-01-01,808.7
2001-02-01,800
2001-03-01,788.64
2001-04-01,748.57
2001-05-01,740
2001-06-01,736.19
2001-07-01,760.91
2001-08-01,771.3
2001-09-01,750
2001-10-01,715.65
2001-11-01,719.09
2001-12-01,700
2002-01-01,700
2002-02-01,700
2002-03-01,676.67
2002-04-01,618.18
2002-05-01,586.09
2002-06-01,601
2002-07-01,605.65
2002-08-01,629.55
2002-09-01,650
2002-10-01,650
2002-11-01,693.81
2002-12-01,748.18
2003-01-01,775.22
2003-02-01,780
2003-03-01,780
2003-04-01,780
2003-05-01,829.09
2003-06-01,870
2003-07-01,906.52
2003-08-01,910
2003-09-01,910
2003-10-01,910
2003-11-01,910
2003-12-01,910
2004-01-01,910
2004-02-01,910
2004-03-01,910
2004-04-01,910
2004-05-01,910
2004-06-01,910
2004-07-01,910
2004-08-01,910
2004-09-01,910
2004-10-01,910
2004-11-01,910
2004-12-01,910
2005-01-01,910
2005-02-01,910
2005-03-01,910
2005-04-01,800.48
2005-05-01,758.18
2005-06-01,727.27
2005-07-01,713.33
2005-08-01,700
2005-09-01,700
2005-10-01,700
2005-11-01,700
2005-12-01,700
2006-01-01,710.45
2006-02-01,720
2006-03-01,720
2006-04-01,720
2006-05-01,754.78
2006-06-01,802.73
2006-07-01,845.24
2006-08-01,893.91
2006-09-01,931.43
2006-10-01,940
2006-11-01,947.73
2006-12-01,960
2007-01-01,996.96
2007-02-01,1000
2007-03-01,1000
2007-04-01,1000
2007-05-01,1013.04
2007-06-01,1095.24
2007-07-01,1159.09
2007-08-01,1200
2007-09-01,1200
2007-10-01,1282.61
2007-11-01,1513.64
2007-12-01,1669.05
2008-01-01,1700
2008-02-01,1700
2008-03-01,1700
2008-04-01,1665.91
2008-05-01,1650
2008-06-01,1650
2008-07-01,1619.57
2008-08-01,1599.05
2008-09-01,1572.73
2008-10-01,1470
2008-11-01,1268
2008-12-01,1217.39
2009-01-01,1154.09
2009-02-01,984
2009-03-01,900
2009-04-01,900
2009-05-01,916.67
2009-06-01,957.73
2009-07-01,966.09
2009-08-01,980
2009-09-01,990.91
2009-10-01,1000.91
2009-11-01,1042.38
2009-12-01,1142.61
2010-01-01,1214.29
2010-02-01,1218
2010-03-01,1200
2010-04-01,1202.73
2010-05-01,1230
2010-06-01,1189.09
2010-07-01,1180
2010-08-01,1210.91
2010-09-01,1272.27
2010-10-01,1296.19
2010-11-01,1300
2010-12-01,1359.13
2011-01-01,1568.57
2011-02-01,1600
2011-03-01,1600
2011-04-01,1600
2011-05-01,1659.09
2011-06-01,1776.36
2011-07-01,1683.34
2011-08-01,1819.88
2011-09-01,1837.73
2011-10-01,1829.29
2011-11-01,1860.66
2011-12-01,1853.53
2012-01-01,1858.54
2012-02-01,1885.51
2012-03-01,1807.74
2012-04-01,1717.79
2012-05-01,1619.49
2012-06-01,1546.62
2012-07-01,1541.45
2012-08-01,1515.53
2012-09-01,1588.56
2012-10-01,1637.41
2012-11-01,1675.89
2012-12-01,1863.9
2013-01-01,1985.41
2013-02-01,1923.5
2013-03-01,2366.6
2013-04-01,2433.05
2013-05-01,2529.9
2013-06-01,2555.81
2013-07-01,2243.39
2013-08-01,2506.11
2013-09-01,2291.86
2013-10-01,2338.33
2013-11-01,2392.17
2013-12-01,2207.45
2014-01-01,2431.18
2014-02-01,2323.84
2014-03-01,2376.98
2014-04-01,2256.2
2014-05-01,2217.55
2014-06-01,2212.72
2014-07-01,2145.5
2014-08-01,1986.8
2014-09-01,2008.05
2014-10-01,1833.78
2014-11-01,1991.45
2014-12-01,1995.1
2015-01-01,1951.39
2015-02-01,2028.17
2015-03-01,2070.86
2015-04-01,2017.27
2015-05-01,2044.78
2015-06-01,2008.05
2015-07-01,2063.58
2015-08-01,2042.48
2015-09-01,1932.51
