Date,Soft Logs、 Average Export price from the U.S. for Douglas Fir、 US＄ per cubic meter
1990-01-01,115.43
1990-02-01,118.22
1990-03-01,119.81
1990-04-01,120.66
1990-05-01,124.28
1990-06-01,129.45
1990-07-01,124.23
1990-08-01,129.7
1990-09-01,129.78
1990-10-01,121.31
1990-11-01,130.5
1990-12-01,119.35
1991-01-01,126.14
1991-02-01,126.77
1991-03-01,122.87
1991-04-01,126.26
1991-05-01,123.5
1991-06-01,121.46
1991-07-01,126.27
1991-08-01,125.48
1991-09-01,129.06
1991-10-01,123.25
1991-11-01,128.12
1991-12-01,128.85
1992-01-01,126.49
1992-02-01,128.77
1992-03-01,128.57
1992-04-01,142.01
1992-05-01,142.98
1992-06-01,148.84
1992-07-01,155.39
1992-08-01,183.29
1992-09-01,167.3
1992-10-01,164.55
1992-11-01,174.32
1992-12-01,167.07
1993-01-01,195.11
1993-02-01,194.37
1993-03-01,210.57
1993-04-01,221.89
1993-05-01,243.97
1993-06-01,259.97
1993-07-01,240.68
1993-08-01,221.22
1993-09-01,213.85
1993-10-01,210.71
1993-11-01,203.69
1993-12-01,199.19
1994-01-01,215.5
1994-02-01,215.5
1994-03-01,207.21
1994-04-01,199.56
1994-05-01,203.92
1994-06-01,195.31
1994-07-01,202.82
1994-08-01,192.88
1994-09-01,193.86
1994-10-01,187.33
1994-11-01,212.3
1994-12-01,188.58
1995-01-01,211.77
1995-02-01,211.56
1995-03-01,226.36
1995-04-01,198.82
1995-05-01,204.31
1995-06-01,191.87
1995-07-01,169.01
1995-08-01,173
1995-09-01,192.87
1995-10-01,176.04
1995-11-01,186.45
1995-12-01,184.01
1996-01-01,219.61
1996-02-01,195.34
1996-03-01,215.41
1996-04-01,152.68
1996-05-01,203.38
1996-06-01,208.97
1996-07-01,203.98
1996-08-01,213.16
1996-09-01,203.12
1996-10-01,226.49
1996-11-01,218.14
1996-12-01,188.59
1997-01-01,229.64
1997-02-01,213.22
1997-03-01,207.82
1997-04-01,202.2
1997-05-01,181.16
1997-06-01,193.02
1997-07-01,195.72
1997-08-01,174.47
1997-09-01,166.01
1997-10-01,158.19
1997-11-01,151.76
1997-12-01,150.45
1998-01-01,157.44
1998-02-01,162.51
1998-03-01,153.96
1998-04-01,165.28
1998-05-01,155.38
1998-06-01,160.26
1998-07-01,141.85
1998-08-01,173.47
1998-09-01,164.56
1998-10-01,166.64
1998-11-01,154.93
1998-12-01,152.94
1999-01-01,157.61
1999-02-01,163.2
1999-03-01,163.34
1999-04-01,161.84
1999-05-01,167.4
1999-06-01,161.32
1999-07-01,157.21
1999-08-01,159.37
1999-09-01,158.89
1999-10-01,173.95
1999-11-01,170.76
1999-12-01,179.66
2000-01-01,177.31
2000-02-01,178.18
2000-03-01,177.67
2000-04-01,182.66
2000-05-01,181.06
2000-06-01,181.42
2000-07-01,174.28
2000-08-01,183.15
2000-09-01,191.6
2000-10-01,175.6
2000-11-01,188.41
2000-12-01,177.93
2001-01-01,178.86
2001-02-01,170.31
2001-03-01,159.95
2001-04-01,158.44
2001-05-01,157.93
2001-06-01,156.63
2001-07-01,154.68
2001-08-01,157.23
2001-09-01,160.36
2001-10-01,144.92
2001-11-01,152.05
2001-12-01,141.3
2002-01-01,144.77
2002-02-01,140.23
2002-03-01,144.32
2002-04-01,150.48
2002-05-01,141.19
2002-06-01,133.29
2002-07-01,149.62
2002-08-01,146.04
2002-09-01,149.12
2002-10-01,147.6
2002-11-01,156.65
2002-12-01,147.69
2003-01-01,143.16
2003-02-01,150.49
2003-03-01,145.69
2003-04-01,151.93
2003-05-01,145.88
2003-06-01,146.8
2003-07-01,142.07
2003-08-01,150.47
2003-09-01,134.3
2003-10-01,152.32
2003-11-01,144.39
2003-12-01,139.3
2004-01-01,160.5
2004-02-01,172.77
2004-03-01,159.41
2004-04-01,176.76
2004-05-01,177.85
2004-06-01,175.4
2004-07-01,180.9
2004-08-01,184.6
2004-09-01,180.47
2004-10-01,171.62
2004-11-01,170.98
2004-12-01,172.9
2005-01-01,184.31
2005-02-01,179.08
2005-03-01,179.16
2005-04-01,183.78
2005-05-01,171.36
2005-06-01,179.02
2005-07-01,182.64
2005-08-01,184.32
2005-09-01,185.04
2005-10-01,181.8
2005-11-01,181.24
2005-12-01,186.74
2006-01-01,186.05
2006-02-01,183.81
2006-03-01,193.49
2006-04-01,205.16
2006-05-01,193.14
2006-06-01,185.69
2006-07-01,193.33
2006-08-01,176.61
2006-09-01,193.45
2006-10-01,182.19
2006-11-01,179.94
2006-12-01,171.15
2007-01-01,167.76
2007-02-01,165.12
2007-03-01,151.26
2007-04-01,163.04
2007-05-01,158.72
2007-06-01,148.6
2007-07-01,146.32
2007-08-01,149.86
2007-09-01,161.27
2007-10-01,143.39
2007-11-01,135.16
2007-12-01,124.59
2008-01-01,137.75
2008-02-01,130.78
2008-03-01,135.11
2008-04-01,135.71
2008-05-01,144.83
2008-06-01,152.37
2008-07-01,143.25
2008-08-01,146.58
2008-09-01,145.16
2008-10-01,169.06
2008-11-01,167.18
2008-12-01,160.09
2009-01-01,145.27
2009-02-01,168.55
2009-03-01,147.08
2009-04-01,142.86
2009-05-01,132.06
2009-06-01,133.72
2009-07-01,132.6
2009-08-01,126.57
2009-09-01,132.17
2009-10-01,126.95
2009-11-01,123.32
2009-12-01,128.62
2010-01-01,126.02
2010-02-01,139.56
2010-03-01,143.08
2010-04-01,140.22
2010-05-01,143.85
2010-06-01,143.38
2010-07-01,146.32
2010-08-01,141.77
2010-09-01,136.92
2010-10-01,145.89
2010-11-01,141.02
2010-12-01,149.48
2011-01-01,152.47
2011-02-01,150.28
2011-03-01,150.09
2011-04-01,156.18
2011-05-01,160.91
2011-06-01,157.67
2011-07-01,152.67
2011-08-01,147.09
2011-09-01,140.97
2011-10-01,138.95
2011-11-01,148.52
2011-12-01,143.99
2012-01-01,144.92
2012-02-01,142.61
2012-03-01,147.03
2012-04-01,128
2012-05-01,148.87
2012-06-01,145.65
2012-07-01,134.37
2012-08-01,141.43
2012-09-01,175.5
2012-10-01,152.14
2012-11-01,166.12
2012-12-01,149.29
2013-01-01,152.61
2013-02-01,156
2013-03-01,164.08
2013-04-01,160.55
2013-05-01,168.93
2013-06-01,174.79
2013-07-01,150.6
2013-08-01,165.6
2013-09-01,159.26
2013-10-01,165.9
2013-11-01,183.63
2013-12-01,172.46
2014-01-01,165.98
2014-02-01,189.97
2014-03-01,179.2
2014-04-01,165.52
2014-05-01,177.88
2014-06-01,165.59
2014-07-01,178.28
2014-08-01,157.7
2014-09-01,166.24
2014-10-01,193.35
2014-11-01,167.31
2014-12-01,183.97
2015-01-01,169.3
2015-02-01,179.52
2015-03-01,160.53
2015-04-01,168.95
2015-05-01,159.31
2015-06-01,149.14
2015-07-01,153.68
2015-08-01,153.68
2015-09-01,153.68
