Date,Palm oil、 Malaysia Palm Oil Futures (first contract forward) 4-5 percent FFA、 US＄ per metric ton
2001-11-01,281.51
2001-12-01,295.47
2002-01-01,310.3
2002-02-01,296.77
2002-03-01,302.45
2002-04-01,311.15
2002-05-01,337.82
2002-06-01,376
2002-07-01,369.21
2002-08-01,391.51
2002-09-01,369.4
2002-10-01,372.8
2002-11-01,409.97
2002-12-01,433.56
2003-01-01,431.32
2003-02-01,421.52
2003-03-01,390.13
2003-04-01,377.2
2003-05-01,382.12
2003-06-01,390.44
2003-07-01,382.83
2003-08-01,361.94
2003-09-01,374.87
2003-10-01,449.02
2003-11-01,484.63
2003-12-01,478.47
2004-01-01,467.69
2004-02-01,501.61
2004-03-01,520.57
2004-04-01,516.34
2004-05-01,481.14
2004-06-01,408.98
2004-07-01,386.63
2004-08-01,393.71
2004-09-01,401.64
2004-10-01,381.61
2004-11-01,386.67
2004-12-01,370.09
2005-01-01,346.63
2005-02-01,347.57
2005-03-01,374.83
2005-04-01,375.84
2005-05-01,370.16
2005-06-01,369.64
2005-07-01,369.6
2005-08-01,360.3
2005-09-01,369.98
2005-10-01,382.82
2005-11-01,375.97
2005-12-01,368.9
2006-01-01,377.92
2006-02-01,390.63
2006-03-01,383.36
2006-04-01,386.41
2006-05-01,394.52
2006-06-01,386.18
2006-07-01,404.02
2006-08-01,434.48
2006-09-01,416.94
2006-10-01,422.32
2006-11-01,476.74
2006-12-01,528.24
2007-01-01,550.78
2007-02-01,553.75
2007-03-01,566.39
2007-04-01,645.41
2007-05-01,740.63
2007-06-01,748.43
2007-07-01,764.47
2007-08-01,729.56
2007-09-01,745.18
2007-10-01,824.07
2007-11-01,877.34
2007-12-01,883.45
2008-01-01,987.02
2008-02-01,1109.5
2008-03-01,1146.86
2008-04-01,1083.48
2008-05-01,1086.83
2008-06-01,1096.39
2008-07-01,1026.25
2008-08-01,791.77
2008-09-01,667.04
2008-10-01,486.4
2008-11-01,433.1
2008-12-01,440.38
2009-01-01,522.15
2009-02-01,529.4
2009-03-01,557.21
2009-04-01,693.21
2009-05-01,772.39
2009-06-01,690.82
2009-07-01,601.95
2009-08-01,686.79
2009-09-01,636.42
2009-10-01,636.56
2009-11-01,674.33
2009-12-01,727.6
2010-01-01,742
2010-02-01,754.32
2010-03-01,793.9
2010-04-01,798.53
2010-05-01,775.57
2010-06-01,764.91
2010-07-01,774.5
2010-08-01,865.23
2010-09-01,884.89
2010-10-01,935.22
2010-11-01,1059.01
2010-12-01,1171.22
2011-01-01,1238.57
2011-02-01,1248.55
2011-03-01,1142.23
2011-04-01,1123.79
2011-05-01,1143.44
2011-06-01,1075.91
2011-07-01,1033.57
2011-08-01,1047.51
2011-09-01,995.18
2011-10-01,914.44
2011-11-01,985.77
2011-12-01,969.07
2012-01-01,1020.54
2012-02-01,1047.69
2012-03-01,1105.74
2012-04-01,1157.45
2012-05-01,1031.12
2012-06-01,927.63
2012-07-01,952.54
2012-08-01,930.61
2012-09-01,879.53
2012-10-01,768.09
2012-11-01,743.13
2012-12-01,713.94
2013-01-01,776.54
2013-02-01,792.38
2013-03-01,771.87
2013-04-01,756.46
2013-05-01,763.38
2013-06-01,763.04
2013-07-01,729.86
2013-08-01,722.84
2013-09-01,725.8
2013-10-01,762.62
2013-11-01,810.3
2013-12-01,795.27
2014-01-01,769.34
2014-02-01,811.2
2014-03-01,860.52
2014-04-01,825.32
2014-05-01,800.29
2014-06-01,758.47
2014-07-01,752.89
2014-08-01,677.86
2014-09-01,656.98
2014-10-01,673.09
2014-11-01,662.4
2014-12-01,624.54
2015-01-01,641.6
2015-02-01,634.38
2015-03-01,607.65
2015-04-01,591.79
2015-05-01,601.4
2015-06-01,606.4
2015-07-01,575.68
2015-08-01,484.68
2015-09-01,483.49
