Date,Bananas、 Central American and Ecuador、 FOB U.S. Ports、 US＄ per metric ton
2006-01-01,624.69
2006-02-01,871.55
2006-03-01,880.67
2006-04-01,669.89
2006-05-01,946.13
2006-06-01,713.84
2006-07-01,585.04
2006-08-01,546.18
2006-09-01,544.92
2006-10-01,552.17
2006-11-01,602.71
2006-12-01,656.41
2007-01-01,640.16
2007-02-01,658.84
2007-03-01,646.66
2007-04-01,647.2
2007-05-01,691.81
2007-06-01,778.74
2007-07-01,735.18
2007-08-01,696.01
2007-09-01,666.44
2007-10-01,659.98
2007-11-01,653.57
2007-12-01,648.51
2008-01-01,679.8
2008-02-01,790.58
2008-03-01,1027.36
2008-04-01,969.99
2008-05-01,927.93
2008-06-01,839.78
2008-07-01,725.14
2008-08-01,801.1
2008-09-01,806.63
2008-10-01,808.01
2008-11-01,904.7
2008-12-01,842.54
2009-01-01,814.92
2009-02-01,921.96
2009-03-01,906.08
2009-04-01,897.79
2009-05-01,852.9
2009-06-01,850.83
2009-07-01,828.73
2009-08-01,835.64
2009-09-01,818.37
2009-10-01,811.46
2009-11-01,835.64
2009-12-01,801.1
2010-01-01,782.69
2010-02-01,790.75
2010-03-01,842.54
2010-04-01,828.42
2010-05-01,872.47
2010-06-01,964.84
2010-07-01,987.07
2010-08-01,896.53
2010-09-01,883.98
2010-10-01,921.8
2010-11-01,908.15
2010-12-01,897.79
2011-01-01,949.42
2011-02-01,1013.12
2011-03-01,994.17
2011-04-01,1013.47
2011-05-01,1022.1
2011-06-01,986.31
2011-07-01,964.22
2011-08-01,960.25
2011-09-01,945.5
2011-10-01,956.33
2011-11-01,959.32
2011-12-01,946.76
2012-01-01,942.99
2012-02-01,1045.12
2012-03-01,1151.43
2012-04-01,1029.33
2012-05-01,955.44
2012-06-01,956.33
2012-07-01,966.85
2012-08-01,954.84
2012-09-01,966.85
2012-10-01,959.04
2012-11-01,937.34
2012-12-01,945.8
2013-01-01,933.82
2013-02-01,925.41
2013-03-01,938.57
2013-04-01,912.23
2013-05-01,908
2013-06-01,911.6
2013-07-01,925.41
2013-08-01,937.6
2013-09-01,939.23
2013-10-01,936.82
2013-11-01,922.13
2013-12-01,925.41
2014-01-01,928.42
2014-02-01,946.13
2014-03-01,966.85
2014-04-01,945.5
2014-05-01,916
2014-06-01,926.07
2014-07-01,930.82
2014-08-01,961.59
2014-09-01,925.41
2014-10-01,922.41
2014-11-01,904.7
2014-12-01,908.6
2015-01-01,911.6
2015-02-01,966.85
2015-03-01,1045.96
2015-04-01,1059.14
2015-05-01,946.79
2015-06-01,929.18
2015-07-01,938.33
2015-08-01,956.66
2015-09-01,951.78
