Date,Copper、 grade A cathode、 LME spot price、 CIF European ports、 US＄ per metric ton
1990-01-01,2365.56
1990-02-01,2358.94
1990-03-01,2625.7
1990-04-01,2685.23
1990-05-01,2740.34
1990-06-01,2583.81
1990-07-01,2769
1990-08-01,2956.4
1990-09-01,3040.17
1990-10-01,2742.55
1990-11-01,2583.81
1990-12-01,2484.61
1991-01-01,2447.13
1991-02-01,2447.13
1991-03-01,2409.65
1991-04-01,2471.38
1991-05-01,2340.42
1991-06-01,2218.07
1991-07-01,2231.26
1991-08-01,2236.19
1991-09-01,2318.58
1991-10-01,2360.65
1991-11-01,2375.66
1991-12-01,2205.92
1992-01-01,2150.58
1992-02-01,2208.89
1992-03-01,2231.79
1992-04-01,2214.17
1992-05-01,2219.32
1992-06-01,2296.44
1992-07-01,2527.29
1992-08-01,2513.47
1992-09-01,2419.61
1992-10-01,2262.46
1992-11-01,2161.79
1992-12-01,2211.95
1993-01-01,2264.21
1993-02-01,2212.18
1993-03-01,2152.38
1993-04-01,1953.62
1993-05-01,1799.35
1993-06-01,1857.87
1993-07-01,1927.34
1993-08-01,1951.07
1993-09-01,1858.25
1993-10-01,1647
1993-11-01,1632.57
1993-12-01,1723.63
1994-01-01,1807.07
1994-02-01,1865.08
1994-03-01,1913.17
1994-04-01,1881.37
1994-05-01,2144.5
1994-06-01,2363.09
1994-07-01,2447.24
1994-08-01,2409.75
1994-09-01,2504.84
1994-10-01,2546.02
1994-11-01,2803.55
1994-12-01,2980.7
1995-01-01,3003.26
1995-02-01,2870.45
1995-03-01,2919.67
1995-04-01,2894.89
1995-05-01,2771.57
1995-06-01,2987.68
1995-07-01,3076.45
1995-08-01,3040.14
1995-09-01,2910.43
1995-10-01,2810.07
1995-11-01,2981.62
1995-12-01,2918.21
1996-01-01,2605
1996-02-01,2544.67
1996-03-01,2563.35
1996-04-01,2594.17
1996-05-01,2658.76
1996-06-01,2177.6
1996-07-01,1983.93
1996-08-01,2017.86
1996-09-01,1935.07
1996-10-01,1960.2
1996-11-01,2215.43
1996-12-01,2264.6
1997-01-01,2427.27
1997-02-01,2406.63
1997-03-01,2420.18
1997-04-01,2389.32
1997-05-01,2513.3
1997-06-01,2611.29
1997-07-01,2449.2
1997-08-01,2250.1
1997-09-01,2104.31
1997-10-01,2050.7
1997-11-01,1918.5
1997-12-01,1761.45
1998-01-01,1687.6
1998-02-01,1664
1998-03-01,1747.16
1998-04-01,1800.13
1998-05-01,1731.66
1998-06-01,1656.6
1998-07-01,1655.67
1998-08-01,1619.93
1998-09-01,1646.77
1998-10-01,1585.5
1998-11-01,1573.72
1998-12-01,1475.76
1999-01-01,1432
1999-02-01,1412.95
1999-03-01,1378.48
1999-04-01,1463.72
1999-05-01,1510.45
1999-06-01,1422.16
1999-07-01,1639.18
1999-08-01,1646.74
1999-09-01,1749.68
1999-10-01,1723.29
1999-11-01,1726.77
1999-12-01,1764.88
2000-01-01,1843.85
2000-02-01,1807.03
2000-03-01,1739.8
2000-04-01,1681.91
2000-05-01,1785.1
2000-06-01,1752.07
2000-07-01,1803.14
2000-08-01,1857.12
2000-09-01,1961.89
2000-10-01,1894.37
2000-11-01,1795.6
2000-12-01,1852.4
2001-01-01,1787.06
2001-02-01,1766.13
2001-03-01,1742.16
2001-04-01,1665.97
2001-05-01,1684.85
2001-06-01,1610.47
2001-07-01,1526.77
2001-08-01,1466.41
2001-09-01,1427.7
2001-10-01,1377.38
2001-11-01,1434.29
2001-12-01,1472.85
2002-01-01,1508.23
2002-02-01,1561.37
2002-03-01,1607.39
2002-04-01,1588.57
2002-05-01,1597.02
2002-06-01,1650.59
2002-07-01,1588.28
2002-08-01,1482.92
2002-09-01,1478.93
2002-10-01,1486.17
2002-11-01,1581.04
2002-12-01,1592.96
2003-01-01,1650.31
2003-02-01,1682.14
2003-03-01,1655.69
2003-04-01,1587.87
2003-05-01,1651.1
2003-06-01,1685.11
2003-07-01,1712.83
2003-08-01,1756.72
2003-09-01,1789.67
2003-10-01,1925.58
2003-11-01,2053.28
2003-12-01,2202.04
2004-01-01,2421.48
2004-02-01,2751.72
2004-03-01,3000.28
2004-04-01,2926.97
2004-05-01,2728.46
2004-06-01,2689.05
2004-07-01,2816.8
2004-08-01,2844.2
2004-09-01,2903.17
2004-10-01,3009.4
2004-11-01,3130.31
2004-12-01,3139.79
2005-01-01,3168.1
2005-02-01,3247.1
2005-03-01,3378.9
2005-04-01,3389.81
2005-05-01,3241.9
2005-06-01,3529.73
2005-07-01,3608.48
2005-08-01,3791.91
2005-09-01,3850.66
2005-10-01,4056.17
2005-11-01,4278.16
2005-12-01,4577.02
2006-01-01,4743.86
2006-02-01,4974.98
2006-03-01,5123.67
2006-04-01,6404.44
2006-05-01,8059.19
2006-06-01,7222.77
2006-07-01,7726.74
2006-08-01,7690.25
2006-09-01,7622.64
2006-10-01,7497.41
2006-11-01,7029.3
2006-12-01,6680.97
2007-01-01,5689.34
2007-02-01,5718.15
2007-03-01,6465.3
2007-04-01,7753.34
2007-05-01,7677.95
2007-06-01,7514.24
2007-07-01,7980.93
2007-08-01,7500.2
2007-09-01,7671.35
2007-10-01,8020.59
2007-11-01,6957.43
2007-12-01,6630.74
2008-01-01,7078.91
2008-02-01,7941.14
2008-03-01,8434.32
2008-04-01,8714.18
2008-05-01,8356.13
2008-06-01,8292
2008-07-01,8407.02
2008-08-01,7633.8
2008-09-01,6975.11
2008-10-01,4894.89
2008-11-01,3729.19
2008-12-01,3105.1
2009-01-01,3260.36
2009-02-01,3328.41
2009-03-01,3770.88
2009-04-01,4436.93
2009-05-01,4594.9
2009-06-01,5013.3
2009-07-01,5240.83
2009-08-01,6176.88
2009-09-01,6195.75
2009-10-01,6305.99
2009-11-01,6682.44
2009-12-01,6976.98
2010-01-01,7367.39
2010-02-01,6867.69
2010-03-01,7466.96
2010-04-01,7729.85
2010-05-01,6843.18
2010-06-01,6501.5
2010-07-01,6750.57
2010-08-01,7302.67
2010-09-01,7729.59
2010-10-01,8289.76
2010-11-01,8458.42
2010-12-01,9152.86
2011-01-01,9533.2
2011-02-01,9880.94
2011-03-01,9503.36
2011-04-01,9482.75
2011-05-01,8931.67
2011-06-01,9066.85
2011-07-01,9650.46
2011-08-01,8997.99
2011-09-01,8300.14
2011-10-01,7394.19
2011-11-01,7581.02
2011-12-01,7558.88
2012-01-01,8061.92
2012-02-01,8441.49
2012-03-01,8470.78
2012-04-01,8285.53
2012-05-01,7896.91
2012-06-01,7428.29
2012-07-01,7584.26
2012-08-01,7510.43
2012-09-01,8087.74
2012-10-01,8062.03
2012-11-01,7711.23
2012-12-01,7966.49
2013-01-01,8053.74
2013-02-01,8060.93
2013-03-01,7652.38
2013-04-01,7221.16
2013-05-01,7248.71
2013-06-01,7000.24
2013-07-01,6906.64
2013-08-01,7186.25
2013-09-01,7159.27
2013-10-01,7203.02
2013-11-01,7070.65
2013-12-01,7214.9
2014-01-01,7291.47
2014-02-01,7149.21
2014-03-01,6650.04
2014-04-01,6673.56
2014-05-01,6891.13
2014-06-01,6821.14
2014-07-01,7113.38
2014-08-01,7001.84
2014-09-01,6872.22
2014-10-01,6737.48
2014-11-01,6712.85
2014-12-01,6446.45
2015-01-01,5830.54
2015-02-01,5729.27
2015-03-01,5939.67
2015-04-01,6042.09
2015-05-01,6294.78
2015-06-01,5833.01
2015-07-01,5456.75
2015-08-01,5127.3
2015-09-01,5217.25
