Date,Barley、 Canadian no.1 Western Barley、 spot price、 US＄ per metric ton
1989-01-01,73.21
1989-02-01,75.57
1989-03-01,82.9
1989-04-01,84.23
1989-05-01,83.21
1989-06-01,67.92
1989-07-01,74.87
1989-08-01,73.21
1989-09-01,71.55
1989-10-01,71.87
1989-11-01,69.9
1989-12-01,73.21
1990-01-01,75.57
1990-02-01,73.86
1990-03-01,70.04
1990-04-01,68.77
1990-05-01,71.03
1990-06-01,80.23
1990-07-01,77.99
1990-08-01,83.78
1990-09-01,88.39
1990-10-01,88.16
1990-11-01,91.47
1990-12-01,89.81
1991-01-01,93.88
1991-02-01,92.04
1991-03-01,88.09
1991-04-01,85.15
1991-05-01,85.3
1991-06-01,71.28
1991-07-01,72.27
1991-08-01,67.06
1991-09-01,67.43
1991-10-01,68.21
1991-11-01,73.3
1991-12-01,75.43
1992-01-01,73.42
1992-02-01,71.28
1992-03-01,72.64
1992-04-01,75.23
1992-05-01,84.78
1992-06-01,84.89
1992-07-01,77.37
1992-08-01,77.04
1992-09-01,83.57
1992-10-01,82.21
1992-11-01,82.12
1992-12-01,79.55
1993-01-01,75.08
1993-02-01,74.83
1993-03-01,75.16
1993-04-01,77.45
1993-05-01,77.46
1993-06-01,75.3
1993-07-01,74.03
1993-08-01,69.69
1993-09-01,64.41
1993-10-01,60.95
1993-11-01,63.85
1993-12-01,68.31
1994-01-01,74.62
1994-02-01,72.29
1994-03-01,68.29
1994-04-01,66.89
1994-05-01,68.55
1994-06-01,67.78
1994-07-01,64.32
1994-08-01,66.16
1994-09-01,72.27
1994-10-01,80.14
1994-11-01,83.98
1994-12-01,86.49
1995-01-01,85.45
1995-02-01,85.77
1995-03-01,90.83
1995-04-01,93.4
1995-05-01,100.79
1995-06-01,105.77
1995-07-01,112.97
1995-08-01,104.87
1995-09-01,104.82
1995-10-01,112.7
1995-11-01,125.76
1995-12-01,125
1996-01-01,124.93
1996-02-01,123.31
1996-03-01,124.47
1996-04-01,132.69
1996-05-01,137.79
1996-06-01,138.14
1996-07-01,133.09
1996-08-01,115.01
1996-09-01,103.4
1996-10-01,102.41
1996-11-01,99.99
1996-12-01,100.76
1997-01-01,98.97
1997-02-01,97.73
1997-03-01,99.75
1997-04-01,97.87
1997-05-01,100.07
1997-06-01,94.94
1997-07-01,91.66
1997-08-01,91.3
1997-09-01,92.51
1997-10-01,102.71
1997-11-01,102.27
1997-12-01,97.08
1998-01-01,95.77
1998-02-01,91.49
1998-03-01,93.04
1998-04-01,91.85
1998-05-01,93.01
1998-06-01,91.57
1998-07-01,85.2
1998-08-01,73.2
1998-09-01,73.12
1998-10-01,74.74
1998-11-01,79.26
1998-12-01,78.39
1999-01-01,77.71
1999-02-01,75.31
1999-03-01,75.2
1999-04-01,79.73
1999-05-01,81.53
1999-06-01,80.54
1999-07-01,76.86
1999-08-01,75.15
1999-09-01,71.44
1999-10-01,72.29
1999-11-01,73.14
1999-12-01,72.36
2000-01-01,73.13
2000-02-01,73.36
2000-03-01,74.4
2000-04-01,76.95
2000-05-01,78.26
2000-06-01,78.48
2000-07-01,78.68
2000-08-01,75.13
2000-09-01,73.21
2000-10-01,76.15
2000-11-01,82.46
2000-12-01,86.6
2001-01-01,85.75
2001-02-01,82.31
2001-03-01,83.07
2001-04-01,84.72
2001-05-01,89.73
2001-06-01,95.06
2001-07-01,101.98
2001-08-01,99.39
2001-09-01,99.61
2001-10-01,101.79
2001-11-01,100.97
2001-12-01,102.86
2002-01-01,99.27
2002-02-01,99.01
2002-03-01,98.95
2002-04-01,95.82
2002-05-01,97.55
2002-06-01,104.11
2002-07-01,114.23
2002-08-01,120.99
2002-09-01,119.75
2002-10-01,120.61
2002-11-01,120.13
2002-12-01,117.19
2003-01-01,113.7
2003-02-01,114.15
2003-03-01,113.65
2003-04-01,114.59
2003-05-01,115.5
2003-06-01,111.48
2003-07-01,96.62
2003-08-01,88.07
2003-09-01,90.63
2003-10-01,95.7
2003-11-01,101.75
2003-12-01,100.77
2004-01-01,98.55
2004-02-01,95.57
2004-03-01,103.03
2004-04-01,112.53
2004-05-01,111.56
2004-06-01,114.05
2004-07-01,103.97
2004-08-01,87.77
2004-09-01,85.37
2004-10-01,87.89
2004-11-01,95.53
2004-12-01,92.04
2005-01-01,90.71
2005-02-01,87.38
2005-03-01,94.17
2005-04-01,93.33
2005-05-01,88.89
2005-06-01,93.44
2005-07-01,96.81
2005-08-01,98
2005-09-01,97.89
2005-10-01,98.53
2005-11-01,98.76
2005-12-01,103.01
2006-01-01,103.6
2006-02-01,101.13
2006-03-01,100.38
2006-04-01,102.12
2006-05-01,107.48
2006-06-01,106.88
2006-07-01,112.1
2006-08-01,114.53
2006-09-01,115.44
2006-10-01,136.6
2006-11-01,148.15
2006-12-01,150.97
2007-01-01,152.13
2007-02-01,151.03
2007-03-01,157.06
2007-04-01,157.12
2007-05-01,161.69
2007-06-01,184.45
2007-07-01,177.91
2007-08-01,158.88
2007-09-01,184.66
2007-10-01,197.11
2007-11-01,187.61
2007-12-01,198.93
2008-01-01,205.61
2008-02-01,216.54
2008-03-01,228.66
2008-04-01,237.24
2008-05-01,238.31
2008-06-01,240.98
2008-07-01,248.31
2008-08-01,212.32
2008-09-01,189.43
2008-10-01,144
2008-11-01,130.16
2008-12-01,114.16
2009-01-01,121.61
2009-02-01,112.57
2009-03-01,114.94
2009-04-01,111.02
2009-05-01,129.39
2009-06-01,148.68
2009-07-01,139.96
2009-08-01,122.3
2009-09-01,103.53
2009-10-01,130.55
2009-11-01,155.26
2009-12-01,150.77
2010-01-01,146.6
2010-02-01,137.3
2010-03-01,147.06
2010-04-01,151.71
2010-05-01,142.95
2010-06-01,145.97
2010-07-01,156.36
2010-08-01,161.03
2010-09-01,168.2
2010-10-01,174.61
2010-11-01,179.12
2010-12-01,189.6
2011-01-01,195.12
2011-02-01,196.37
2011-03-01,202.53
2011-04-01,208.7
2011-05-01,208.72
2011-06-01,210.17
2011-07-01,215.46
2011-08-01,206.66
2011-09-01,210.63
2011-10-01,208.68
2011-11-01,211.37
2011-12-01,212.22
2012-01-01,210.47
2012-02-01,213.46
2012-03-01,222.68
2012-04-01,237.27
2012-05-01,236.98
2012-06-01,234.7
2012-07-01,242.53
2012-08-01,258.64
2012-09-01,254.68
2012-10-01,250.04
2012-11-01,249.06
2012-12-01,248.22
2013-01-01,236.96
2013-02-01,240.51
2013-03-01,240.78
2013-04-01,232.42
2013-05-01,231.43
2013-06-01,230.59
2013-07-01,222.12
2013-08-01,194.74
2013-09-01,174.82
2013-10-01,159.28
2013-11-01,156.34
2013-12-01,156.35
2014-01-01,162.55
2014-02-01,163.33
2014-03-01,162.15
2014-04-01,163.4
2014-05-01,173.89
2014-06-01,163.33
2014-07-01,141.68
2014-08-01,129.63
2014-09-01,127.2
2014-10-01,117.56
2014-11-01,121.55
2014-12-01,126.79
2015-01-01,133.05
2015-02-01,129.84
2015-03-01,133.84
2015-04-01,131.05
2015-05-01,128.8
2015-06-01,124.45
2015-07-01,134.65
2015-08-01,126.37
2015-09-01,122.72
