Date,DCOILWTICO,MaxDate,Max,MinDate,Min
2013-03-01,7.11,2013-03-28,97.24,2013-03-04,90.13
2013-04-01,-10.58,2013-04-02,97.23,2013-04-17,86.65
2013-05-01,5.55,2013-05-20,96.29,2013-05-01,90.74
2013-06-01,5.1,2013-06-18,98.46,2013-06-04,93.36
2013-07-01,10.06,2013-07-19,108,2013-07-01,97.94
2013-08-01,6.72,2013-08-28,110.17,2013-08-08,103.45
2013-09-01,-8.26,2013-09-06,110.62,2013-09-30,102.36
2013-10-01,-7.86,2013-10-02,104.15,2013-10-31,96.29
2013-11-01,-3.3,2013-11-21,95.35,2013-11-27,92.05
2013-12-01,6.33,2013-12-27,99.94,2013-12-02,93.61
2014-01-01,6.89,2014-01-30,98.25,2014-01-09,91.36
2014-02-01,7.02,2014-02-19,103.46,2014-02-03,96.44
2014-03-01,-7.05,2014-03-03,105.34,2014-03-12,98.29
2014-04-01,4.75,2014-04-21,104.35,2014-04-02,99.6
2014-05-01,5.32,2014-05-23,105.01,2014-05-01,99.69
2014-06-01,4.88,2014-06-20,107.95,2014-06-02,103.07
2014-07-01,-7.83,2014-07-01,106.06,2014-07-31,98.23
2014-08-01,-4.65,2014-08-04,98.26,2014-08-22,93.61
2014-09-01,-4.38,2014-09-26,95.55,2014-09-30,91.17
2014-10-01,-10.5,2014-10-02,91.02,2014-10-22,80.52
2014-11-01,-12.83,2014-11-03,78.77,2014-11-28,65.94
2014-12-01,-15.53,2014-12-01,68.98,2014-12-31,53.45
2015-01-01,-8.64,2015-01-02,52.72,2015-01-28,44.08
2015-02-01,-5.91,2015-02-17,53.56,2015-02-26,47.65
2015-03-01,-8.14,2015-03-04,51.53,2015-03-17,43.39
2015-04-01,10.49,2015-04-30,59.62,2015-04-02,49.13
2015-05-01,2.01,2015-05-06,60.93,2015-05-04,58.92
