Date,Agricultural Raw Materials Index、 2005 = 100、 includes Timber、 Cotton、 Wool、 Rubber、 and Hides Price Indices
1989-10-01,103.98
1989-11-01,101.32
1989-12-01,97.96
1990-01-01,102.18
1990-02-01,102.52
1990-03-01,104.24
1990-04-01,107.94
1990-05-01,106.85
1990-06-01,105.5
1990-07-01,105.62
1990-08-01,101.82
1990-09-01,98.97
1990-10-01,97.8
1990-11-01,96.65
1990-12-01,96.52
1991-01-01,94.1
1991-02-01,92.42
1991-03-01,91.63
1991-04-01,97.13
1991-05-01,99.27
1991-06-01,99.67
1991-07-01,96.89
1991-08-01,93.09
1991-09-01,92.02
1991-10-01,91.2
1991-11-01,90.22
1991-12-01,88.75
1992-01-01,87.01
1992-02-01,86.86
1992-03-01,88.13
1992-04-01,94.44
1992-05-01,95.54
1992-06-01,94.15
1992-07-01,94.42
1992-08-01,91.44
1992-09-01,93.53
1992-10-01,95.51
1992-11-01,95.36
1992-12-01,95.91
1993-01-01,95.64
1993-02-01,100.08
1993-03-01,102.46
1993-04-01,107.31
1993-05-01,111.33
1993-06-01,108.25
1993-07-01,109.44
1993-08-01,107.08
1993-09-01,106.7
1993-10-01,108.24
1993-11-01,106.44
1993-12-01,104.97
1994-01-01,104.92
1994-02-01,107.39
1994-03-01,109.02
1994-04-01,116.51
1994-05-01,117.85
1994-06-01,121.39
1994-07-01,119.62
1994-08-01,120.47
1994-09-01,120.38
1994-10-01,118.47
1994-11-01,119.02
1994-12-01,120.4
1995-01-01,120.88
1995-02-01,123.39
1995-03-01,129.73
1995-04-01,132.15
1995-05-01,130.63
1995-06-01,125.36
1995-07-01,118.36
1995-08-01,113.43
1995-09-01,113.71
1995-10-01,111.3
1995-11-01,112.75
1995-12-01,109.22
1996-01-01,108.9
1996-02-01,108.61
1996-03-01,111.24
1996-04-01,113.44
1996-05-01,116.6
1996-06-01,114.81
1996-07-01,116.52
1996-08-01,120.23
1996-09-01,122.94
1996-10-01,122.91
1996-11-01,118.05
1996-12-01,115.23
1997-01-01,116.62
1997-02-01,118.85
1997-03-01,120.72
1997-04-01,117.84
1997-05-01,115.93
1997-06-01,110.28
1997-07-01,109.83
1997-08-01,108.43
1997-09-01,107.67
1997-10-01,105.47
1997-11-01,107.25
1997-12-01,99.79
1998-01-01,90.61
1998-02-01,97.48
1998-03-01,99.18
1998-04-01,99.25
1998-05-01,99.44
1998-06-01,97.68
1998-07-01,94.16
1998-08-01,94.46
1998-09-01,92.49
1998-10-01,87.79
1998-11-01,87.5
1998-12-01,88.09
1999-01-01,89.95
1999-02-01,90.01
1999-03-01,92.18
1999-04-01,89.59
1999-05-01,90.76
1999-06-01,90.75
1999-07-01,90.84
1999-08-01,92.85
1999-09-01,97.12
1999-10-01,99.31
1999-11-01,98.21
1999-12-01,97.43
2000-01-01,95.77
2000-02-01,97.93
2000-03-01,100.14
2000-04-01,99.68
2000-05-01,101.12
2000-06-01,97.97
2000-07-01,97.73
2000-08-01,96.33
2000-09-01,100.12
2000-10-01,98.97
2000-11-01,100.12
2000-12-01,95.01
2001-01-01,99.23
2001-02-01,98.89
2001-03-01,99.78
2001-04-01,105.52
2001-05-01,104.82
2001-06-01,103.57
2001-07-01,96.83
2001-08-01,90.92
2001-09-01,87.67
2001-10-01,84.05
2001-11-01,86.05
2001-12-01,83.34
2002-01-01,83.16
2002-02-01,87.36
2002-03-01,89.78
2002-04-01,92.17
2002-05-01,92.57
2002-06-01,96.17
2002-07-01,97.81
2002-08-01,99.09
2002-09-01,102.43
2002-10-01,102.38
2002-11-01,100.05
2002-12-01,95.32
2003-01-01,95.89
2003-02-01,96.02
2003-03-01,94.17
2003-04-01,95.67
2003-05-01,90.74
2003-06-01,91.26
2003-07-01,93.02
2003-08-01,95.38
2003-09-01,97.19
2003-10-01,98.95
2003-11-01,99.16
2003-12-01,97.6
2004-01-01,100.16
2004-02-01,100.92
2004-03-01,99.37
2004-04-01,96.92
2004-05-01,99.86
2004-06-01,100.66
2004-07-01,100.93
2004-08-01,101.21
2004-09-01,100.21
2004-10-01,99.59
2004-11-01,97.48
2004-12-01,94.18
2005-01-01,97.9
2005-02-01,97.41
2005-03-01,101.49
2005-04-01,98.65
2005-05-01,99.25
2005-06-01,99.6
2005-07-01,99.42
2005-08-01,101.42
2005-09-01,101.54
2005-10-01,101.55
2005-11-01,101.1
2005-12-01,100.67
2006-01-01,102.09
2006-02-01,105.07
2006-03-01,105.04
2006-04-01,105.38
2006-05-01,109.4
2006-06-01,111.98
2006-07-01,111.42
2006-08-01,111.44
2006-09-01,109.43
2006-10-01,109.93
2006-11-01,110.03
2006-12-01,113.52
2007-01-01,116.1
2007-02-01,118.66
2007-03-01,116.7
2007-04-01,118.45
2007-05-01,118.7
2007-06-01,115.07
2007-07-01,110.39
2007-08-01,105.62
2007-09-01,112.27
2007-10-01,111.16
2007-11-01,113.67
2007-12-01,113.18
2008-01-01,115.25
2008-02-01,116.07
2008-03-01,117.44
2008-04-01,117.32
2008-05-01,118.39
2008-06-01,118.78
2008-07-01,121.76
2008-08-01,117.99
2008-09-01,116.17
2008-10-01,109.72
2008-11-01,104.19
2008-12-01,87.32
2009-01-01,89.66
2009-02-01,87.17
2009-03-01,81.45
2009-04-01,82.1
2009-05-01,85.45
2009-06-01,88.66
2009-07-01,93.14
2009-08-01,100.91
2009-09-01,100.32
2009-10-01,100.11
2009-11-01,107.18
2009-12-01,111.01
2010-01-01,112.6
2010-02-01,114.72
2010-03-01,117.59
2010-04-01,122.91
2010-05-01,121.68
2010-06-01,122.64
2010-07-01,120.88
2010-08-01,122.54
2010-09-01,125.43
2010-10-01,132.99
2010-11-01,140.7
2010-12-01,146.61
2011-01-01,155.78
2011-02-01,159.2
2011-03-01,169.8
2011-04-01,171.37
2011-05-01,161.31
2011-06-01,161.12
2011-07-01,158.56
2011-08-01,151.03
2011-09-01,149.32
2011-10-01,140.45
2011-11-01,134.54
2011-12-01,129.57
2012-01-01,131.86
2012-02-01,137.05
2012-03-01,137.83
2012-04-01,139.74
2012-05-01,137.7
2012-06-01,132.45
2012-07-01,132.06
2012-08-01,130.7
2012-09-01,132.84
2012-10-01,132.15
2012-11-01,131.33
2012-12-01,132.68
2013-01-01,133.68
2013-02-01,133.27
2013-03-01,132.48
2013-04-01,132.83
2013-05-01,137.04
2013-06-01,141.04
2013-07-01,136.59
2013-08-01,133.99
2013-09-01,134.45
2013-10-01,136.91
2013-11-01,139.8
2013-12-01,142.31
2014-01-01,139.2
2014-02-01,140.21
2014-03-01,144.65
2014-04-01,143.26
2014-05-01,142
2014-06-01,140.39
2014-07-01,139.77
2014-08-01,136.95
2014-09-01,136.42
2014-10-01,136.02
2014-11-01,134.71
2014-12-01,131.87
2015-01-01,130.28
2015-02-01,130.65
2015-03-01,127.81
2015-04-01,126.85
2015-05-01,125.93
2015-06-01,125.06
2015-07-01,118.07
2015-08-01,111.32
2015-09-01,111.45
