Date,Wool、 fine、 19 micron、 Australian Wool Exchange spot quote、 US cents per kilogram
1996-07-01,671.43
1996-08-01,751.65
1996-09-01,738.33
1996-10-01,681.61
1996-11-01,616.97
1996-12-01,632.94
1997-01-01,677.73
1997-02-01,730.96
1997-03-01,719.66
1997-04-01,764.21
1997-05-01,805
1997-06-01,829.35
1997-07-01,826.26
1997-08-01,765.93
1997-09-01,801.91
1997-10-01,769.16
1997-11-01,739.89
1997-12-01,688.07
1998-01-01,636.11
1998-02-01,631.72
1998-03-01,625.92
1998-04-01,627.82
1998-05-01,606.13
1998-06-01,595.3
1998-07-01,583.14
1998-08-01,500.19
1998-09-01,462.89
1998-10-01,417.47
1998-11-01,472.27
1998-12-01,474.81
1999-01-01,489.07
1999-02-01,493.14
1999-03-01,626.64
1999-04-01,680.43
1999-05-01,620.3
1999-06-01,676.74
1999-07-01,690.03
1999-08-01,631.04
1999-09-01,623.26
1999-10-01,619.83
1999-11-01,631.74
1999-12-01,648.77
2000-01-01,724.21
2000-02-01,727.09
2000-03-01,767.31
2000-04-01,801.42
2000-05-01,817.72
2000-06-01,764.33
2000-07-01,746.93
2000-08-01,717.29
2000-09-01,695.9
2000-10-01,688.38
2000-11-01,663.53
2000-12-01,688.39
2001-01-01,716.14
2001-02-01,733.28
2001-03-01,688.23
2001-04-01,760.63
2001-05-01,716.77
2001-06-01,683.81
2001-07-01,630.79
2001-08-01,617.91
2001-09-01,524.19
2001-10-01,441.98
2001-11-01,466.09
2001-12-01,501.44
2002-01-01,599.55
2002-02-01,621.99
2002-03-01,607.57
2002-04-01,614.56
2002-05-01,619.09
2002-06-01,603.14
2002-07-01,569.12
2002-08-01,575.72
2002-09-01,642.41
2002-10-01,748.18
2002-11-01,768.39
2002-12-01,763.16
2003-01-01,800.63
2003-02-01,778.49
2003-03-01,733.7
2003-04-01,740.17
2003-05-01,678.33
2003-06-01,697.09
2003-07-01,678.54
2003-08-01,670.87
2003-09-01,674.52
2003-10-01,664.39
2003-11-01,646.52
2003-12-01,661.25
2004-01-01,729.36
2004-02-01,721.52
2004-03-01,708.75
2004-04-01,706.12
2004-05-01,676.93
2004-06-01,708.15
2004-07-01,717.64
2004-08-01,714.35
2004-09-01,703.6
2004-10-01,718.96
2004-11-01,736.03
2004-12-01,717.96
2005-01-01,730.77
2005-02-01,734.66
2005-03-01,728.58
2005-04-01,729.18
2005-05-01,717.13
2005-06-01,684.6
2005-07-01,692.06
2005-08-01,668.84
2005-09-01,647.4
2005-10-01,622.57
2005-11-01,593.69
2005-12-01,583.24
2006-01-01,639.17
2006-02-01,709.73
2006-03-01,698.75
2006-04-01,697.7
2006-05-01,732.25
2006-06-01,714.49
2006-07-01,704.85
2006-08-01,717.56
2006-09-01,704.91
2006-10-01,690.74
2006-11-01,790.34
2006-12-01,790.69
2007-01-01,893.66
2007-02-01,875.62
2007-03-01,914.02
2007-04-01,940.37
2007-05-01,989.08
2007-06-01,987.73
2007-07-01,936.34
2007-08-01,914.11
2007-09-01,943.08
2007-10-01,1080.64
2007-11-01,1102.71
2007-12-01,1097.26
2008-01-01,1157.37
2008-02-01,1154.25
2008-03-01,1136
2008-04-01,1133.42
2008-05-01,1062.44
2008-06-01,1041.1
2008-07-01,1047.97
2008-08-01,941.71
2008-09-01,896.79
2008-10-01,734.91
2008-11-01,646.17
2008-12-01,666.39
2009-01-01,625.45
2009-02-01,586.26
2009-03-01,617.15
2009-04-01,686.86
2009-05-01,761.34
2009-06-01,741.73
2009-07-01,763.62
2009-08-01,822.57
2009-09-01,867.58
2009-10-01,944.85
2009-11-01,953.95
2009-12-01,970.08
2010-01-01,1001.54
2010-02-01,972.9
2010-03-01,1004.69
2010-04-01,992.28
2010-05-01,919.88
2010-06-01,919.52
2010-07-01,918.35
2010-08-01,935.59
2010-09-01,988.23
2010-10-01,1084.72
2010-11-01,1274.93
2010-12-01,1266.17
2011-01-01,1549.4
2011-02-01,1633.11
2011-03-01,1702.98
2011-04-01,1743.67
2011-05-01,1792.97
2011-06-01,1865.44
2011-07-01,1786.85
2011-08-01,1655.59
2011-09-01,1593.2
2011-10-01,1431.33
2011-11-01,1469.25
2011-12-01,1434.37
2012-01-01,1503.94
2012-02-01,1560.82
2012-03-01,1539.52
2012-04-01,1441.5
2012-05-01,1340.3
2012-06-01,1285.42
2012-07-01,1291.24
2012-08-01,1212.89
2012-09-01,1149.49
2012-10-01,1204.76
2012-11-01,1259.3
2012-12-01,1354.8
2013-01-01,1388.63
2013-02-01,1374.59
2013-03-01,1324.09
2013-04-01,1208.59
2013-05-01,1158.03
2013-06-01,1117.67
2013-07-01,1025.28
2013-08-01,1030.63
2013-09-01,1159.01
2013-10-01,1198.72
2013-11-01,1189.59
2013-12-01,1198.15
2014-01-01,1147.24
2014-02-01,1117.21
2014-03-01,1077.57
2014-04-01,1088.02
2014-05-01,1096.85
2014-06-01,1073.17
2014-07-01,1078.15
2014-08-01,1069.75
2014-09-01,1056.5
2014-10-01,1044.01
2014-11-01,1041.97
2014-12-01,1002.13
2015-01-01,967.03
2015-02-01,946.91
2015-03-01,929.45
2015-04-01,986.76
2015-05-01,1114.58
2015-06-01,1137.8
2015-07-01,1009.65
2015-08-01,1022.68
2015-09-01,966.74
