Date,Crude Oil (petroleum)、 simple average of three spot prices; Dated Brent、 West Texas Intermediate、 and the Dubai Fateh
2005-07-01,56.37
2005-08-01,61.87
2005-09-01,61.65
2005-10-01,58.19
2005-11-01,54.98
2005-12-01,56.47
2006-01-01,62.36
2006-02-01,59.71
2006-03-01,60.93
2006-04-01,68
2006-05-01,68.61
2006-06-01,68.29
2006-07-01,72.51
2006-08-01,71.81
2006-09-01,61.97
2006-10-01,57.95
2006-11-01,58.13
2006-12-01,61
2007-01-01,53.4
2007-02-01,57.58
2007-03-01,60.6
2007-04-01,65.1
2007-05-01,65.1
2007-06-01,68.19
2007-07-01,73.67
2007-08-01,70.13
2007-09-01,76.91
2007-10-01,82.15
2007-11-01,91.27
2007-12-01,89.43
2008-01-01,90.82
2008-02-01,93.75
2008-03-01,101.84
2008-04-01,109.05
2008-05-01,122.77
2008-06-01,131.52
2008-07-01,132.55
2008-08-01,114.57
2008-09-01,99.29
2008-10-01,72.69
2008-11-01,54.04
2008-12-01,41.53
2009-01-01,43.91
2009-02-01,41.76
2009-03-01,46.95
2009-04-01,50.28
2009-05-01,58.1
2009-06-01,69.13
2009-07-01,64.65
2009-08-01,71.63
2009-09-01,68.38
2009-10-01,74.08
2009-11-01,77.56
2009-12-01,74.88
2010-01-01,77.12
2010-02-01,74.72
2010-03-01,79.3
2010-04-01,84.14
2010-05-01,75.54
2010-06-01,74.73
2010-07-01,74.52
2010-08-01,75.88
2010-09-01,76.11
2010-10-01,81.72
2010-11-01,84.53
2010-12-01,90.07
2011-01-01,92.66
2011-02-01,97.73
2011-03-01,108.65
2011-04-01,116.32
2011-05-01,108.18
2011-06-01,105.85
2011-07-01,107.88
2011-08-01,100.45
2011-09-01,100.83
2011-10-01,99.92
2011-11-01,105.36
2011-12-01,104.26
2012-01-01,106.89
2012-02-01,112.7
2012-03-01,117.78
2012-04-01,113.75
2012-05-01,104.16
2012-06-01,90.73
2012-07-01,96.75
2012-08-01,105.28
2012-09-01,106.32
2012-10-01,103.39
2012-11-01,101.17
2012-12-01,101.17
2013-01-01,105.04
2013-02-01,107.65
2013-03-01,102.61
2013-04-01,98.85
2013-05-01,99.35
2013-06-01,99.74
2013-07-01,105.21
2013-08-01,108.06
2013-09-01,108.78
2013-10-01,105.46
2013-11-01,102.58
2013-12-01,105.49
2014-01-01,102.25
2014-02-01,104.82
2014-03-01,104.04
2014-04-01,104.94
2014-05-01,105.73
2014-06-01,108.37
2014-07-01,105.22
2014-08-01,100.05
2014-09-01,95.89
2014-10-01,86.13
2014-11-01,76.95
2014-12-01,60.55
2015-01-01,47.45
2015-02-01,54.93
2015-03-01,52.83
2015-04-01,57.42
2015-05-01,62.5
2015-06-01,61.3
2015-07-01,54.43
2015-08-01,45.72
2015-09-01,46.29
