Date,Hides、 Heavy native steers、 over 53 pounds、 wholesale dealer's price、 US、 Chicago、 fob Shipping Point、 US cents per pound
2000-01-01,76.28
2000-02-01,75.88
2000-03-01,77.89
2000-04-01,78.67
2000-05-01,79.24
2000-06-01,75.06
2000-07-01,77.52
2000-08-01,81.61
2000-09-01,85.44
2000-10-01,85.41
2000-11-01,84.43
2000-12-01,85.25
2001-01-01,85.32
2001-02-01,84.49
2001-03-01,93.27
2001-04-01,101.32
2001-05-01,102.29
2001-06-01,97.53
2001-07-01,87.89
2001-08-01,76.94
2001-09-01,73.06
2001-10-01,70.88
2001-11-01,72.88
2001-12-01,69.34
2002-01-01,68.35
2002-02-01,72.24
2002-03-01,80.3
2002-04-01,83.69
2002-05-01,84.14
2002-06-01,86.98
2002-07-01,84.39
2002-08-01,85.63
2002-09-01,85.74
2002-10-01,85.7
2002-11-01,81.21
2002-12-01,70.62
2003-01-01,69.8
2003-02-01,70.93
2003-03-01,70.11
2003-04-01,67.97
2003-05-01,63.55
2003-06-01,61.28
2003-07-01,63.84
2003-08-01,68.52
2003-09-01,71.15
2003-10-01,70.5
2003-11-01,70.75
2003-12-01,71.23
2004-01-01,72.44
2004-02-01,69.54
2004-03-01,67.28
2004-04-01,63.66
2004-05-01,62.94
2004-06-01,65.1
2004-07-01,67.66
2004-08-01,68.87
2004-09-01,68.2
2004-10-01,67.22
2004-11-01,66.5
2004-12-01,66.09
2005-01-01,65.84
2005-02-01,66.01
2005-03-01,65.83
2005-04-01,64.6
2005-05-01,64.5
2005-06-01,65.6
2005-07-01,66.26
2005-08-01,66.22
2005-09-01,65.68
2005-10-01,65.33
2005-11-01,65.9
2005-12-01,65.91
2006-01-01,65.6
2006-02-01,66.1
2006-03-01,66.86
2006-04-01,67.59
2006-05-01,69.04
2006-06-01,69.45
2006-07-01,68.79
2006-08-01,68.96
2006-09-01,69.81
2006-10-01,69.68
2006-11-01,71.58
2006-12-01,73.71
2007-01-01,75.88
2007-02-01,77.7
2007-03-01,77.65
2007-04-01,77.87
2007-05-01,76.81
2007-06-01,73.25
2007-07-01,67.67
2007-08-01,67.09
2007-09-01,68.27
2007-10-01,66.76
2007-11-01,68.3
2007-12-01,68.4
2008-01-01,65.47
2008-02-01,65.35
2008-03-01,65.83
2008-04-01,67.36
2008-05-01,67.26
2008-06-01,67.43
2008-07-01,68.15
2008-08-01,68.95
2008-09-01,68.22
2008-10-01,68.15
2008-11-01,61.53
2008-12-01,35.6
2009-01-01,38.06
2009-02-01,34.79
2009-03-01,28.59
2009-04-01,28.98
2009-05-01,30.47
2009-06-01,37.38
2009-07-01,48.31
2009-08-01,57.85
2009-09-01,55.33
2009-10-01,53.59
2009-11-01,61.63
2009-12-01,63.47
2010-01-01,65.35
2010-02-01,67.63
2010-03-01,69.26
2010-04-01,72.12
2010-05-01,72.2
2010-06-01,73.67
2010-07-01,73.74
2010-08-01,72.14
2010-09-01,71.86
2010-10-01,73.68
2010-11-01,75.24
2010-12-01,76.57
2011-01-01,78.45
2011-02-01,69.83
2011-03-01,88
2011-04-01,88
2011-05-01,88
2011-06-01,88
2011-07-01,87.5
2011-08-01,85.11
2011-09-01,85
2011-10-01,78.13
2011-11-01,76.5
2011-12-01,72
2012-01-01,73
2012-02-01,76.71
2012-03-01,82.25
2012-04-01,84
2012-05-01,84
2012-06-01,84
2012-07-01,84
2012-08-01,86
2012-09-01,86
2012-10-01,86
2012-11-01,86
2012-12-01,86
2013-01-01,86
2013-02-01,86
2013-03-01,86
2013-04-01,88
2013-05-01,92.36
2013-06-01,101
2013-07-01,99.4
2013-08-01,95.33
2013-09-01,93.08
2013-10-01,98.88
2013-11-01,105.25
2013-12-01,105.25
2014-01-01,104.7
2014-02-01,107
2014-03-01,111
2014-04-01,112.25
2014-05-01,109
2014-06-01,108.13
2014-07-01,108
2014-08-01,109.9
2014-09-01,114.63
2014-10-01,114.4
2014-11-01,114.5
2014-12-01,109.11
2015-01-01,106.78
2015-02-01,106.06
2015-03-01,104.5
2015-04-01,100.33
2015-05-01,96
2015-06-01,94
2015-07-01,82.5
2015-08-01,71
2015-09-01,74.8
