Date,Crude Oil (petroleum)、 Price index、 2005 = 100、 simple average of three spot prices; Dated Brent、 West Texas Intermediate、 and the Dubai Fateh
1991-07-01,35.53
1991-08-01,36.06
1991-09-01,37.31
1991-10-01,40.34
1991-11-01,38.16
1991-12-01,32.95
1992-01-01,32.77
1992-02-01,33
1992-03-01,32.49
1992-04-01,34.91
1992-05-01,36.55
1992-06-01,39.1
1992-07-01,37.8
1992-08-01,36.74
1992-09-01,37.81
1992-10-01,37.52
1992-11-01,35.39
1992-12-01,33.57
1993-01-01,32.25
1993-02-01,34.1
1993-03-01,34.62
1993-04-01,34.5
1993-05-01,34
1993-06-01,32.49
1993-07-01,30.63
1993-08-01,30.74
1993-09-01,29.55
1993-10-01,30.75
1993-11-01,28.22
1993-12-01,25.02
1994-01-01,26.56
1994-02-01,25.77
1994-03-01,25.64
1994-04-01,28.38
1994-05-01,30.78
1994-06-01,32.27
1994-07-01,33.81
1994-08-01,31.81
1994-09-01,30.23
1994-10-01,30.88
1994-11-01,32.26
1994-12-01,30.26
1995-01-01,31.67
1995-02-01,32.72
1995-03-01,32.55
1995-04-01,35.19
1995-05-01,34.55
1995-06-01,32.5
1995-07-01,30.1
1995-08-01,30.9
1995-09-01,31.42
1995-10-01,30.32
1995-11-01,31.51
1995-12-01,33.62
1996-01-01,33.34
1996-02-01,33.11
1996-03-01,36.4
1996-04-01,38.82
1996-05-01,35.76
1996-06-01,34.76
1996-07-01,36.63
1996-08-01,37.83
1996-09-01,41.47
1996-10-01,43.92
1996-11-01,41.73
1996-12-01,44.05
1997-01-01,43.63
1997-02-01,38.45
1997-03-01,36.4
1997-04-01,33.7
1997-05-01,36.52
1997-06-01,33.82
1997-07-01,34.59
1997-08-01,35.25
1997-09-01,35.13
1997-10-01,37.74
1997-11-01,35.96
1997-12-01,32.33
1998-01-01,28.18
1998-02-01,26.52
1998-03-01,24.74
1998-04-01,25.02
1998-05-01,26.17
1998-06-01,23.39
1998-07-01,23.84
1998-08-01,23.44
1998-09-01,25.88
1998-10-01,24.89
1998-11-01,22.31
1998-12-01,19.54
1999-01-01,21.22
1999-02-01,20.14
1999-03-01,24.09
1999-04-01,29.49
1999-05-01,30.22
1999-06-01,30.45
1999-07-01,35.17
1999-08-01,37.92
1999-09-01,41.98
1999-10-01,41.66
1999-11-01,45.46
1999-12-01,46.91
2000-01-01,47.23
2000-02-01,50.85
2000-03-01,51.48
2000-04-01,43.95
2000-05-01,51.06
2000-06-01,55.5
2000-07-01,52.78
2000-08-01,55.12
2000-09-01,60.14
2000-10-01,58.93
2000-11-01,60.6
2000-12-01,47.27
2001-01-01,48.51
2001-02-01,51.01
2001-03-01,46.9
2001-04-01,48.11
2001-05-01,51.65
2001-06-01,50.6
2001-07-01,46.52
2001-08-01,48.4
2001-09-01,46.98
2001-10-01,38.88
2001-11-01,35.04
2001-12-01,34.74
2002-01-01,35.95
2002-02-01,37.47
2002-03-01,44.39
2002-04-01,47.74
2002-05-01,48.2
2002-06-01,45.99
2002-07-01,48.32
2002-08-01,50.22
2002-09-01,53.05
2002-10-01,51.64
2002-11-01,46.49
2002-12-01,52.27
2003-01-01,57.64
2003-02-01,61.6
2003-03-01,56.83
2003-04-01,47.75
2003-05-01,48.85
2003-06-01,52.26
2003-07-01,53.59
2003-08-01,55.63
2003-09-01,50.42
2003-10-01,54.41
2003-11-01,54.61
2003-12-01,56.14
2004-01-01,58.74
2004-02-01,58.65
2004-03-01,63.02
2004-04-01,63.16
2004-05-01,70.37
2004-06-01,66.64
2004-07-01,70.96
2004-08-01,78.83
2004-09-01,77.73
2004-10-01,87.38
2004-11-01,78.61
2004-12-01,73.02
2005-01-01,80.38
2005-02-01,83.2
2005-03-01,95.37
2005-04-01,94.94
2005-05-01,89.71
2005-06-01,101.1
2005-07-01,105.71
2005-08-01,115.97
2005-09-01,115.58
2005-10-01,109.02
2005-11-01,103.18
2005-12-01,105.83
2006-01-01,117.1
2006-02-01,112.09
2006-03-01,114.32
2006-04-01,127.6
2006-05-01,128.85
2006-06-01,128.15
2006-07-01,135.97
2006-08-01,134.81
2006-09-01,116.62
2006-10-01,108.78
2006-11-01,109.22
2006-12-01,114.52
2007-01-01,100.52
2007-02-01,108.08
2007-03-01,113.85
2007-04-01,122.28
2007-05-01,122.52
2007-06-01,128.08
2007-07-01,138.12
2007-08-01,131.63
2007-09-01,144.05
2007-10-01,153.84
2007-11-01,171.38
2007-12-01,168.05
2008-01-01,170.25
2008-02-01,175.34
2008-03-01,191.1
2008-04-01,204.24
2008-05-01,230.52
2008-06-01,247.01
2008-07-01,249.66
2008-08-01,215.3
2008-09-01,187.06
2008-10-01,136.34
2008-11-01,101.24
2008-12-01,77.71
2009-01-01,82.58
2009-02-01,78.83
2009-03-01,87.89
2009-04-01,94.55
2009-05-01,109.28
2009-06-01,129.99
2009-07-01,121.64
2009-08-01,134.68
2009-09-01,128.47
2009-10-01,139.21
2009-11-01,145.82
2009-12-01,140.86
2010-01-01,144.95
2010-02-01,140.4
2010-03-01,148.94
2010-04-01,158.13
2010-05-01,142.15
2010-06-01,140.45
2010-07-01,139.96
2010-08-01,142.57
2010-09-01,143.08
2010-10-01,153.57
2010-11-01,158.91
2010-12-01,169.33
2011-01-01,174.28
2011-02-01,184.1
2011-03-01,204.42
2011-04-01,218.82
2011-05-01,203.62
2011-06-01,199.35
2011-07-01,203.23
2011-08-01,189.5
2011-09-01,190.27
2011-10-01,188.44
2011-11-01,198.51
2011-12-01,196.31
2012-01-01,201.32
2012-02-01,212.38
2012-03-01,222.03
2012-04-01,214.36
2012-05-01,196.28
2012-06-01,171.02
2012-07-01,182.28
2012-08-01,198.42
2012-09-01,200.48
2012-10-01,195.06
2012-11-01,190.93
2012-12-01,190.81
2013-01-01,197.91
2013-02-01,202.94
2013-03-01,193.35
2013-04-01,186.21
2013-05-01,186.98
2013-06-01,187.68
2013-07-01,197.73
2013-08-01,203.14
2013-09-01,204.58
2013-10-01,198.47
2013-11-01,193.3
2013-12-01,198.69
2014-01-01,192.56
2014-02-01,197.2
2014-03-01,195.72
2014-04-01,197.39
2014-05-01,198.88
2014-06-01,203.83
2014-07-01,197.94
2014-08-01,188.34
2014-09-01,180.44
2014-10-01,162.03
2014-11-01,144.72
2014-12-01,113.88
2015-01-01,89.15
2015-02-01,103.47
2015-03-01,99.58
2015-04-01,108.12
2015-05-01,117.67
2015-06-01,115.34
2015-07-01,102.54
2015-08-01,86.14
2015-09-01,87.05
