Date,Non-Fuel Price Index、 2005 = 100、 includes Food and Beverages and Industrial Inputs Price Indices
2012-01-01,169.11
2012-02-01,174.04
2012-03-01,175.88
2012-04-01,175.14
2012-05-01,169.6
2012-06-01,165.66
2012-07-01,172.29
2012-08-01,169.52
2012-09-01,170.52
2012-10-01,169.59
2012-11-01,168.26
2012-12-01,172.24
2013-01-01,175.96
2013-02-01,176.92
2013-03-01,171.93
2013-04-01,169.72
2013-05-01,170.67
2013-06-01,169.43
2013-07-01,168.65
2013-08-01,166.69
2013-09-01,162.78
2013-10-01,164.25
2013-11-01,163.82
2013-12-01,167.11
2014-01-01,164.97
2014-02-01,166.79
2014-03-01,169.77
2014-04-01,171.82
2014-05-01,168.63
2014-06-01,164.56
2014-07-01,165.02
2014-08-01,161.85
2014-09-01,155.78
2014-10-01,153.69
2014-11-01,153.82
2014-12-01,150.64
2015-01-01,145.72
2015-02-01,142.4
2015-03-01,138.92
2015-04-01,137.98
2015-05-01,139.18
2015-06-01,137.42
2015-07-01,134.28
2015-08-01,129.42
2015-09-01,127.03
