Date,Beverage Price Index、 2005 = 100、 includes Coffee、 Tea、 and Cocoa
1989-08-01,83.94
1989-09-01,83.08
1989-10-01,79.84
1989-11-01,77.19
1989-12-01,77.75
1990-01-01,78.56
1990-02-01,78.53
1990-03-01,84.44
1990-04-01,89.38
1990-05-01,90.17
1990-06-01,85.21
1990-07-01,85.44
1990-08-01,86.08
1990-09-01,89.73
1990-10-01,90.2
1990-11-01,89.74
1990-12-01,89.17
1991-01-01,87.1
1991-02-01,84.19
1991-03-01,83.92
1991-04-01,81.81
1991-05-01,76.69
1991-06-01,74.53
1991-07-01,71.71
1991-08-01,75.53
1991-09-01,81.72
1991-10-01,81.14
1991-11-01,83.29
1991-12-01,83.63
1992-01-01,78.67
1992-02-01,72.21
1992-03-01,71.44
1992-04-01,70.02
1992-05-01,67.66
1992-06-01,65.44
1992-07-01,69.55
1992-08-01,71.21
1992-09-01,70.57
1992-10-01,71.21
1992-11-01,74.18
1992-12-01,79.15
1993-01-01,75.92
1993-02-01,71.94
1993-03-01,68.99
1993-04-01,66.89
1993-05-01,67.87
1993-06-01,66.44
1993-07-01,72.52
1993-08-01,77.5
1993-09-01,84.91
1993-10-01,84.43
1993-11-01,85.47
1993-12-01,87.57
1994-01-01,82.28
1994-02-01,83.78
1994-03-01,88.92
1994-04-01,90.35
1994-05-01,109.52
1994-06-01,123.34
1994-07-01,160.76
1994-08-01,155.08
1994-09-01,167.11
1994-10-01,155.68
1994-11-01,145.12
1994-12-01,132.13
1995-01-01,135.16
1995-02-01,136.47
1995-03-01,142.32
1995-04-01,139.67
1995-05-01,136.84
1995-06-01,126.86
1995-07-01,119.87
1995-08-01,126.93
1995-09-01,117.61
1995-10-01,116.17
1995-11-01,115.92
1995-12-01,104.17
1996-01-01,103.53
1996-02-01,110.63
1996-03-01,105.36
1996-04-01,109.07
1996-05-01,112.87
1996-06-01,110.82
1996-07-01,104.24
1996-08-01,106.26
1996-09-01,103.22
1996-10-01,104
1996-11-01,103.08
1996-12-01,100.28
1997-01-01,104.42
1997-02-01,115.49
1997-03-01,128.91
1997-04-01,133.9
1997-05-01,155.94
1997-06-01,142.21
1997-07-01,133.47
1997-08-01,131.57
1997-09-01,133.58
1997-10-01,127.24
1997-11-01,125.59
1997-12-01,133.95
1998-01-01,136.8
1998-02-01,137.14
1998-03-01,128.24
1998-04-01,126.13
1998-05-01,121.76
1998-06-01,116.46
1998-07-01,112.79
1998-08-01,114.99
1998-09-01,111.39
1998-10-01,108.9
1998-11-01,109.64
1998-12-01,108.82
1999-01-01,106.97
1999-02-01,102.51
1999-03-01,99
1999-04-01,93.94
1999-05-01,92.16
1999-06-01,91.71
1999-07-01,85.66
1999-08-01,82.92
1999-09-01,83.71
1999-10-01,88.27
1999-11-01,93.05
1999-12-01,92.49
2000-01-01,84.54
2000-02-01,80.36
2000-03-01,81.55
2000-04-01,78.92
2000-05-01,78.83
2000-06-01,76.47
2000-07-01,76.96
2000-08-01,72.25
2000-09-01,72.44
2000-10-01,71.08
2000-11-01,68.51
2000-12-01,66.28
2001-01-01,68.11
2001-02-01,72.44
2001-03-01,70.68
2001-04-01,67.91
2001-05-01,67.78
2001-06-01,63.45
2001-07-01,61.72
2001-08-01,63.2
2001-09-01,61.36
2001-10-01,60.65
2001-11-01,63.94
2001-12-01,66.29
2002-01-01,68.3
2002-02-01,71.93
2002-03-01,79.48
2002-04-01,78.24
2002-05-01,75.33
2002-06-01,76
2002-07-01,81.16
2002-08-01,83.28
2002-09-01,92.05
2002-10-01,94.02
2002-11-01,87.96
2002-12-01,91.26
2003-01-01,96.85
2003-02-01,99.02
2003-03-01,90.4
2003-04-01,89.79
2003-05-01,84.71
2003-06-01,79.8
2003-07-01,80.5
2003-08-01,80.54
2003-09-01,82.99
2003-10-01,78.69
2003-11-01,78.86
2003-12-01,83.69
2004-01-01,86.47
2004-02-01,84.99
2004-03-01,82.89
2004-04-01,79.22
2004-05-01,79.65
2004-06-01,82.1
2004-07-01,82.8
2004-08-01,86.99
2004-09-01,87.09
2004-10-01,81.48
2004-11-01,88.43
2004-12-01,94.27
2005-01-01,95.27
2005-02-01,106.45
2005-03-01,111.5
2005-04-01,102.83
2005-05-01,102.72
2005-06-01,104.95
2005-07-01,98.37
2005-08-01,97.36
2005-09-01,94.36
2005-10-01,94.51
2005-11-01,94.64
2005-12-01,97.05
2006-01-01,108.25
2006-02-01,109.65
2006-03-01,105.75
2006-04-01,104.93
2006-05-01,104.6
2006-06-01,104.05
2006-07-01,108.56
2006-08-01,110.62
2006-09-01,108.2
2006-10-01,106.8
2006-11-01,111.64
2006-12-01,117.48
2007-01-01,117.71
2007-02-01,117.19
2007-03-01,117.07
2007-04-01,119.27
2007-05-01,119.54
2007-06-01,124.82
2007-07-01,127.97
2007-08-01,121.98
2007-09-01,127.35
2007-10-01,129.13
2007-11-01,126.47
2007-12-01,131.19
2008-01-01,138.97
2008-02-01,159.23
2008-03-01,159.96
2008-04-01,154.51
2008-05-01,156.16
2008-06-01,167.33
2008-07-01,167.22
2008-08-01,165.55
2008-09-01,158.98
2008-10-01,135.24
2008-11-01,128.33
2008-12-01,132.54
2009-01-01,143.01
2009-02-01,143.59
2009-03-01,137.57
2009-04-01,141.23
2009-05-01,145.87
2009-06-01,148.02
2009-07-01,152.22
2009-08-01,157.65
2009-09-01,166.09
2009-10-01,170.7
2009-11-01,170.43
2009-12-01,176.7
2010-01-01,173.97
2010-02-01,167.48
2010-03-01,164.3
2010-04-01,169.63
2010-05-01,167
2010-06-01,173.92
2010-07-01,179.12
2010-08-01,181.08
2010-09-01,179.75
2010-10-01,180.71
2010-11-01,185.24
2010-12-01,192.58
2011-01-01,205.72
2011-02-01,221.05
2011-03-01,221.99
2011-04-01,216.63
2011-05-01,214.91
2011-06-01,208.74
2011-07-01,209.96
2011-08-01,209.55
2011-09-01,204.16
2011-10-01,189.95
2011-11-01,186.39
2011-12-01,177.49
2012-01-01,178.25
2012-02-01,176.3
2012-03-01,171.01
2012-04-01,165.98
2012-05-01,161.87
2012-06-01,160.38
2012-07-01,168.18
2012-08-01,168.69
2012-09-01,171.9
2012-10-01,166.67
2012-11-01,161.71
2012-12-01,157.51
2013-01-01,155.01
2013-02-01,151.73
2013-03-01,149.92
2013-04-01,149.36
2013-05-01,150.05
2013-06-01,141.46
2013-07-01,143.51
2013-08-01,145.84
2013-09-01,144.64
2013-10-01,144.6
2013-11-01,143.19
2013-12-01,149.86
2014-01-01,151.29
2014-02-01,169.4
2014-03-01,182.98
2014-04-01,184.58
2014-05-01,179.99
2014-06-01,178.33
2014-07-01,180.25
2014-08-01,185.7
2014-09-01,183.83
2014-10-01,187.78
2014-11-01,177.73
2014-12-01,174.37
2015-01-01,172.65
2015-02-01,173.34
2015-03-01,165.14
2015-04-01,165.17
2015-05-01,169.15
2015-06-01,176.93
2015-07-01,179.42
2015-08-01,175.3
2015-09-01,172.94
