Date,Tea、 Mombasa、 Kenya、 Auction Price、 US cents per kilogram、 From July 1998、Kenya auctions、 Best Pekoe Fannings. Prior、 London auctions、 c.i.f. U.K. warehouses
1993-09-01,180.02
1993-10-01,196.49
1993-11-01,182.2
1993-12-01,186.3
1994-01-01,164.45
1994-02-01,173.63
1994-03-01,186.5
1994-04-01,186.31
1994-05-01,183.96
1994-06-01,196.7
1994-07-01,181.78
1994-08-01,183.82
1994-09-01,201.2
1994-10-01,190.79
1994-11-01,178.32
1994-12-01,172.36
1995-01-01,163.56
1995-02-01,169.04
1995-03-01,172.09
1995-04-01,167.97
1995-05-01,164.39
1995-06-01,145.5
1995-07-01,143.37
1995-08-01,150.37
1995-09-01,163.39
1995-10-01,176.91
1995-11-01,173.62
1995-12-01,179.66
1996-01-01,174.42
1996-02-01,177.03
1996-03-01,168.66
1996-04-01,172.37
1996-05-01,176.12
1996-06-01,171.24
1996-07-01,160.17
1996-08-01,167.97
1996-09-01,187.38
1996-10-01,183.51
1996-11-01,189.37
1996-12-01,197.74
1997-01-01,189.36
1997-02-01,193.57
1997-03-01,213.18
1997-04-01,240.29
1997-05-01,252.76
1997-06-01,224.81
1997-07-01,244.77
1997-08-01,257.76
1997-09-01,247.53
1997-10-01,252.51
1997-11-01,264.69
1997-12-01,265.05
1998-01-01,317.37
1998-02-01,329.13
1998-03-01,261.48
1998-04-01,234.06
1998-05-01,190.3
1998-06-01,218.15
1998-07-01,226.2
1998-08-01,237.75
1998-09-01,225.25
1998-10-01,209.8
1998-11-01,206.75
1998-12-01,206.5
1999-01-01,225
1999-02-01,225.25
1999-03-01,231.75
1999-04-01,236.75
1999-05-01,222
1999-06-01,207.25
1999-07-01,205.6
1999-08-01,209
1999-09-01,239
1999-10-01,280
1999-11-01,278
1999-12-01,228.68
2000-01-01,228
2000-02-01,234.25
2000-03-01,253.08
2000-04-01,249.4
2000-05-01,252
2000-06-01,240.64
2000-07-01,247
2000-08-01,261.35
2000-09-01,262.43
2000-10-01,253
2000-11-01,250.82
2000-12-01,245.43
2001-01-01,236.09
2001-02-01,230
2001-03-01,224.82
2001-04-01,212.35
2001-05-01,195.57
2001-06-01,191
2001-07-01,196.09
2001-08-01,197.74
2001-09-01,190.9
2001-10-01,177.26
2001-11-01,162.09
2001-12-01,163.57
2002-01-01,172.91
2002-02-01,169.9
2002-03-01,195.19
2002-04-01,185.64
2002-05-01,164.09
2002-06-01,168.5
2002-07-01,175.43
2002-08-01,181.86
2002-09-01,193.43
2002-10-01,181.09
2002-11-01,178.48
2002-12-01,183.73
2003-01-01,182.39
2003-02-01,192.25
2003-03-01,192.19
2003-04-01,188.5
2003-05-01,182.09
2003-06-01,196.95
2003-07-01,204.48
2003-08-01,191.95
2003-09-01,195.41
2003-10-01,200.48
2003-11-01,200
2003-12-01,205.22
2004-01-01,202.82
2004-02-01,198.1
2004-03-01,191.78
2004-04-01,177.95
2004-05-01,186.62
2004-06-01,186.59
2004-07-01,190.73
2004-08-01,206.45
2004-09-01,240.73
2004-10-01,201.76
2004-11-01,192.5
2004-12-01,201.78
2005-01-01,236.67
2005-02-01,258.1
2005-03-01,241.52
2005-04-01,190.71
2005-05-01,200.32
2005-06-01,223.41
2005-07-01,201.38
2005-08-01,211.83
2005-09-01,224.41
2005-10-01,211.57
2005-11-01,194.77
2005-12-01,201.86
2006-01-01,225
2006-02-01,278.9
2006-03-01,259.74
2006-04-01,230.45
2006-05-01,238.26
2006-06-01,250.14
2006-07-01,263.81
2006-08-01,247.22
2006-09-01,229.81
2006-10-01,224.27
2006-11-01,213.23
2006-12-01,239.57
2007-01-01,249.7
2007-02-01,212.5
2007-03-01,203.27
2007-04-01,192.05
2007-05-01,190.04
2007-06-01,202.05
2007-07-01,211.91
2007-08-01,210.39
2007-09-01,231.25
2007-10-01,224.3
2007-11-01,209.64
2007-12-01,206.05
2008-01-01,229.7
2008-02-01,264.67
2008-03-01,246.29
2008-04-01,260.91
2008-05-01,265.14
2008-06-01,284.52
2008-07-01,287.48
2008-08-01,321.9
2008-09-01,321.59
2008-10-01,282.39
2008-11-01,241
2008-12-01,228.48
2009-01-01,261.59
2009-02-01,270
2009-03-01,262.86
2009-04-01,277.41
2009-05-01,288
2009-06-01,287.14
2009-07-01,337.65
2009-08-01,328.38
2009-09-01,374.41
2009-10-01,344.77
2009-11-01,361.05
2009-12-01,374.22
2010-01-01,338.67
2010-02-01,332.35
2010-03-01,332.61
2010-04-01,313.59
2010-05-01,286.14
2010-06-01,262.36
2010-07-01,259.18
2010-08-01,315.09
2010-09-01,337.18
2010-10-01,339.86
2010-11-01,331.68
2010-12-01,352.13
2011-01-01,368.1
2011-02-01,349.75
2011-03-01,330.65
2011-04-01,325.33
2011-05-01,327.68
2011-06-01,334.05
2011-07-01,356.14
2011-08-01,358.17
2011-09-01,362.27
2011-10-01,357.14
2011-11-01,351.27
2011-12-01,333.36
2012-01-01,337.27
2012-02-01,341
2012-03-01,341
2012-04-01,341
2012-05-01,341
2012-06-01,341
2012-07-01,345.59
2012-08-01,353.18
2012-09-01,358.23
2012-10-01,368.16
2012-11-01,368.11
2012-12-01,351.44
2013-01-01,338.87
2013-02-01,320.9
2013-03-01,297.4
2013-04-01,266.31
2013-05-01,272.37
2013-06-01,258.71
2013-07-01,256.16
2013-08-01,248.04
2013-09-01,230.49
2013-10-01,221.72
2013-11-01,235.26
2013-12-01,245.69
2014-01-01,249
2014-02-01,256.98
2014-03-01,237.73
2014-04-01,223.41
2014-05-01,219.52
2014-06-01,223.7
2014-07-01,232.39
2014-08-01,235.78
2014-09-01,232.95
2014-10-01,256.19
2014-11-01,243.34
2014-12-01,243.31
2015-01-01,269.62
2015-02-01,296.35
2015-03-01,307.56
2015-04-01,290.74
2015-05-01,313.81
2015-06-01,355.88
2015-07-01,403.03
2015-08-01,387.33
2015-09-01,371.21
