Date,Zinc、 high grade 98% pure、 US＄ per metric ton
1989-08-01,1726
1989-09-01,1626
1989-10-01,1583
1989-11-01,1435
1989-12-01,1450
1990-01-01,1294
1990-02-01,1394
1990-03-01,1666
1990-04-01,1686
1990-05-01,1775
1990-06-01,1715
1990-07-01,1637
1990-08-01,1615
1990-09-01,1537
1990-10-01,1353
1990-11-01,1278
1990-12-01,1265
1991-01-01,1206
1991-02-01,1188
1991-03-01,1199
1991-04-01,1254
1991-05-01,1127.74
1991-06-01,1067.45
1991-07-01,1063.41
1991-08-01,1047.74
1991-09-01,1025.6
1991-10-01,991.65
1991-11-01,1100.65
1991-12-01,1185.08
1992-01-01,1157.66
1992-02-01,1135.48
1992-03-01,1217.77
1992-04-01,1304.95
1992-05-01,1377.74
1992-06-01,1385.41
1992-07-01,1320.41
1992-08-01,1363.4
1992-09-01,1367.12
1992-10-01,1158.36
1992-11-01,1052.24
1992-12-01,1061.48
1993-01-01,1067.57
1993-02-01,1073.63
1993-03-01,996.76
1993-04-01,1006
1993-05-01,979.26
1993-06-01,928.23
1993-07-01,930.07
1993-08-01,886.83
1993-09-01,875.73
1993-10-01,918.57
1993-11-01,929.39
1993-12-01,975.53
1994-01-01,998.6
1994-02-01,969.75
1994-03-01,937.61
1994-04-01,924.34
1994-05-01,956.71
1994-06-01,966
1994-07-01,962.64
1994-08-01,946.91
1994-09-01,993.55
1994-10-01,1059.55
1994-11-01,1150.27
1994-12-01,1112.75
1995-01-01,1154.81
1995-02-01,1030.68
1995-03-01,1021.7
1995-04-01,1059.14
1995-05-01,1036.62
1995-06-01,1007.77
1995-07-01,1028.06
1995-08-01,1015.48
1995-09-01,988.03
1995-10-01,980.43
1995-11-01,1033.19
1995-12-01,1017.16
1996-01-01,1019.69
1996-02-01,1035.83
1996-03-01,1063.25
1996-04-01,1043.95
1996-05-01,1036.55
1996-06-01,1009.4
1996-07-01,1000.52
1996-08-01,1007.95
1996-09-01,998.98
1996-10-01,1002.72
1996-11-01,1044.31
1996-12-01,1036.55
1997-01-01,1086.14
1997-02-01,1178.16
1997-03-01,1254.34
1997-04-01,1240.02
1997-05-01,1310.13
1997-06-01,1354.98
1997-07-01,1517.02
1997-08-01,1650.63
1997-09-01,1638.29
1997-10-01,1276.67
1997-11-01,1171.15
1997-12-01,1101.26
1998-01-01,1096.25
1998-02-01,1043.2
1998-03-01,1046.75
1998-04-01,1096.18
1998-05-01,1060.37
1998-06-01,1007.6
1998-07-01,1043.5
1998-08-01,1029.05
1998-09-01,999.64
1998-10-01,941.36
1998-11-01,965.95
1998-12-01,961.58
1999-01-01,931.75
1999-02-01,1017.6
1999-03-01,1028.8
1999-04-01,1018.17
1999-05-01,1039.92
1999-06-01,999.91
1999-07-01,1071.23
1999-08-01,1129.69
1999-09-01,1192.93
1999-10-01,1147.98
1999-11-01,1146.39
1999-12-01,1185.24
2000-01-01,1178.58
2000-02-01,1098.25
2000-03-01,1113
2000-04-01,1132.52
2000-05-01,1154.07
2000-06-01,1116.19
2000-07-01,1135.91
2000-08-01,1172.55
2000-09-01,1221.67
2000-10-01,1091.61
2000-11-01,1058.68
2000-12-01,1059.33
2001-01-01,1032.7
2001-02-01,1021.58
2001-03-01,1005.62
2001-04-01,970.14
2001-05-01,937.96
2001-06-01,896.93
2001-07-01,853.3
2001-08-01,830.03
2001-09-01,799.51
2001-10-01,761.74
2001-11-01,774.35
2001-12-01,757.97
2002-01-01,794.2
2002-02-01,773.47
2002-03-01,820
2002-04-01,807.58
2002-05-01,768.25
2002-06-01,769.42
2002-07-01,795.01
2002-08-01,748.81
2002-09-01,756.18
2002-10-01,755.09
2002-11-01,764.57
2002-12-01,794.26
2003-01-01,782.34
2003-02-01,785.66
2003-03-01,790.33
2003-04-01,756.75
2003-05-01,776.12
2003-06-01,790.66
2003-07-01,828.5
2003-08-01,815.2
2003-09-01,818.94
2003-10-01,900.1
2003-11-01,914.24
2003-12-01,976.76
2004-01-01,1015.89
2004-02-01,1085.79
2004-03-01,1101.8
2004-04-01,1028.91
2004-05-01,1030.98
2004-06-01,1018.86
2004-07-01,988.1
2004-08-01,976.8
2004-09-01,980.03
2004-10-01,1066.95
2004-11-01,1100.23
2004-12-01,1182.14
2005-01-01,1245.55
2005-02-01,1323.11
2005-03-01,1373.96
2005-04-01,1297.81
2005-05-01,1245.54
2005-06-01,1273.12
2005-07-01,1196.86
2005-08-01,1300.75
2005-09-01,1396.66
2005-10-01,1483.22
2005-11-01,1610.65
2005-12-01,1819.36
2006-01-01,2091.77
2006-02-01,2219.74
2006-03-01,2427.66
2006-04-01,3068.34
2006-05-01,3544.64
2006-06-01,3197.59
2006-07-01,3320.74
2006-08-01,3339.97
2006-09-01,3394.06
2006-10-01,3829.6
2006-11-01,4378.61
2006-12-01,4381.45
2007-01-01,3784.86
2007-02-01,3321.38
2007-03-01,3256.18
2007-04-01,3566.86
2007-05-01,3847.52
2007-06-01,3628.65
2007-07-01,3546.3
2007-08-01,3244.17
2007-09-01,2887.6
2007-10-01,2979.99
2007-11-01,2554.6
2007-12-01,2378.6
2008-01-01,2364.41
2008-02-01,2458.48
2008-03-01,2511.18
2008-04-01,2278.51
2008-05-01,2178.32
2008-06-01,1906.17
2008-07-01,1856.45
2008-08-01,1734.65
2008-09-01,1744.52
2008-10-01,1303
2008-11-01,1169.36
2008-12-01,1112.9
2009-01-01,1202.52
2009-02-01,1118
2009-03-01,1223.22
2009-04-01,1388.14
2009-05-01,1491.89
2009-06-01,1555.46
2009-07-01,1582.85
2009-08-01,1818.01
2009-09-01,1879.15
2009-10-01,2070.84
2009-11-01,2196.55
2009-12-01,2374.04
2010-01-01,2414.69
2010-02-01,2158.82
2010-03-01,2277.29
2010-04-01,2367.53
2010-05-01,1969.82
2010-06-01,1746.51
2010-07-01,1847.03
2010-08-01,2047.48
2010-09-01,2150.94
2010-10-01,2373.56
2010-11-01,2283.3
2010-12-01,2287.32
2011-01-01,2375.81
2011-02-01,2473.45
2011-03-01,2341.48
2011-04-01,2371.48
2011-05-01,2159.6
2011-06-01,2234.47
2011-07-01,2397.75
2011-08-01,2199.24
2011-09-01,2075.22
2011-10-01,1871.42
2011-11-01,1935.32
2011-12-01,1911.15
2012-01-01,1989.23
2012-02-01,2057.79
2012-03-01,2035.92
2012-04-01,2002.68
2012-05-01,1928.01
2012-06-01,1855.93
2012-07-01,1847.75
2012-08-01,1816.32
2012-09-01,2009.85
2012-10-01,1903.96
2012-11-01,1912.4
2012-12-01,2040.43
2013-01-01,2031.41
2013-02-01,2128.69
2013-03-01,1929.15
2013-04-01,1855.6
2013-05-01,1831.01
2013-06-01,1839.01
2013-07-01,1837.62
2013-08-01,1896.39
2013-09-01,1846.88
2013-10-01,1884.84
2013-11-01,1866.42
2013-12-01,1974.97
2014-01-01,2036.93
2014-02-01,2034.53
2014-03-01,2007.9
2014-04-01,2027.21
2014-05-01,2058.97
2014-06-01,2128.1
2014-07-01,2310.62
2014-08-01,2326.99
2014-09-01,2294.59
2014-10-01,2276.83
2014-11-01,2253.22
2014-12-01,2175.76
2015-01-01,2113.05
2015-02-01,2097.76
2015-03-01,2028.73
2015-04-01,2212.72
2015-05-01,2281.8
2015-06-01,2082.09
2015-07-01,2000.68
2015-08-01,1807.64
2015-09-01,1720.23
