Date,Industrial Inputs Price Index、 2005 = 100、 includes Agricultural Raw Materials and Metals Price Indices
1993-06-01,76.1
1993-07-01,77.03
1993-08-01,75.56
1993-09-01,74.18
1993-10-01,73.8
1993-11-01,72.52
1993-12-01,73.26
1994-01-01,74.43
1994-02-01,76.91
1994-03-01,77.75
1994-04-01,80.51
1994-05-01,83.08
1994-06-01,86.56
1994-07-01,87.17
1994-08-01,86.75
1994-09-01,88.82
1994-10-01,89.93
1994-11-01,94.04
1994-12-01,95.61
1995-01-01,98.77
1995-02-01,96.61
1995-03-01,97.99
1995-04-01,99.57
1995-05-01,97.37
1995-06-01,96.45
1995-07-01,95.27
1995-08-01,93.44
1995-09-01,91.19
1995-10-01,88.66
1995-11-01,90.22
1995-12-01,88.29
1996-01-01,86.13
1996-02-01,86.45
1996-03-01,87.93
1996-04-01,88.68
1996-05-01,90.39
1996-06-01,86.14
1996-07-01,85.52
1996-08-01,87.26
1996-09-01,87.41
1996-10-01,86.49
1996-11-01,86.8
1996-12-01,86.11
1997-01-01,88.53
1997-02-01,89.84
1997-03-01,91.51
1997-04-01,88.96
1997-05-01,89.51
1997-06-01,86.74
1997-07-01,86.41
1997-08-01,86.56
1997-09-01,84.42
1997-10-01,82.35
1997-11-01,82.19
1997-12-01,77.31
1998-01-01,72.47
1998-02-01,74.77
1998-03-01,75.56
1998-04-01,75.76
1998-05-01,74.7
1998-06-01,72.63
1998-07-01,71.24
1998-08-01,71.02
1998-09-01,70.54
1998-10-01,67.55
1998-11-01,67.38
1998-12-01,66.54
1999-01-01,66.52
1999-02-01,66.52
1999-03-01,67.5
1999-04-01,67.93
1999-05-01,69.36
1999-06-01,68.6
1999-07-01,70.88
1999-08-01,72.39
1999-09-01,75.79
1999-10-01,76.38
1999-11-01,76.19
1999-12-01,77.07
2000-01-01,78.32
2000-02-01,79.31
2000-03-01,79.1
2000-04-01,77.12
2000-05-01,78.39
2000-06-01,76.58
2000-07-01,77.29
2000-08-01,76.59
2000-09-01,79.79
2000-10-01,77.14
2000-11-01,76.66
2000-12-01,75.78
2001-01-01,77.79
2001-02-01,77.26
2001-03-01,76.31
2001-04-01,78.26
2001-05-01,78.79
2001-06-01,76.83
2001-07-01,72.63
2001-08-01,69.21
2001-09-01,67.03
2001-10-01,64.46
2001-11-01,66.32
2001-12-01,65.54
2002-01-01,66.19
2002-02-01,68.08
2002-03-01,70.02
2002-04-01,70.68
2002-05-01,70.43
2002-06-01,72.46
2002-07-01,72.74
2002-08-01,71.98
2002-09-01,73.45
2002-10-01,73.66
2002-11-01,74.02
2002-12-01,72.15
2003-01-01,73.32
2003-02-01,74.27
2003-03-01,72.87
2003-04-01,72.36
2003-05-01,71.64
2003-06-01,72.35
2003-07-01,73.7
2003-08-01,75.25
2003-09-01,76.03
2003-10-01,78.84
2003-11-01,80.43
2003-12-01,82.11
2004-01-01,86.07
2004-02-01,89.12
2004-03-01,88.93
2004-04-01,87.87
2004-05-01,86.61
2004-06-01,88.39
2004-07-01,89.9
2004-08-01,89.36
2004-09-01,89.63
2004-10-01,91.67
2004-11-01,91.16
2004-12-01,90.25
2005-01-01,95.13
2005-02-01,96.45
2005-03-01,100.48
2005-04-01,98.1
2005-05-01,96.77
2005-06-01,97.75
2005-07-01,97.6
2005-08-01,100.68
2005-09-01,100.59
2005-10-01,102.32
2005-11-01,104.74
2005-12-01,109.39
2006-01-01,115
2006-02-01,118.64
2006-03-01,119.64
2006-04-01,130.36
2006-05-01,144.09
2006-06-01,136.37
2006-07-01,141.44
2006-08-01,142.77
2006-09-01,142.47
2006-10-01,146.97
2006-11-01,147.31
2006-12-01,150.4
2007-01-01,147.85
2007-02-01,150.79
2007-03-01,155.64
2007-04-01,166.93
2007-05-01,169.03
2007-06-01,162.85
2007-07-01,160.41
2007-08-01,148.77
2007-09-01,148.6
2007-10-01,151.05
2007-11-01,147.99
2007-12-01,141.85
2008-01-01,151.92
2008-02-01,159.48
2008-03-01,166
2008-04-01,164.72
2008-05-01,160.23
2008-06-01,157.97
2008-07-01,160.2
2008-08-01,151.08
2008-09-01,144
2008-10-01,122.35
2008-11-01,111.13
2008-12-01,99.04
2009-01-01,101.27
2009-02-01,99.18
2009-03-01,95.43
2009-04-01,99.67
2009-05-01,104.67
2009-06-01,113.18
2009-07-01,120.36
2009-08-01,135.98
2009-09-01,129.9
2009-10-01,133.42
2009-11-01,141.71
2009-12-01,149.2
2010-01-01,158.23
2010-02-01,154.5
2010-03-01,164.85
2010-04-01,179.73
2010-05-01,166.36
2010-06-01,157.61
2010-07-01,154.84
2010-08-01,166.37
2010-09-01,170.02
2010-10-01,181.35
2010-11-01,188.28
2010-12-01,197.11
2011-01-01,207.86
2011-02-01,215.54
2011-03-01,213
2011-04-01,217.07
2011-05-01,206.69
2011-06-01,204.43
2011-07-01,207.14
2011-08-01,198.52
2011-09-01,192.74
2011-10-01,175.55
2011-11-01,168.64
2011-12-01,165.88
2012-01-01,172.61
2012-02-01,177.72
2012-03-01,177.95
2012-04-01,176.75
2012-05-01,170
2012-06-01,163.36
2012-07-01,161.72
2012-08-01,154.97
2012-09-01,160.17
2012-10-01,161.91
2012-11-01,160.82
2012-12-01,167.55
2013-01-01,173.55
2013-02-01,175.03
2013-03-01,166.25
2013-04-01,162.28
2013-05-01,159.89
2013-06-01,157.66
2013-07-01,157.53
2013-08-01,161.17
2013-09-01,159.54
2013-10-01,161.27
2013-11-01,161.94
2013-12-01,163.69
2014-01-01,160.8
2014-02-01,158.64
2014-03-01,156.46
2014-04-01,158.48
2014-05-01,155.08
2014-06-01,152.85
2014-07-01,156.6
2014-08-01,155.1
2014-09-01,150.97
2014-10-01,148.12
2014-11-01,147.32
2014-12-01,141.64
2015-01-01,136.11
2015-02-01,134.51
2015-03-01,131.75
2015-04-01,130.88
2015-05-01,133.85
2015-06-01,129.77
2015-07-01,121.08
2015-08-01,115.9
2015-09-01,116.75
