Date,Hard Sawnwood、 Dark Red Meranti、 select and better quality、 C&F U.K port、 US＄ per cubic meter
1988-04-01,383.17
1988-05-01,383.68
1988-06-01,363.97
1988-07-01,347.76
1988-08-01,334.35
1988-09-01,338.28
1988-10-01,374.14
1988-11-01,391.83
1988-12-01,387.21
1989-01-01,376.25
1989-02-01,389.18
1989-03-01,387.2
1989-04-01,378.26
1989-05-01,399.27
1989-06-01,510.91
1989-07-01,516.36
1989-08-01,521.52
1989-09-01,523.34
1989-10-01,523.98
1989-11-01,530.24
1989-12-01,556.01
1990-01-01,555.92
1990-02-01,569.15
1990-03-01,566.26
1990-04-01,549.91
1990-05-01,491.88
1990-06-01,495.39
1990-07-01,485.86
1990-08-01,487.52
1990-09-01,487.75
1990-10-01,505.24
1990-11-01,511.33
1990-12-01,499.2
1991-01-01,497.05
1991-02-01,492.56
1991-03-01,491.12
1991-04-01,495.44
1991-05-01,509.75
1991-06-01,480.3
1991-07-01,480.3
1991-08-01,553.48
1991-09-01,582.79
1991-10-01,573.05
1991-11-01,573.89
1991-12-01,567.39
1992-01-01,577.77
1992-02-01,599.19
1992-03-01,602.24
1992-04-01,616.38
1992-05-01,628.68
1992-06-01,610.79
1992-07-01,609.62
1992-08-01,607.43
1992-09-01,606.17
1992-10-01,600.25
1992-11-01,623.68
1992-12-01,604.35
1993-01-01,605.35
1993-02-01,618.11
1993-03-01,616.81
1993-04-01,645.42
1993-05-01,776.63
1993-06-01,803.57
1993-07-01,829.75
1993-08-01,835.6
1993-09-01,851.1
1993-10-01,851.33
1993-11-01,835.17
1993-12-01,830.07
1994-01-01,774.17
1994-02-01,758.36
1994-03-01,770.99
1994-04-01,819.89
1994-05-01,855.1
1994-06-01,876.8
1994-07-01,875.95
1994-08-01,887.33
1994-09-01,861.73
1994-10-01,806.86
1994-11-01,792.31
1994-12-01,777.81
1995-01-01,793.98
1995-02-01,753.47
1995-03-01,714.2
1995-04-01,732.6
1995-05-01,750.78
1995-06-01,759.1
1995-07-01,752.33
1995-08-01,741.7
1995-09-01,728.71
1995-10-01,723.5
1995-11-01,716.06
1995-12-01,715.85
1996-01-01,719.36
1996-02-01,713.66
1996-03-01,728.68
1996-04-01,751.38
1996-05-01,753.11
1996-06-01,747.91
1996-07-01,743.97
1996-08-01,743.43
1996-09-01,755.31
1996-10-01,753.33
1996-11-01,753.65
1996-12-01,726.84
1997-01-01,740.31
1997-02-01,753.29
1997-03-01,756.65
1997-04-01,749.82
1997-05-01,747.56
1997-06-01,736.6
1997-07-01,705.7
1997-08-01,649
1997-09-01,587.03
1997-10-01,534.52
1997-11-01,516.44
1997-12-01,471.02
1998-01-01,413.37
1998-02-01,504.15
1998-03-01,506.13
1998-04-01,505.98
1998-05-01,472.69
1998-06-01,451.42
1998-07-01,437.6
1998-08-01,455.58
1998-09-01,503.5
1998-10-01,510.49
1998-11-01,513.99
1998-12-01,534.97
1999-01-01,538.46
1999-02-01,538.46
1999-03-01,555.94
1999-04-01,566.43
1999-05-01,580.42
1999-06-01,608.39
1999-07-01,622.38
1999-08-01,629.37
1999-09-01,643.36
1999-10-01,643.36
1999-11-01,643.36
1999-12-01,643.36
2000-01-01,643.36
2000-02-01,643.36
2000-03-01,636.36
2000-04-01,636.36
2000-05-01,633.93
2000-06-01,629.37
2000-07-01,628.21
2000-08-01,604.9
2000-09-01,544.96
2000-10-01,538.46
2000-11-01,526.38
2000-12-01,524.48
2001-01-01,517.48
2001-02-01,501.75
2001-03-01,500
2001-04-01,500
2001-05-01,500
2001-06-01,476.69
2001-07-01,481.09
2001-08-01,475.52
2001-09-01,489.51
2001-10-01,484.65
2001-11-01,465.99
2001-12-01,468.86
2002-01-01,470.96
2002-02-01,482.52
2002-03-01,482.18
2002-04-01,485.06
2002-05-01,484.65
2002-06-01,500
2002-07-01,507.45
2002-08-01,532.74
2002-09-01,564.77
2002-10-01,565.22
2002-11-01,564.44
2002-12-01,565.16
2003-01-01,552.45
2003-02-01,549.83
2003-03-01,549.12
2003-04-01,550.06
2003-05-01,554.83
2003-06-01,552.45
2003-07-01,552.45
2003-08-01,559.44
2003-09-01,545.45
2003-10-01,545.45
2003-11-01,545.45
2003-12-01,538.46
2004-01-01,538.46
2004-02-01,552.45
2004-03-01,552.45
2004-04-01,552.45
2004-05-01,587.41
2004-06-01,590.91
2004-07-01,594.41
2004-08-01,594.41
2004-09-01,594.41
2004-10-01,601.4
2004-11-01,608.39
2004-12-01,608.39
2005-01-01,636.36
2005-02-01,636.36
2005-03-01,646.85
2005-04-01,643.36
2005-05-01,657.34
2005-06-01,657.34
2005-07-01,657.34
2005-08-01,664.34
2005-09-01,671.33
2005-10-01,671.33
2005-11-01,685.31
2005-12-01,685.31
2006-01-01,713.29
2006-02-01,713.29
2006-03-01,713.29
2006-04-01,720.28
2006-05-01,759.9
2006-06-01,749.27
2006-07-01,749.62
2006-08-01,769.3
2006-09-01,766.66
2006-10-01,762.07
2006-11-01,776.99
2006-12-01,798.18
2007-01-01,796.35
2007-02-01,795.36
2007-03-01,791.45
2007-04-01,808.81
2007-05-01,806.21
2007-06-01,807.06
2007-07-01,826.41
2007-08-01,816.74
2007-09-01,819.62
2007-10-01,812.95
2007-11-01,806.27
2007-12-01,788.33
2008-01-01,812.62
2008-02-01,855.84
2008-03-01,912.45
2008-04-01,940.97
2008-05-01,933.58
2008-06-01,932.89
2008-07-01,932.77
2008-08-01,879.39
2008-09-01,888.76
2008-10-01,861.7
2008-11-01,872.33
2008-12-01,845.8
2009-01-01,818.45
2009-02-01,806.65
2009-03-01,815.85
2009-04-01,815.68
2009-05-01,855.42
2009-06-01,817.9
2009-07-01,760.27
2009-08-01,769.67
2009-09-01,784.27
2009-10-01,805.1
2009-11-01,821.06
2009-12-01,795.96
2010-01-01,792.44
2010-02-01,781
2010-03-01,790.1
2010-04-01,820.21
2010-05-01,836.47
2010-06-01,841.09
2010-07-01,871.18
2010-08-01,892.18
2010-09-01,875.96
2010-10-01,880.17
2010-11-01,901.45
2010-12-01,896.99
2011-01-01,907.78
2011-02-01,927.81
2011-03-01,929.22
2011-04-01,946.21
2011-05-01,958.13
2011-06-01,973.16
2011-07-01,969.42
2011-08-01,973.6
2011-09-01,952.68
2011-10-01,954.18
2011-11-01,892.75
2011-12-01,888.44
2012-01-01,877
2012-02-01,885.07
2012-03-01,886.53
2012-04-01,896.38
2012-05-01,892.16
2012-06-01,862.84
2012-07-01,857.92
2012-08-01,856.66
2012-09-01,878.2
2012-10-01,873.36
2012-11-01,870.05
2012-12-01,879.94
2013-01-01,870.59
2013-02-01,842.88
2013-03-01,822
2013-04-01,834.37
2013-05-01,833.2
2013-06-01,844.6
2013-07-01,827.7
2013-08-01,845.05
2013-09-01,865.13
2013-10-01,876.96
2013-11-01,878.25
2013-12-01,892.83
2014-01-01,897.78
2014-02-01,902.19
2014-03-01,905.74
2014-04-01,912.49
2014-05-01,918.05
2014-06-01,921.32
2014-07-01,930.59
2014-08-01,910.31
2014-09-01,889
2014-10-01,875.76
2014-11-01,859.9
2014-12-01,852.16
2015-01-01,826.71
2015-02-01,835.21
2015-03-01,816.57
2015-04-01,814.23
2015-05-01,842.46
2015-06-01,847.75
2015-07-01,848.07
2015-08-01,849.98
2015-09-01,836.74
