Date,Lead、 99.97% pure、 LME spot price、 CIF European Ports、 US＄ per metric ton
1997-12-01,525.74
1998-01-01,530.65
1998-02-01,515.63
1998-03-01,558.98
1998-04-01,571.78
1998-05-01,542.74
1998-06-01,526.48
1998-07-01,543.64
1998-08-01,526.85
1998-09-01,519.45
1998-10-01,493.2
1998-11-01,493.02
1998-12-01,500.61
1999-01-01,491.63
1999-02-01,512.95
1999-03-01,506.8
1999-04-01,517.08
1999-05-01,540.71
1999-06-01,495.45
1999-07-01,495.11
1999-08-01,502.24
1999-09-01,506.5
1999-10-01,496.4
1999-11-01,477.57
1999-12-01,478.74
2000-01-01,471.88
2000-02-01,453.25
2000-03-01,441.84
2000-04-01,423.02
2000-05-01,412.61
2000-06-01,419.55
2000-07-01,453.1
2000-08-01,472.57
2000-09-01,488.05
2000-10-01,484.79
2000-11-01,465.88
2000-12-01,463.53
2001-01-01,478.54
2001-02-01,501.71
2001-03-01,498.85
2001-04-01,477.59
2001-05-01,466.08
2001-06-01,444.73
2001-07-01,462.15
2001-08-01,483.63
2001-09-01,464.81
2001-10-01,468.58
2001-11-01,486.71
2001-12-01,482.91
2002-01-01,511.09
2002-02-01,480.93
2002-03-01,480.68
2002-04-01,472.09
2002-05-01,450.39
2002-06-01,439.98
2002-07-01,446.03
2002-08-01,424.33
2002-09-01,420.54
2002-10-01,418.25
2002-11-01,441.44
2002-12-01,441.21
2003-01-01,444.85
2003-02-01,474.52
2003-03-01,454.73
2003-04-01,438.02
2003-05-01,462.35
2003-06-01,467.67
2003-07-01,513.34
2003-08-01,493.77
2003-09-01,520.98
2003-10-01,587.46
2003-11-01,622.67
2003-12-01,690.11
2004-01-01,753.56
2004-02-01,885.15
2004-03-01,878.14
2004-04-01,747.02
2004-05-01,804.1
2004-06-01,863.73
2004-07-01,931.34
2004-08-01,916.62
2004-09-01,932.16
2004-10-01,932.86
2004-11-01,966.31
2004-12-01,972.34
2005-01-01,954.23
2005-02-01,972.98
2005-03-01,1001.69
2005-04-01,980.48
2005-05-01,985.29
2005-06-01,982.65
2005-07-01,857.52
2005-08-01,887.42
2005-09-01,932.77
2005-10-01,999.4
2005-11-01,1017.84
2005-12-01,1120.15
2006-01-01,1258.14
2006-02-01,1267.44
2006-03-01,1193.89
2006-04-01,1170.56
2006-05-01,1167.5
2006-06-01,963.61
2006-07-01,1053.26
2006-08-01,1179.32
2006-09-01,1346.53
2006-10-01,1525.66
2006-11-01,1626.02
2006-12-01,1709.16
2007-01-01,1664.34
2007-02-01,1775.08
2007-03-01,1908.98
2007-04-01,1984.16
2007-05-01,2106
2007-06-01,2436.64
2007-07-01,3072.43
2007-08-01,3115.19
2007-09-01,3228.03
2007-10-01,3722.61
2007-11-01,3319.91
2007-12-01,2616.08
2008-01-01,2621.78
2008-02-01,3089.61
2008-03-01,3012.93
2008-04-01,2834.88
2008-05-01,2216.09
2008-06-01,1860.51
2008-07-01,1960.04
2008-08-01,1902.85
2008-09-01,1872.31
2008-10-01,1494.26
2008-11-01,1286.42
2008-12-01,968.17
2009-01-01,1144.9
2009-02-01,1099.63
2009-03-01,1246.52
2009-04-01,1393.91
2009-05-01,1449.67
2009-06-01,1668.19
2009-07-01,1674.51
2009-08-01,1893.04
2009-09-01,2205.48
2009-10-01,2227.69
2009-11-01,2303.44
2009-12-01,2326.26
2010-01-01,2352.18
2010-02-01,2125.8
2010-03-01,2162.71
2010-04-01,2272.18
2010-05-01,1876.82
2010-06-01,1707.28
2010-07-01,1843.97
2010-08-01,2082.8
2010-09-01,2192.85
2010-10-01,2383.55
2010-11-01,2364.98
2010-12-01,2413.2
2011-01-01,2583.97
2011-02-01,2595.57
2011-03-01,2624.02
2011-04-01,2719.35
2011-05-01,2419.64
2011-06-01,2524.99
2011-07-01,2681.02
2011-08-01,2393.06
2011-09-01,2287.67
2011-10-01,1960.38
2011-11-01,1994.22
2011-12-01,2024.56
2012-01-01,2100.21
2012-02-01,2121.26
2012-03-01,2056.69
2012-04-01,2073.64
2012-05-01,1999.25
2012-06-01,1850.96
2012-07-01,1881.48
2012-08-01,1897.77
2012-09-01,2177.68
2012-10-01,2141.97
2012-11-01,2181.97
2012-12-01,2279.8
2013-01-01,2334.47
2013-02-01,2365.79
2013-03-01,2173.35
2013-04-01,2024.37
2013-05-01,2031.89
2013-06-01,2099.69
2013-07-01,2047.73
2013-08-01,2173.08
2013-09-01,2084.92
2013-10-01,2115.43
2013-11-01,2089.56
2013-12-01,2136.73
2014-01-01,2143.17
2014-02-01,2108.03
2014-03-01,2053.08
2014-04-01,2087.09
2014-05-01,2097.32
2014-06-01,2106.94
2014-07-01,2193.24
2014-08-01,2236.84
2014-09-01,2117.24
2014-10-01,2034.26
2014-11-01,2030.18
2014-12-01,1938.11
2015-01-01,1843.13
2015-02-01,1795.66
2015-03-01,1792.47
2015-04-01,2005.36
2015-05-01,1991.78
2015-06-01,1829.5
2015-07-01,1763.04
2015-08-01,1703.6
2015-09-01,1684.25
