Date,Hard Logs、 Best quality Malaysian meranti、 import price Japan、 US＄ per cubic meter
1988-02-01,155.81
1988-03-01,158.11
1988-04-01,172.59
1988-05-01,172.82
1988-06-01,163.94
1988-07-01,156.64
1988-08-01,150.6
1988-09-01,152.37
1988-10-01,168.52
1988-11-01,176.49
1988-12-01,174.41
1989-01-01,169.47
1989-02-01,168.76
1989-03-01,165.4
1989-04-01,163.25
1989-05-01,155.85
1989-06-01,172.45
1989-07-01,176.21
1989-08-01,175.72
1989-09-01,168.47
1989-10-01,167.11
1989-11-01,165.26
1989-12-01,160.1
1990-01-01,156.04
1990-02-01,153.1
1990-03-01,145.55
1990-04-01,145.14
1990-05-01,155.67
1990-06-01,163.59
1990-07-01,170.92
1990-08-01,170.64
1990-09-01,170.65
1990-10-01,174.52
1990-11-01,161.48
1990-12-01,156.07
1991-01-01,155.69
1991-02-01,159.74
1991-03-01,151.92
1991-04-01,163.83
1991-05-01,162.71
1991-06-01,192.81
1991-07-01,195.3
1991-08-01,201.82
1991-09-01,200.27
1991-10-01,206.19
1991-11-01,181.51
1991-12-01,183.74
1992-01-01,188.17
1992-02-01,197.3
1992-03-01,189.57
1992-04-01,188.39
1992-05-01,188.53
1992-06-01,191.29
1992-07-01,184.48
1992-08-01,183.51
1992-09-01,194.74
1992-10-01,207.83
1992-11-01,205.99
1992-12-01,240.49
1993-01-01,240.04
1993-02-01,286.7
1993-03-01,345.34
1993-04-01,463.41
1993-05-01,520.81
1993-06-01,493.82
1993-07-01,467.02
1993-08-01,450.47
1993-09-01,384
1993-10-01,378.13
1993-11-01,333.36
1993-12-01,304.66
1994-01-01,294.8
1994-02-01,303.4
1994-03-01,310.5
1994-04-01,362.2
1994-05-01,345.5
1994-06-01,344.6
1994-07-01,332
1994-08-01,358.8
1994-09-01,300.06
1994-10-01,291.5
1994-11-01,279.4
1994-12-01,273.1
1995-01-01,249
1995-02-01,252.4
1995-03-01,285
1995-04-01,302.81
1995-05-01,289.28
1995-06-01,280.59
1995-07-01,261.63
1995-08-01,241.36
1995-09-01,223.52
1995-10-01,233.86
1995-11-01,230.96
1995-12-01,241.78
1996-01-01,234.29
1996-02-01,246.43
1996-03-01,253.01
1996-04-01,252.48
1996-05-01,262.49
1996-06-01,255.85
1996-07-01,259.69
1996-08-01,263.48
1996-09-01,258.69
1996-10-01,252.67
1996-11-01,252.9
1996-12-01,233.76
1997-01-01,240.56
1997-02-01,233.72
1997-03-01,237.35
1997-04-01,240.16
1997-05-01,252.18
1997-06-01,264.85
1997-07-01,254.33
1997-08-01,245.37
1997-09-01,232.62
1997-10-01,227.36
1997-11-01,213.73
1997-12-01,210.67
1998-01-01,197.1
1998-02-01,202.5
1998-03-01,195.47
1998-04-01,168.95
1998-05-01,149.08
1998-06-01,132.94
1998-07-01,134.83
1998-08-01,136.94
1998-09-01,150.19
1998-10-01,164.43
1998-11-01,159.45
1998-12-01,162.45
1999-01-01,176.22
1999-02-01,177.12
1999-03-01,172.52
1999-04-01,175.1
1999-05-01,176.52
1999-06-01,183.55
1999-07-01,186.08
1999-08-01,198.44
1999-09-01,202.49
1999-10-01,198.25
1999-11-01,198.59
1999-12-01,199.41
2000-01-01,193.08
2000-02-01,184.37
2000-03-01,190.85
2000-04-01,192.14
2000-05-01,191.61
2000-06-01,194.48
2000-07-01,191.54
2000-08-01,191.17
2000-09-01,193.6
2000-10-01,189.51
2000-11-01,188.12
2000-12-01,180.28
2001-01-01,171.76
2001-02-01,173.2
2001-03-01,166.15
2001-04-01,162.59
2001-05-01,164.3
2001-06-01,164.53
2001-07-01,162.04
2001-08-01,159.87
2001-09-01,156.38
2001-10-01,151.27
2001-11-01,146.49
2001-12-01,139.91
2002-01-01,133.84
2002-02-01,136.04
2002-03-01,143.02
2002-04-01,144.11
2002-05-01,149.08
2002-06-01,163.48
2002-07-01,172.56
2002-08-01,182.11
2002-09-01,180.96
2002-10-01,178.95
2002-11-01,181.33
2002-12-01,183.37
2003-01-01,187.41
2003-02-01,187.32
2003-03-01,184.15
2003-04-01,180.45
2003-05-01,183.17
2003-06-01,182.34
2003-07-01,181.67
2003-08-01,181.46
2003-09-01,187.19
2003-10-01,196.77
2003-11-01,197.46
2003-12-01,196.44
2004-01-01,199.06
2004-02-01,199
2004-03-01,195.2
2004-04-01,197.96
2004-05-01,188.43
2004-06-01,198.62
2004-07-01,200.45
2004-08-01,198.65
2004-09-01,199.27
2004-10-01,197.96
2004-11-01,202.13
2004-12-01,190.35
2005-01-01,191.43
2005-02-01,191.02
2005-03-01,193.65
2005-04-01,194.15
2005-05-01,202.52
2005-06-01,203.12
2005-07-01,205.53
2005-08-01,211.94
2005-09-01,216.8
2005-10-01,211.27
2005-11-01,205.47
2005-12-01,210.52
2006-01-01,221
2006-02-01,222.54
2006-03-01,225.16
2006-04-01,229.39
2006-05-01,244.17
2006-06-01,238.46
2006-07-01,236.12
2006-08-01,240.03
2006-09-01,246.47
2006-10-01,245.32
2006-11-01,256.02
2006-12-01,268.46
2007-01-01,262.27
2007-02-01,262.56
2007-03-01,269.66
2007-04-01,266.04
2007-05-01,261.95
2007-06-01,257.91
2007-07-01,263.05
2007-08-01,270.93
2007-09-01,274.96
2007-10-01,271.68
2007-11-01,279.41
2007-12-01,275.34
2008-01-01,287.08
2008-02-01,288.4
2008-03-01,304.85
2008-04-01,291.76
2008-05-01,282.97
2008-06-01,272.29
2008-07-01,275.76
2008-08-01,272.95
2008-09-01,284.47
2008-10-01,304.45
2008-11-01,315.97
2008-12-01,326.62
2009-01-01,329.65
2009-02-01,322.45
2009-03-01,288.57
2009-04-01,283.13
2009-05-01,291.06
2009-06-01,279.25
2009-07-01,281.42
2009-08-01,276.62
2009-09-01,280.84
2009-10-01,276.62
2009-11-01,271.97
2009-12-01,264.83
2010-01-01,258.22
2010-02-01,252.76
2010-03-01,249.84
2010-04-01,246.04
2010-05-01,253.66
2010-06-01,260.84
2010-07-01,274.91
2010-08-01,294.67
2010-09-01,310.91
2010-10-01,316.36
2010-11-01,313.32
2010-12-01,306.54
2011-01-01,315.32
2011-02-01,328.63
2011-03-01,334.76
2011-04-01,343.5
2011-05-01,385.25
2011-06-01,417.56
2011-07-01,430.49
2011-08-01,450.03
2011-09-01,453.63
2011-10-01,435.86
2011-11-01,403.26
2011-12-01,387.86
2012-01-01,387.75
2012-02-01,374.98
2012-03-01,357.05
2012-04-01,353.7
2012-05-01,367.03
2012-06-01,362.31
2012-07-01,357.19
2012-08-01,354.71
2012-09-01,353.34
2012-10-01,350.23
2012-11-01,353.03
2012-12-01,354.8
2013-01-01,334.12
2013-02-01,319.69
2013-03-01,313.78
2013-04-01,304.53
2013-05-01,294.78
2013-06-01,306.01
2013-07-01,298.76
2013-08-01,304.39
2013-09-01,300.12
2013-10-01,304.31
2013-11-01,297.36
2013-12-01,287.35
2014-01-01,286.6
2014-02-01,291.84
2014-03-01,290.92
2014-04-01,290.33
2014-05-01,292.5
2014-06-01,291.72
2014-07-01,292.7
2014-08-01,289.17
2014-09-01,277.55
2014-10-01,275.65
2014-11-01,256.13
2014-12-01,249.39
2015-01-01,251.48
2015-02-01,250.89
2015-03-01,247.32
2015-04-01,249.06
2015-05-01,246.5
2015-06-01,240.59
2015-07-01,241.27
2015-08-01,241.7
2015-09-01,247.78
