Date,Rubber、 Singapore Commodity Exchange、 No. 3 Rubber Smoked Sheets、 1st contract、 US cents per pound
1995-01-01,74.58
1995-02-01,80.32
1995-03-01,81.78
1995-04-01,83.46
1995-05-01,78.13
1995-06-01,69.66
1995-07-01,60.96
1995-08-01,58.87
1995-09-01,61.1
1995-10-01,63.96
1995-11-01,73.18
1995-12-01,74.21
1996-01-01,70.3
1996-02-01,70.55
1996-03-01,70.7
1996-04-01,66.64
1996-05-01,67.33
1996-06-01,66.95
1996-07-01,61.3
1996-08-01,59.1
1996-09-01,59.19
1996-10-01,56.33
1996-11-01,57.62
1996-12-01,57.02
1997-01-01,55.85
1997-02-01,55.37
1997-03-01,55.64
1997-04-01,52.19
1997-05-01,50.2
1997-06-01,50.44
1997-07-01,42.58
1997-08-01,41.54
1997-09-01,39.43
1997-10-01,39.63
1997-11-01,38.13
1997-12-01,32.91
1998-01-01,30.67
1998-02-01,37.3
1998-03-01,33.79
1998-04-01,35.03
1998-05-01,35.49
1998-06-01,31.89
1998-07-01,31.92
1998-08-01,29.64
1998-09-01,30.97
1998-10-01,33.06
1998-11-01,32.6
1998-12-01,30.44
1999-01-01,32.42
1999-02-01,31.16
1999-03-01,28.88
1999-04-01,26.83
1999-05-01,27.11
1999-06-01,27.38
1999-07-01,25.68
1999-08-01,25.48
1999-09-01,27.02
1999-10-01,29.36
1999-11-01,33.59
1999-12-01,31.08
2000-01-01,29.21
2000-02-01,33.39
2000-03-01,30.94
2000-04-01,31.93
2000-05-01,31.2
2000-06-01,30.39
2000-07-01,29.4
2000-08-01,30.31
2000-09-01,29.81
2000-10-01,30.13
2000-11-01,28.74
2000-12-01,28.13
2001-01-01,27.61
2001-02-01,27.3
2001-03-01,26.02
2001-04-01,26.25
2001-05-01,27.51
2001-06-01,28.12
2001-07-01,27.48
2001-08-01,26.6
2001-09-01,26.29
2001-10-01,24.37
2001-11-01,23.35
2001-12-01,22.12
2002-01-01,25.73
2002-02-01,28.33
2002-03-01,30.41
2002-04-01,30.57
2002-05-01,31.98
2002-06-01,38.12
2002-07-01,37.72
2002-08-01,39.13
2002-09-01,40.4
2002-10-01,37.48
2002-11-01,38.11
2002-12-01,38.46
2003-01-01,41.11
2003-02-01,44.74
2003-03-01,48.19
2003-04-01,45.24
2003-05-01,45.33
2003-06-01,46.72
2003-07-01,45.61
2003-08-01,47.69
2003-09-01,50.48
2003-10-01,58.92
2003-11-01,58.15
2003-12-01,57.31
2004-01-01,57.52
2004-02-01,58.84
2004-03-01,61.26
2004-04-01,62.91
2004-05-01,62.1
2004-06-01,62.78
2004-07-01,59.29
2004-08-01,57.14
2004-09-01,57.54
2004-10-01,58.57
2004-11-01,57.15
2004-12-01,54.97
2005-01-01,54.21
2005-02-01,57.65
2005-03-01,60.31
2005-04-01,60.28
2005-05-01,61.96
2005-06-01,66.24
2005-07-01,77.13
2005-08-01,73.42
2005-09-01,77.4
2005-10-01,77.99
2005-11-01,73.58
2005-12-01,77.26
2006-01-01,85.93
2006-02-01,94.36
2006-03-01,95.02
2006-04-01,98.59
2006-05-01,111.8
2006-06-01,123.8
2006-07-01,114.17
2006-08-01,100.37
2006-09-01,83.76
2006-10-01,84.44
2006-11-01,75.26
2006-12-01,79.25
2007-01-01,95.65
2007-02-01,104.96
2007-03-01,103.24
2007-04-01,106.75
2007-05-01,108.6
2007-06-01,102.86
2007-07-01,95.3
2007-08-01,96.8
2007-09-01,98.91
2007-10-01,106.96
2007-11-01,113.66
2007-12-01,112.95
2008-01-01,119.92
2008-02-01,127.63
2008-03-01,127.4
2008-04-01,129.51
2008-05-01,139.05
2008-06-01,147.04
2008-07-01,145.96
2008-08-01,133.78
2008-09-01,130.61
2008-10-01,88.05
2008-11-01,77.06
2008-12-01,56.7
2009-01-01,68.26
2009-02-01,67.22
2009-03-01,63.84
2009-04-01,73.5
2009-05-01,76.39
2009-06-01,75.48
2009-07-01,79.06
2009-08-01,92.86
2009-09-01,98.5
2009-10-01,106.68
2009-11-01,116.74
2009-12-01,127.47
2010-01-01,139.79
2010-02-01,141.87
2010-03-01,151.44
2010-04-01,179.09
2010-05-01,166.91
2010-06-01,161.74
2010-07-01,148.51
2010-08-01,150.42
2010-09-01,160.24
2010-10-01,178.02
2010-11-01,195.32
2010-12-01,215.28
2011-01-01,250.36
2011-02-01,280.79
2011-03-01,245.78
2011-04-01,265.49
2011-05-01,232.07
2011-06-01,223.8
2011-07-01,214.64
2011-08-01,212.11
2011-09-01,206.45
2011-10-01,184.21
2011-11-01,152.95
2011-12-01,153.52
2012-01-01,164.48
2012-02-01,181.55
2012-03-01,178.22
2012-04-01,174.4
2012-05-01,169.11
2012-06-01,145.09
2012-07-01,139.63
2012-08-01,126.69
2012-09-01,137.82
2012-10-01,145.33
2012-11-01,134.91
2012-12-01,141.05
2013-01-01,149.85
2013-02-01,144.51
2013-03-01,135.05
2013-04-01,130.04
2013-05-01,137.8
2013-06-01,127.47
2013-07-01,116.26
2013-08-01,116.53
2013-09-01,119.66
2013-10-01,114.96
2013-11-01,112.93
2013-12-01,116.05
2014-01-01,105.52
2014-02-01,97.3
2014-03-01,103.48
2014-04-01,99.58
2014-05-01,94.02
2014-06-01,94.65
2014-07-01,91.57
2014-08-01,83.91
2014-09-01,74.59
2014-10-01,73.49
2014-11-01,74.2
2014-12-01,72.72
2015-01-01,75.03
2015-02-01,82.03
2015-03-01,78.72
2015-04-01,77.13
2015-05-01,83.55
2015-06-01,82.98
2015-07-01,74.37
2015-08-01,64.43
2015-09-01,59.51
