Date,Cocoa beans、 International Cocoa Organization cash price、 CIF US and European ports、 US＄ per metric ton
1990-09-01,1371
1990-10-01,1309
1990-11-01,1352
1990-12-01,1297
1991-01-01,1242
1991-02-01,1215
1991-03-01,1211
1991-04-01,1144
1991-05-01,1063.4
1991-06-01,1041.48
1991-07-01,996.86
1991-08-01,1136.35
1991-09-01,1273.32
1991-10-01,1304.4
1991-11-01,1316.94
1991-12-01,1366.61
1992-01-01,1281.57
1992-02-01,1191.05
1992-03-01,1127.96
1992-04-01,1045.48
1992-05-01,995.31
1992-06-01,962.63
1992-07-01,1105.24
1992-08-01,1182.11
1992-09-01,1118.93
1992-10-01,1071.48
1992-11-01,1076.38
1992-12-01,1034.9
1993-01-01,1035.57
1993-02-01,990.99
1993-03-01,977.32
1993-04-01,1010.75
1993-05-01,998.07
1993-06-01,941.69
1993-07-01,1058.64
1993-08-01,1087.17
1993-09-01,1263.3
1993-10-01,1290.47
1993-11-01,1321.78
1993-12-01,1359.51
1994-01-01,1263.63
1994-02-01,1226.59
1994-03-01,1307.19
1994-04-01,1244
1994-05-01,1378.69
1994-06-01,1458.95
1994-07-01,1555.87
1994-08-01,1551.17
1994-09-01,1486.26
1994-10-01,1447.71
1994-11-01,1430.62
1994-12-01,1397.51
1995-01-01,1467.56
1995-02-01,1510.63
1995-03-01,1484.93
1995-04-01,1463.97
1995-05-01,1448.41
1995-06-01,1437.17
1995-07-01,1360.76
1995-08-01,1410.49
1995-09-01,1395.08
1995-10-01,1394.64
1995-11-01,1435.9
1995-12-01,1380.96
1996-01-01,1349.11
1996-02-01,1370.55
1996-03-01,1338.6
1996-04-01,1457.33
1996-05-01,1524.44
1996-06-01,1537.56
1996-07-01,1490.38
1996-08-01,1501.72
1996-09-01,1475.95
1996-10-01,1477.58
1996-11-01,1465.54
1996-12-01,1474.23
1997-01-01,1428.79
1997-02-01,1373.28
1997-03-01,1521.88
1997-04-01,1570.61
1997-05-01,1568.3
1997-06-01,1693.62
1997-07-01,1677.43
1997-08-01,1649.19
1997-09-01,1765.58
1997-10-01,1741.1
1997-11-01,1696.37
1997-12-01,1738.75
1998-01-01,1670.67
1998-02-01,1643.23
1998-03-01,1721.06
1998-04-01,1720.16
1998-05-01,1781.41
1998-06-01,1723.35
1998-07-01,1712.24
1998-08-01,1682.5
1998-09-01,1685.86
1998-10-01,1647.52
1998-11-01,1599.91
1998-12-01,1524.12
1999-01-01,1455.79
1999-02-01,1411.14
1999-03-01,1313.89
1999-04-01,1177.89
1999-05-01,1059.24
1999-06-01,1162.91
1999-07-01,1113.24
1999-08-01,1003.57
1999-09-01,1060.56
1999-10-01,1021.54
1999-11-01,922.08
1999-12-01,918.75
2000-01-01,918.48
2000-02-01,860.74
2000-03-01,925.93
2000-04-01,911.95
2000-05-01,909.42
2000-06-01,948.23
2000-07-01,967.11
2000-08-01,877.79
2000-09-01,882.73
2000-10-01,877.72
2000-11-01,873.99
2000-12-01,892.78
2001-01-01,966.39
2001-02-01,1157.47
2001-03-01,1124.41
2001-04-01,1083.66
2001-05-01,1077.44
2001-06-01,973.29
2001-07-01,965.32
2001-08-01,1032.48
2001-09-01,1026.2
2001-10-01,1084.86
2001-11-01,1231.55
2001-12-01,1337.43
2002-01-01,1385.93
2002-02-01,1490.39
2002-03-01,1592.03
2002-04-01,1568.15
2002-05-01,1604.7
2002-06-01,1656.46
2002-07-01,1872
2002-08-01,1959.27
2002-09-01,2167.41
2002-10-01,2201.5
2002-11-01,1825.06
2002-12-01,2025.61
2003-01-01,2190.14
2003-02-01,2230.35
2003-03-01,1989.84
2003-04-01,1932.14
2003-05-01,1729.21
2003-06-01,1579.11
2003-07-01,1556.87
2003-08-01,1565.55
2003-09-01,1625.39
2003-10-01,1481.68
2003-11-01,1510.01
2003-12-01,1646.58
2004-01-01,1626.4
2004-02-01,1566.09
2004-03-01,1504.43
2004-04-01,1435.67
2004-05-01,1413.04
2004-06-01,1404.71
2004-07-01,1567.86
2004-08-01,1727.33
2004-09-01,1541.14
2004-10-01,1483.8
2004-11-01,1665.71
2004-12-01,1672.75
2005-01-01,1549.89
2005-02-01,1719.46
2005-03-01,1763.91
2005-04-01,1585.95
2005-05-01,1509.46
2005-06-01,1538.63
2005-07-01,1488.32
2005-08-01,1482.23
2005-09-01,1504.16
2005-10-01,1453.83
2005-11-01,1428.78
2005-12-01,1511.32
2006-01-01,1576.23
2006-02-01,1546.37
2006-03-01,1545.05
2006-04-01,1552.34
2006-05-01,1594.3
2006-06-01,1605.78
2006-07-01,1673.21
2006-08-01,1612.94
2006-09-01,1566.34
2006-10-01,1530.17
2006-11-01,1582.54
2006-12-01,1702.16
2007-01-01,1701.93
2007-02-01,1811.15
2007-03-01,1924.2
2007-04-01,2034.25
2007-05-01,2011.13
2007-06-01,2013.04
2007-07-01,2151.67
2007-08-01,1902.09
2007-09-01,1944.01
2007-10-01,1916.67
2007-11-01,1967.31
2007-12-01,2119.88
2008-01-01,2216.38
2008-02-01,2522.83
2008-03-01,2647.64
2008-04-01,2631.23
2008-05-01,2693.41
2008-06-01,3021.76
2008-07-01,2953.67
2008-08-01,2796.8
2008-09-01,2672.05
2008-10-01,2251.23
2008-11-01,2046.08
2008-12-01,2420.04
2009-01-01,2608.89
2009-02-01,2660.47
2009-03-01,2493.98
2009-04-01,2541.7
2009-05-01,2554.6
2009-06-01,2699.61
2009-07-01,2805.48
2009-08-01,2956.66
2009-09-01,3149.51
2009-10-01,3372.5
2009-11-01,3379.33
2009-12-01,3517.54
2010-01-01,3522.1
2010-02-01,3276.56
2010-03-01,3089.65
2010-04-01,3221.23
2010-05-01,3165.75
2010-06-01,3230.83
2010-07-01,3229.55
2010-08-01,3071.71
2010-09-01,2874.98
2010-10-01,2927.45
2010-11-01,2910.31
2010-12-01,3047.06
2011-01-01,3164.48
2011-02-01,3471.1
2011-03-01,3392.97
2011-04-01,3113.51
2011-05-01,3070.77
2011-06-01,3015.64
2011-07-01,3167.18
2011-08-01,3064.31
2011-09-01,2873.88
2011-10-01,2680.05
2011-11-01,2527.43
2011-12-01,2200.61
2012-01-01,2307.76
2012-02-01,2356.24
2012-03-01,2359.25
2012-04-01,2266.78
2012-05-01,2113.09
2012-06-01,2265.84
2012-07-01,2349.82
2012-08-01,2512.26
2012-09-01,2620.28
2012-10-01,2463.54
2012-11-01,2478.16
2012-12-01,2431.82
2013-01-01,2275.44
2013-02-01,2197.7
2013-03-01,2153.36
2013-04-01,2294.72
2013-05-01,2345.73
2013-06-01,2283.58
2013-07-01,2308.53
2013-08-01,2483.61
2013-09-01,2616.05
2013-10-01,2730.7
2013-11-01,2755.17
2013-12-01,2824.54
2014-01-01,2819.43
2014-02-01,2992.76
2014-03-01,3041.67
2014-04-01,3050.61
2014-05-01,3030
2014-06-01,3174.31
2014-07-01,3196.04
2014-08-01,3270.27
2014-09-01,3221.27
2014-10-01,3100.83
2014-11-01,2909.09
2014-12-01,2946.95
2015-01-01,2915.6
2015-02-01,2961.94
2015-03-01,2878.03
2015-04-01,2868.27
2015-05-01,3096
2015-06-01,3239.88
2015-07-01,3325.96
2015-08-01,3154.02
2015-09-01,3278.45
