Date,Soybean Oil、 Chicago Soybean Oil Futures (first contract forward) exchange approved grades、 US＄ per metric ton
1989-03-01,508.16
1989-04-01,498.91
1989-05-01,498.69
1989-06-01,457.68
1989-07-01,434.09
1989-08-01,399.48
1989-09-01,415.13
1989-10-01,412.04
1989-11-01,426.81
1989-12-01,417.56
1990-01-01,418.66
1990-02-01,438.72
1990-03-01,487.22
1990-04-01,498.24
1990-05-01,526.9
1990-06-01,531.75
1990-07-01,530.65
1990-08-01,536.82
1990-09-01,524.48
1990-10-01,487.88
1990-11-01,458.12
1990-12-01,466.28
1991-01-01,468.04
1991-02-01,470.69
1991-03-01,483.91
1991-04-01,472.01
1991-05-01,443.57
1991-06-01,432.99
1991-07-01,419.98
1991-08-01,445.33
1991-09-01,451.73
1991-10-01,431.66
1991-11-01,418.44
1991-12-01,421.96
1992-01-01,420.42
1992-02-01,424.39
1992-03-01,446.44
1992-04-01,430.12
1992-05-01,454.15
1992-06-01,467.6
1992-07-01,425.05
1992-08-01,405.43
1992-09-01,414.03
1992-10-01,413.59
1992-11-01,444.45
1992-12-01,452.61
1993-01-01,468.04
1993-02-01,456.8
1993-03-01,462.75
1993-04-01,468.26
1993-05-01,467.38
1993-06-01,470.25
1993-07-01,534.84
1993-08-01,519.63
1993-09-01,517.64
1993-10-01,501.77
1993-11-01,555.34
1993-12-01,615.09
1994-01-01,651.24
1994-02-01,627.21
1994-03-01,633.39
1994-04-01,613.99
1994-05-01,637.14
1994-06-01,604.07
1994-07-01,539.25
1994-08-01,539.25
1994-09-01,569.89
1994-10-01,567.25
1994-11-01,615.31
1994-12-01,638.46
1995-01-01,615.53
1995-02-01,599
1995-03-01,610.9
1995-04-01,566.59
1995-05-01,565.26
1995-06-01,585.77
1995-07-01,606.49
1995-08-01,580.26
1995-09-01,579.15
1995-10-01,587.53
1995-11-01,565.93
1995-12-01,553.8
1996-01-01,532.86
1996-02-01,535.72
1996-03-01,534.4
1996-04-01,580.48
1996-05-01,598.33
1996-06-01,565.93
1996-07-01,550.05
1996-08-01,552.26
1996-09-01,554.9
1996-10-01,509.71
1996-11-01,509.93
1996-12-01,506.18
1997-01-01,526.46
1997-02-01,527.12
1997-03-01,544.32
1997-04-01,537.05
1997-05-01,529.55
1997-06-01,507.94
1997-07-01,483.47
1997-08-01,490.09
1997-09-01,509.93
1997-10-01,541.9
1997-11-01,565.71
1997-12-01,546.75
1998-01-01,550.05
1998-02-01,581.36
1998-03-01,597.01
1998-04-01,614.21
1998-05-01,617.07
1998-06-01,565.04
1998-07-01,544.76
1998-08-01,522.94
1998-09-01,544.54
1998-10-01,544.32
1998-11-01,545.86
1998-12-01,522.72
1999-01-01,505.08
1999-02-01,443.13
1999-03-01,411.16
1999-04-01,421.52
1999-05-01,401.02
1999-06-01,373.24
1999-07-01,340.83
1999-08-01,368.83
1999-09-01,375.89
1999-10-01,362.22
1999-11-01,356.27
1999-12-01,349.65
2000-01-01,356.05
2000-02-01,347.01
2000-03-01,371.48
2000-04-01,400.14
2000-05-01,381.18
2000-06-01,359.13
2000-07-01,341.5
2000-08-01,336.65
2000-09-01,340.83
2000-10-01,329.37
2000-11-01,330.47
2000-12-01,328.05
2001-01-01,321.43
2001-02-01,325.4
2001-03-01,351.86
2001-04-01,334
2001-05-01,323.64
2001-06-01,332.46
2001-07-01,383.38
2001-08-01,397.49
2001-09-01,358.47
2001-10-01,334
2001-11-01,352.96
2001-12-01,348.77
2002-01-01,343.48
2002-02-01,341.94
2002-03-01,356.93
2002-04-01,365.09
2002-05-01,376.77
2002-06-01,399.04
2002-07-01,423.07
2002-08-01,453.27
2002-09-01,443.13
2002-10-01,445.55
2002-11-01,490.75
2002-12-01,479.06
2003-01-01,453.49
2003-02-01,451.07
2003-03-01,460.99
2003-04-01,481.49
2003-05-01,495.82
2003-06-01,488.1
2003-07-01,464.95
2003-08-01,436.51
2003-09-01,494.94
2003-10-01,575.63
2003-11-01,581.36
2003-12-01,619.06
2004-01-01,643.53
2004-02-01,704.82
2004-03-01,738.33
2004-04-01,719.37
2004-05-01,679.46
2004-06-01,624.79
2004-07-01,575.85
2004-08-01,520.07
2004-09-01,508.83
2004-10-01,458.12
2004-11-01,460.99
2004-12-01,451.29
2005-01-01,434.82
2005-02-01,443.26
2005-03-01,513.1
2005-04-01,498.62
2005-05-01,501.41
2005-06-01,529.74
2005-07-01,546.91
2005-08-01,504.88
2005-09-01,496.88
2005-10-01,523.29
2005-11-01,490.06
2005-12-01,466
2006-01-01,482.97
2006-02-01,497.64
2006-03-01,515.9
2006-04-01,518.43
2006-05-01,557.36
2006-06-01,550.12
2006-07-01,586.78
2006-08-01,562.53
2006-09-01,534.28
2006-10-01,559.71
2006-11-01,623.61
2006-12-01,628.61
2007-01-01,635.6
2007-02-01,664.88
2007-03-01,679.52
2007-04-01,714.11
2007-05-01,756.06
2007-06-01,782.92
2007-07-01,819.15
2007-08-01,797.09
2007-09-01,852.71
2007-10-01,879.88
2007-11-01,987.96
2007-12-01,1027
2008-01-01,1143.05
2008-02-01,1307.75
2008-03-01,1321.27
2008-04-01,1292.08
2008-05-01,1330.47
2008-06-01,1414.42
2008-07-01,1372.27
2008-08-01,1163.78
2008-09-01,1042.09
2008-10-01,808.76
2008-11-01,728.52
2008-12-01,680.97
2009-01-01,754.73
2009-02-01,702.22
2009-03-01,694.16
2009-04-01,787.3
2009-05-01,845.24
2009-06-01,831.6
2009-07-01,750.65
2009-08-01,809.67
2009-09-01,749.4
2009-10-01,797.62
2009-11-01,854.24
2009-12-01,867.4
2010-01-01,838.22
2010-02-01,840.42
2010-03-01,869.39
2010-04-01,868.1
2010-05-01,832.68
2010-06-01,820.99
2010-07-01,836.74
2010-08-01,895.28
2010-09-01,929.65
2010-10-01,1034.85
2010-11-01,1123.3
2010-12-01,1208.33
2011-01-01,1257.14
2011-02-01,1268.35
2011-03-01,1245.1
2011-04-01,1279.14
2011-05-01,1255.67
2011-06-01,1250.06
2011-07-01,1242.1
2011-08-01,1225.27
2011-09-01,1218.86
2011-10-01,1126.77
2011-11-01,1118.32
2011-12-01,1103.04
2012-01-01,1131.77
2012-02-01,1170.22
2012-03-01,1196.53
2012-04-01,1232.58
2012-05-01,1134.58
2012-06-01,1097.8
2012-07-01,1175.27
2012-08-01,1188.51
2012-09-01,1213.3
2012-10-01,1119.92
2012-11-01,1071.76
2012-12-01,1088.78
2013-01-01,1122.83
2013-02-01,1131.98
2013-03-01,1102.89
2013-04-01,1086.75
2013-05-01,1082.78
2013-06-01,1058.59
2013-07-01,1000.84
2013-08-01,944.27
2013-09-01,934.97
2013-10-01,897.66
2013-11-01,897.31
2013-12-01,872.47
2014-01-01,831.35
2014-02-01,873.66
2014-03-01,928.54
2014-04-01,934.1
2014-05-01,893.53
2014-06-01,871.57
2014-07-01,813.86
2014-08-01,745.84
2014-09-01,711.74
2014-10-01,721.38
2014-11-01,721.4
2014-12-01,705.56
2015-01-01,707.88
2015-02-01,697.94
2015-03-01,683.43
2015-04-01,691.67
2015-05-01,716.49
2015-06-01,738.04
2015-07-01,695.79
2015-08-01,628.75
2015-09-01,590.25
