Date,Fishmeal、 Peru Fish meal／pellets 65% protein、 CIF、 US＄ per metric ton
1999-02-01,508.74
1999-03-01,434.31
1999-04-01,402.13
1999-05-01,385.72
1999-06-01,381.18
1999-07-01,393.63
1999-08-01,408.96
1999-09-01,430.42
1999-10-01,432.83
1999-11-01,437.55
1999-12-01,453.7
2000-01-01,452.22
2000-02-01,448.56
2000-03-01,434.75
2000-04-01,423.79
2000-05-01,417.21
2000-06-01,452.82
2000-07-01,471.25
2000-08-01,461.6
2000-09-01,462.45
2000-10-01,457.12
2000-11-01,450.26
2000-12-01,493.05
2001-01-01,500.77
2001-02-01,513.14
2001-03-01,497.36
2001-04-01,481
2001-05-01,479.31
2001-06-01,508.93
2001-07-01,525.21
2001-08-01,545.5
2001-09-01,549.33
2001-10-01,555.81
2001-11-01,585.28
2001-12-01,618.96
2002-01-01,621.83
2002-02-01,633.4
2002-03-01,633.5
2002-04-01,646.64
2002-05-01,661.87
2002-06-01,644.25
2002-07-01,652.11
2002-08-01,650.15
2002-09-01,662.55
2002-10-01,654.82
2002-11-01,650.13
2002-12-01,635.42
2003-01-01,641.65
2003-02-01,637.82
2003-03-01,632.28
2003-04-01,622.2
2003-05-01,640.06
2003-06-01,672.42
2003-07-01,668.62
2003-08-01,656.84
2003-09-01,645.36
2003-10-01,643.64
2003-11-01,670.87
2003-12-01,670.59
2004-01-01,711.99
2004-02-01,733.62
2004-03-01,729.21
2004-04-01,713.13
2004-05-01,704.23
2004-06-01,679.41
2004-07-01,666.62
2004-08-01,663.68
2004-09-01,663.5
2004-10-01,667.14
2004-11-01,691.63
2004-12-01,690.63
2005-01-01,700.23
2005-02-01,707.86
2005-03-01,714.03
2005-04-01,710.51
2005-05-01,695.98
2005-06-01,682.06
2005-07-01,656.46
2005-08-01,784.54
2005-09-01,783.29
2005-10-01,817.1
2005-11-01,823.44
2005-12-01,855.24
2006-01-01,910.33
2006-02-01,909.04
2006-03-01,906.58
2006-04-01,918.24
2006-05-01,970.83
2006-06-01,958.62
2006-07-01,959.07
2006-08-01,1251.38
2006-09-01,1296.63
2006-10-01,1263.01
2006-11-01,1262.59
2006-12-01,1285.02
2007-01-01,1258.73
2007-02-01,1252.39
2007-03-01,1268.87
2007-04-01,1289.38
2007-05-01,1266.92
2007-06-01,1254.15
2007-07-01,1212.95
2007-08-01,1148.05
2007-09-01,1109.22
2007-10-01,1054
2007-11-01,1031.14
2007-12-01,1079.68
2008-01-01,1114.49
2008-02-01,1140.39
2008-03-01,1169.75
2008-04-01,1184.37
2008-05-01,1191.92
2008-06-01,1208.78
2008-07-01,1265.05
2008-08-01,1240.64
2008-09-01,1223.44
2008-10-01,1101.43
2008-11-01,1049.74
2008-12-01,1032.27
2009-01-01,1037.3
2009-02-01,1046.77
2009-03-01,1054.07
2009-04-01,1055.71
2009-05-01,1117.44
2009-06-01,1164.08
2009-07-01,1222.51
2009-08-01,1295.4
2009-09-01,1362.82
2009-10-01,1463.87
2009-11-01,1557.8
2009-12-01,1692.45
2010-01-01,1748.38
2010-02-01,1709.79
2010-03-01,1793.86
2010-04-01,1961.11
2010-05-01,1907.78
2010-06-01,1817.13
2010-07-01,1705.03
2010-08-01,1673.83
2010-09-01,1632.19
2010-10-01,1665.71
2010-11-01,1662.63
2010-12-01,1593.21
2011-01-01,1607.46
2011-02-01,1612.82
2011-03-01,1755.65
2011-04-01,1760.73
2011-05-01,1590.95
2011-06-01,1508
2011-07-01,1469.08
2011-08-01,1455.06
2011-09-01,1346.9
2011-10-01,1352.34
2011-11-01,1402.34
2011-12-01,1369.68
2012-01-01,1295.05
2012-02-01,1315.22
2012-03-01,1319.33
2012-04-01,1408.1
2012-05-01,1518
2012-06-01,1642.3
2012-07-01,1735.12
2012-08-01,1755.74
2012-09-01,1716.05
2012-10-01,1694.59
2012-11-01,1902.06
2012-12-01,2190.08
2013-01-01,2088.6
2013-02-01,1882.6
2013-03-01,1783.98
2013-04-01,1834.49
2013-05-01,1835.82
2013-06-01,1728.6
2013-07-01,1598.54
2013-08-01,1621.63
2013-09-01,1525.27
2013-10-01,1520.09
2013-11-01,1549.37
2013-12-01,1557.11
2014-01-01,1586.17
2014-02-01,1658.39
2014-03-01,1729.28
2014-04-01,1763.83
2014-05-01,1820.16
2014-06-01,2000.88
2014-07-01,2048.97
2014-08-01,2000.09
2014-09-01,1871.81
2014-10-01,1985.42
2014-11-01,2204.08
2014-12-01,2388.57
2015-01-01,2169.83
2015-02-01,2028.45
2015-03-01,1897.3
2015-04-01,1854.61
2015-05-01,1728.81
2015-06-01,1649.19
2015-07-01,1556.97
2015-08-01,1552.02
2015-09-01,1567.7
