Date,Beef、 Australian and New Zealand 85% lean fores、 CIF U.S. import price、 US cents per pound
1990-11-01,114.95
1990-12-01,115.56
1991-01-01,117.62
1991-02-01,123.96
1991-03-01,117.56
1991-04-01,118.44
1991-05-01,119.11
1991-06-01,122.64
1991-07-01,121.87
1991-08-01,119.81
1991-09-01,124.5
1991-10-01,123.4
1991-11-01,122.83
1991-12-01,118.27
1992-01-01,116.64
1992-02-01,114.49
1992-03-01,111.11
1992-04-01,108.17
1992-05-01,107.76
1992-06-01,105.9
1992-07-01,106.43
1992-08-01,110.92
1992-09-01,110.69
1992-10-01,113.39
1992-11-01,115.24
1992-12-01,115.29
1993-01-01,106.8
1993-02-01,108.32
1993-03-01,114.59
1993-04-01,117.57
1993-05-01,121.39
1993-06-01,124.49
1993-07-01,127.94
1993-08-01,127.17
1993-09-01,124.01
1993-10-01,121.06
1993-11-01,119.84
1993-12-01,111.66
1994-01-01,109.84
1994-02-01,113.11
1994-03-01,122.03
1994-04-01,119.19
1994-05-01,108.44
1994-06-01,101.26
1994-07-01,99.39
1994-08-01,99.78
1994-09-01,100.16
1994-10-01,96.38
1994-11-01,99.28
1994-12-01,100.95
1995-01-01,97.76
1995-02-01,98.47
1995-03-01,93.77
1995-04-01,88.45
1995-05-01,82.02
1995-06-01,79.9
1995-07-01,76.61
1995-08-01,78.53
1995-09-01,81.5
1995-10-01,84.58
1995-11-01,88.99
1995-12-01,87.43
1996-01-01,86.26
1996-02-01,83.05
1996-03-01,79.32
1996-04-01,81.5
1996-05-01,81.31
1996-06-01,77
1996-07-01,77.68
1996-08-01,80.23
1996-09-01,78.68
1996-10-01,81.42
1996-11-01,82.17
1996-12-01,83.01
1997-01-01,81.48
1997-02-01,85.33
1997-03-01,93.36
1997-04-01,90.99
1997-05-01,86.5
1997-06-01,80.11
1997-07-01,81.73
1997-08-01,82.82
1997-09-01,80.47
1997-10-01,79.72
1997-11-01,83.24
1997-12-01,84.28
1998-01-01,82.87
1998-02-01,82.09
1998-03-01,81.68
1998-04-01,81.74
1998-05-01,80.4
1998-06-01,77.48
1998-07-01,75.94
1998-08-01,76.12
1998-09-01,75.05
1998-10-01,74.26
1998-11-01,75.57
1998-12-01,76.35
1999-01-01,77.6
1999-02-01,81.83
1999-03-01,81.5
1999-04-01,79.11
1999-05-01,79.85
1999-06-01,79.93
1999-07-01,81.6
1999-08-01,88.33
1999-09-01,86.48
1999-10-01,84.64
1999-11-01,87.93
1999-12-01,88.88
2000-01-01,88.2
2000-02-01,89.05
2000-03-01,90.46
2000-04-01,90.05
2000-05-01,90.9
2000-06-01,88.06
2000-07-01,86.93
2000-08-01,86.39
2000-09-01,82.69
2000-10-01,82.88
2000-11-01,89.72
2000-12-01,88.15
2001-01-01,87.81
2001-02-01,87.56
2001-03-01,91.06
2001-04-01,90.11
2001-05-01,91.49
2001-06-01,94.45
2001-07-01,98.45
2001-08-01,101.8
2001-09-01,107.25
2001-10-01,103.39
2001-11-01,104.28
2001-12-01,100.83
2002-01-01,101.05
2002-02-01,102.95
2002-03-01,109.03
2002-04-01,103.74
2002-05-01,96.47
2002-06-01,93.89
2002-07-01,96.9
2002-08-01,95.73
2002-09-01,92.56
2002-10-01,86.96
2002-11-01,81.56
2002-12-01,84
2003-01-01,85.35
2003-02-01,83.75
2003-03-01,83.88
2003-04-01,82.63
2003-05-01,79.3
2003-06-01,78.25
2003-07-01,81
2003-08-01,91.13
2003-09-01,97
2003-10-01,98.4
2003-11-01,110.75
2003-12-01,105.4
2004-01-01,107.06
2004-02-01,99.5
2004-03-01,97.25
2004-04-01,102.1
2004-05-01,114.63
2004-06-01,116.75
2004-07-01,120.3
2004-08-01,126.75
2004-09-01,127.88
2004-10-01,119.5
2004-11-01,118.38
2004-12-01,116.8
2005-01-01,115.25
2005-02-01,117.38
2005-03-01,120
2005-04-01,118.2
2005-05-01,121.45
2005-06-01,120.33
2005-07-01,122.6
2005-08-01,120
2005-09-01,120.3
2005-10-01,116.5
2005-11-01,117.25
2005-12-01,115.5
2006-01-01,113.63
2006-02-01,114.75
2006-03-01,111.9
2006-04-01,112.58
2006-05-01,112.5
2006-06-01,111.7
2006-07-01,115.13
2006-08-01,117.63
2006-09-01,117.5
2006-10-01,117.88
2006-11-01,121.25
2006-12-01,121.2
2007-01-01,119.25
2007-02-01,118.38
2007-03-01,118.4
2007-04-01,117.63
2007-05-01,116.63
2007-06-01,119
2007-07-01,117.5
2007-08-01,118.4
2007-09-01,118.25
2007-10-01,115.88
2007-11-01,117.66
2007-12-01,119.5
2008-01-01,121.33
2008-02-01,127.7
2008-03-01,106.7
2008-04-01,103.75
2008-05-01,124.2
2008-06-01,129.5
2008-07-01,133
2008-08-01,135.5
2008-09-01,129.4
2008-10-01,115.92
2008-11-01,115
2008-12-01,111.25
2009-01-01,114.13
2009-02-01,107.13
2009-03-01,112.38
2009-04-01,115.5
2009-05-01,119.6
2009-06-01,122.13
2009-07-01,124
2009-08-01,124
2009-09-01,124.13
2009-10-01,120.5
2009-11-01,125
2009-12-01,127
2010-01-01,133.88
2010-02-01,141.75
2010-03-01,152.1
2010-04-01,164.75
2010-05-01,157.75
2010-06-01,144.81
2010-07-01,145.39
2010-08-01,152.5
2010-09-01,152.5
2010-10-01,154.75
2010-11-01,156.5
2010-12-01,173.03
2011-01-01,185.63
2011-02-01,183.72
2011-03-01,187.72
2011-04-01,193
2011-05-01,184.11
2011-06-01,178.36
2011-07-01,177.76
2011-08-01,180.85
2011-09-01,175.93
2011-10-01,174.28
2011-11-01,186.68
2011-12-01,190.09
2012-01-01,190.93
2012-02-01,194.1
2012-03-01,194.36
2012-04-01,192.1
2012-05-01,187.3
2012-06-01,183.6
2012-07-01,180.36
2012-08-01,183.13
2012-09-01,180.25
2012-10-01,181.54
2012-11-01,192.02
2012-12-01,195.62
2013-01-01,195.39
2013-02-01,194.28
2013-03-01,191.79
2013-04-01,191.68
2013-05-01,179.59
2013-06-01,174.25
2013-07-01,176.58
2013-08-01,176.58
2013-09-01,175.6
2013-10-01,178.07
2013-11-01,183.31
2013-12-01,185.95
2014-01-01,187.46
2014-02-01,190.25
2014-03-01,197.76
2014-04-01,191.23
2014-05-01,194.55
2014-06-01,200.79
2014-07-01,227.5
2014-08-01,258.86
2014-09-01,272.3
2014-10-01,266.93
2014-11-01,261.5
2014-12-01,239.59
2015-01-01,232.02
2015-02-01,209.88
2015-03-01,207.8
2015-04-01,214.43
2015-05-01,199.21
2015-06-01,195.05
2015-07-01,204.41
2015-08-01,212
2015-09-01,202.41
