Date,Wool、 coarse、 23 micron、 Australian Wool Exchange spot quote、 US cents per kilogram
1990-07-01,418.44
1990-08-01,418.44
1990-09-01,412.18
1990-10-01,394.64
1990-11-01,334.5
1990-12-01,328.24
1991-01-01,319.47
1991-02-01,323.23
1991-03-01,328.24
1991-04-01,365.82
1991-05-01,371.88
1991-06-01,340.6
1991-07-01,337.48
1991-08-01,337.22
1991-09-01,313.96
1991-10-01,308.39
1991-11-01,307.57
1991-12-01,295.4
1992-01-01,297.04
1992-02-01,341.89
1992-03-01,341.18
1992-04-01,352.12
1992-05-01,367.36
1992-06-01,364.88
1992-07-01,363.09
1992-08-01,351.25
1992-09-01,349.29
1992-10-01,335.47
1992-11-01,320.1
1992-12-01,310.7
1993-01-01,312.39
1993-02-01,309.68
1993-03-01,309.67
1993-04-01,328.92
1993-05-01,337.01
1993-06-01,327.79
1993-07-01,324.38
1993-08-01,313.93
1993-09-01,310.83
1993-10-01,316.62
1993-11-01,325.5
1993-12-01,320.03
1994-01-01,320.1
1994-02-01,338.13
1994-03-01,379.25
1994-04-01,376.82
1994-05-01,398.37
1994-06-01,394.46
1994-07-01,411.95
1994-08-01,425.91
1994-09-01,444.48
1994-10-01,433.45
1994-11-01,446.07
1994-12-01,426.04
1995-01-01,447.06
1995-02-01,467.94
1995-03-01,516.73
1995-04-01,520.27
1995-05-01,516.49
1995-06-01,519.41
1995-07-01,537.66
1995-08-01,547.44
1995-09-01,507.04
1995-10-01,495.99
1995-11-01,436.58
1995-12-01,453.11
1996-01-01,456.77
1996-02-01,450.38
1996-03-01,439.18
1996-04-01,416.56
1996-05-01,440.06
1996-06-01,447.61
1996-07-01,420.32
1996-08-01,417.67
1996-09-01,404.38
1996-10-01,416.41
1996-11-01,419.48
1996-12-01,417.72
1997-01-01,408.62
1997-02-01,442.94
1997-03-01,425.82
1997-04-01,451.19
1997-05-01,467.49
1997-06-01,478.76
1997-07-01,478.56
1997-08-01,427.63
1997-09-01,448.81
1997-10-01,435.41
1997-11-01,434.67
1997-12-01,413.62
1998-01-01,399.02
1998-02-01,406.64
1998-03-01,384.83
1998-04-01,379.81
1998-05-01,355.7
1998-06-01,348.24
1998-07-01,308.83
1998-08-01,296.93
1998-09-01,280.11
1998-10-01,286.85
1998-11-01,294.93
1998-12-01,294.77
1999-01-01,299.37
1999-02-01,287.1
1999-03-01,297.46
1999-04-01,298.88
1999-05-01,288.74
1999-06-01,288.32
1999-07-01,286.32
1999-08-01,254.34
1999-09-01,247.09
1999-10-01,247.29
1999-11-01,255.49
1999-12-01,267.26
2000-01-01,276.44
2000-02-01,260.07
2000-03-01,267.1
2000-04-01,273.81
2000-05-01,290.37
2000-06-01,293.98
2000-07-01,302.36
2000-08-01,289.92
2000-09-01,283.27
2000-10-01,279.87
2000-11-01,267.66
2000-12-01,286.88
2001-01-01,309.69
2001-02-01,323.95
2001-03-01,315.36
2001-04-01,327.52
2001-05-01,325.69
2001-06-01,326.92
2001-07-01,328.26
2001-08-01,348.94
2001-09-01,340.53
2001-10-01,330.29
2001-11-01,335.91
2001-12-01,376.13
2002-01-01,444.11
2002-02-01,516.35
2002-03-01,529.16
2002-04-01,525.07
2002-05-01,519.78
2002-06-01,548.84
2002-07-01,539.68
2002-08-01,534.99
2002-09-01,584.34
2002-10-01,664.34
2002-11-01,691.81
2002-12-01,689.34
2003-01-01,725.81
2003-02-01,734.89
2003-03-01,681.58
2003-04-01,685.72
2003-05-01,633.01
2003-06-01,680.28
2003-07-01,684.95
2003-08-01,653.47
2003-09-01,647.28
2003-10-01,602.73
2003-11-01,589.76
2003-12-01,588.41
2004-01-01,613.51
2004-02-01,611.93
2004-03-01,587.69
2004-04-01,554.63
2004-05-01,533.09
2004-06-01,560.59
2004-07-01,553.05
2004-08-01,528.97
2004-09-01,500.93
2004-10-01,508.86
2004-11-01,537.86
2004-12-01,547.3
2005-01-01,556.94
2005-02-01,549.33
2005-03-01,545.18
2005-04-01,543.69
2005-05-01,543.49
2005-06-01,553.32
2005-07-01,563.57
2005-08-01,531.87
2005-09-01,517.85
2005-10-01,500.83
2005-11-01,481.51
2005-12-01,479.73
2006-01-01,496.6
2006-02-01,520.76
2006-03-01,528.7
2006-04-01,515.46
2006-05-01,522
2006-06-01,515.63
2006-07-01,522.87
2006-08-01,534.29
2006-09-01,521.83
2006-10-01,524.66
2006-11-01,640.02
2006-12-01,644.21
2007-01-01,715.51
2007-02-01,706.96
2007-03-01,724.75
2007-04-01,742.55
2007-05-01,788.25
2007-06-01,787.58
2007-07-01,761.64
2007-08-01,732.83
2007-09-01,765.24
2007-10-01,807.45
2007-11-01,828.19
2007-12-01,817.45
2008-01-01,840.86
2008-02-01,843.77
2008-03-01,835.3
2008-04-01,823.97
2008-05-01,781.49
2008-06-01,778.46
2008-07-01,793.63
2008-08-01,717.57
2008-09-01,656.35
2008-10-01,510.28
2008-11-01,450.98
2008-12-01,477.83
2009-01-01,464.59
2009-02-01,449.72
2009-03-01,460.47
2009-04-01,516.6
2009-05-01,599.31
2009-06-01,609.15
2009-07-01,609.3
2009-08-01,655.49
2009-09-01,690.91
2009-10-01,743.59
2009-11-01,756.8
2009-12-01,780.4
2010-01-01,842.89
2010-02-01,818.02
2010-03-01,850.47
2010-04-01,817.36
2010-05-01,764.57
2010-06-01,762.81
2010-07-01,779.24
2010-08-01,788.43
2010-09-01,790.39
2010-10-01,853.99
2010-11-01,889.49
2010-12-01,883.84
2011-01-01,1011.45
2011-02-01,1060.91
2011-03-01,1243.76
2011-04-01,1310.07
2011-05-01,1302.03
2011-06-01,1385.67
2011-07-01,1362.27
2011-08-01,1249.79
2011-09-01,1199.48
2011-10-01,1072.03
2011-11-01,1148.83
2011-12-01,1164.09
2012-01-01,1274.53
2012-02-01,1402.79
2012-03-01,1336.72
2012-04-01,1288.53
2012-05-01,1237.63
2012-06-01,1203.41
2012-07-01,1225.79
2012-08-01,1133.9
2012-09-01,1054.3
2012-10-01,1078.68
2012-11-01,1106.59
2012-12-01,1207.95
2013-01-01,1238.22
2013-02-01,1236.2
2013-03-01,1208.06
2013-04-01,1105.22
2013-05-01,1085.54
2013-06-01,1084.55
2013-07-01,998.83
2013-08-01,996.24
2013-09-01,1123.44
2013-10-01,1165.23
2013-11-01,1149.77
2013-12-01,1146.37
2014-01-01,1116.77
2014-02-01,1086.85
2014-03-01,1047.24
2014-04-01,1056.87
2014-05-01,1065.38
2014-06-01,1053.82
2014-07-01,1056.06
2014-08-01,1031.31
2014-09-01,987.68
2014-10-01,958.93
2014-11-01,968.43
2014-12-01,935.62
2015-01-01,899.39
2015-02-01,892.44
2015-03-01,871.16
2015-04-01,883.14
2015-05-01,976.34
2015-06-01,1028.57
2015-07-01,944.35
2015-08-01,979.28
2015-09-01,902.51
